date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-25-2020,1,0,0,1,0.0,0.0,1
02-26-2020,1,0,0,1,0.0,0.0,1.0
02-27-2020,1,0,0,1,0.0,0.0,1.0
02-28-2020,1,0,0,1,0.0,0.0,1.0
02-29-2020,1,0,0,1,0.0,0.0,1.0
03-01-2020,1,0,0,1,0.0,0.0,1.0
03-02-2020,3,0,0,3,0.0,0.0,3.0
03-03-2020,5,0,0,5,0.0,0.0,1.6666666666666665
03-04-2020,12,0,0,12,0.0,0.0,2.4
03-05-2020,12,0,0,12,0.0,0.0,1.0
03-06-2020,17,0,0,17,0.0,0.0,1.4166666666666667
03-07-2020,17,0,0,17,0.0,0.0,1.0
03-08-2020,19,0,0,19,0.0,0.0,1.1176470588235294
03-09-2020,20,0,0,20,0.0,0.0,1.0526315789473684
03-10-2020,20,0,0,20,0.0,0.0,1.0
03-11-2020,20,0,0,20,0.0,0.0,1.0
03-12-2020,24,1,8,16,4.17,33.33,1.2
03-13-2020,26,2,8,18,7.69,30.77,1.0833333333333333
03-14-2020,37,3,12,25,8.11,32.43,1.4230769230769231
03-15-2020,48,4,12,36,8.33,25.0,1.2972972972972974
03-16-2020,54,4,12,42,7.41,22.22,1.125
03-17-2020,60,4,12,48,6.67,20.0,1.1111111111111112
03-18-2020,74,7,12,62,9.46,16.22,1.2333333333333334
03-19-2020,87,9,32,55,10.34,36.78,1.1756756756756757
03-20-2020,90,11,32,58,12.22,35.56,1.0344827586206897
03-21-2020,139,15,32,107,10.79,23.02,1.5444444444444443
03-22-2020,201,17,65,136,8.46,32.34,1.4460431654676258
03-23-2020,230,17,65,165,7.39,28.26,1.144278606965174
03-24-2020,264,19,24,240,7.2,9.09,1.1478260869565218
03-25-2020,302,21,65,237,6.95,21.52,1.143939393939394
03-26-2020,367,25,29,338,6.81,7.9,1.2152317880794703
03-27-2020,409,26,29,380,6.36,7.09,1.1144414168937329
03-28-2020,454,29,31,423,6.39,6.83,1.1100244498777505
03-29-2020,511,31,31,480,6.07,6.07,1.1255506607929515
03-30-2020,584,35,37,547,5.99,6.34,1.1428571428571428
03-31-2020,716,44,46,670,6.15,6.42,1.226027397260274
04-01-2020,847,58,61,786,6.85,7.2,1.1829608938547487
04-02-2020,986,86,61,925,8.72,6.19,1.1641086186540732
04-03-2020,1171,105,62,1109,8.97,5.29,1.1876267748478702
04-04-2020,1251,130,90,1161,10.39,7.19,1.0683176771989753
04-05-2020,1320,152,90,1230,11.52,6.82,1.0551558752997603
04-06-2020,1423,173,90,1333,12.16,6.32,1.0780303030303031
04-07-2020,1468,193,113,1355,13.15,7.7,1.0316233309908645
04-08-2020,1572,205,237,1335,13.04,15.08,1.0708446866485013
04-09-2020,1666,235,347,1319,14.11,20.83,1.059796437659033
04-10-2020,1761,256,405,1356,14.54,23.0,1.0570228091236495
04-11-2020,1825,275,460,1365,15.07,25.21,1.036342986939239
04-12-2020,1914,293,591,1323,15.31,30.88,1.0487671232876712
04-13-2020,1983,313,601,1382,15.78,30.31,1.036050156739812
04-14-2020,2070,326,691,1379,15.75,33.38,1.0438729198184569
04-15-2020,2160,336,708,1452,15.56,32.78,1.0434782608695652
04-16-2020,2268,348,783,1485,15.34,34.52,1.05
04-17-2020,2418,364,846,1572,15.05,34.99,1.066137566137566
04-18-2020,2534,367,894,1640,14.48,35.28,1.0479735318444996
04-19-2020,2629,375,1047,1582,14.26,39.83,1.037490134175217
04-20-2020,2718,384,1099,1619,14.13,40.43,1.0338531761125904
04-21-2020,2811,392,1152,1659,13.95,40.98,1.034216335540839
04-22-2020,2910,402,1204,1706,13.81,41.37,1.0352187833511206
04-23-2020,3007,407,1355,1652,13.54,45.06,1.0333333333333334
04-24-2020,3127,415,1408,1719,13.27,45.03,1.0399068839374792
04-25-2020,3256,419,1479,1777,12.87,45.42,1.0412535976974737
04-26-2020,3382,425,1508,1874,12.57,44.59,1.0386977886977886
04-27-2020,3517,432,1558,1959,12.28,44.3,1.0399172087522177
04-28-2020,3649,437,1651,1998,11.98,45.25,1.0375319874893374
04-29-2020,3848,444,1702,2146,11.54,44.23,1.0545354891751164
04-30-2020,4006,450,1779,2227,11.23,44.41,1.041060291060291
05-01-2020,4154,453,1821,2333,10.91,43.84,1.0369445831253121
05-02-2020,4295,459,1872,2423,10.69,43.59,1.0339431872893596
05-03-2020,4474,463,1936,2538,10.35,43.27,1.041676367869616
