date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-01-2020,1,0,0,1,0.0,0.0,1
03-02-2020,1,0,0,1,0.0,0.0,1.0
03-03-2020,1,0,0,1,0.0,0.0,1.0
03-04-2020,1,0,0,1,0.0,0.0,1.0
03-05-2020,1,0,0,1,0.0,0.0,1.0
03-06-2020,1,0,0,1,0.0,0.0,1.0
03-07-2020,1,0,0,1,0.0,0.0,1.0
03-08-2020,1,0,0,1,0.0,0.0,1.0
03-09-2020,1,0,0,1,0.0,0.0,1.0
03-10-2020,1,0,0,1,0.0,0.0,1.0
03-11-2020,1,0,0,1,0.0,0.0,1.0
03-12-2020,4,0,0,4,0.0,0.0,4.0
03-13-2020,8,0,0,8,0.0,0.0,2.0
03-14-2020,18,0,0,18,0.0,0.0,2.25
03-15-2020,26,0,0,26,0.0,0.0,1.4444444444444444
03-16-2020,52,0,0,52,0.0,0.0,2.0
03-17-2020,78,0,1,77,0.0,1.28,1.5
03-18-2020,84,0,1,83,0.0,1.19,1.0769230769230769
03-19-2020,115,0,1,114,0.0,0.87,1.369047619047619
03-20-2020,136,0,1,135,0.0,0.74,1.182608695652174
03-21-2020,160,0,1,159,0.0,0.63,1.1764705882352942
03-22-2020,194,0,2,192,0.0,1.03,1.2125
03-23-2020,235,0,2,233,0.0,0.85,1.211340206185567
03-24-2020,249,0,14,235,0.0,5.62,1.0595744680851065
03-25-2020,265,0,16,249,0.0,6.04,1.0642570281124497
03-26-2020,290,1,18,272,0.34,6.21,1.0943396226415094
03-27-2020,329,1,28,301,0.3,8.51,1.1344827586206896
03-28-2020,407,1,30,377,0.25,7.37,1.237082066869301
03-29-2020,424,3,30,394,0.71,7.08,1.0417690417690417
03-30-2020,482,3,30,452,0.62,6.22,1.1367924528301887
03-31-2020,532,3,30,502,0.56,5.64,1.103734439834025
04-01-2020,571,4,31,540,0.7,5.43,1.0733082706766917
04-02-2020,663,7,33,630,1.06,4.98,1.161120840630473
04-03-2020,736,7,43,693,0.95,5.84,1.110105580693816
04-04-2020,770,7,43,727,0.91,5.58,1.046195652173913
04-05-2020,822,7,57,765,0.85,6.93,1.0675324675324676
04-06-2020,833,8,62,771,0.96,7.44,1.0133819951338199
04-07-2020,853,8,87,766,0.94,10.2,1.0240096038415367
04-08-2020,881,9,114,767,1.02,12.94,1.032825322391559
04-09-2020,921,10,138,783,1.09,14.98,1.0454029511918275
04-10-2020,937,12,149,788,1.28,15.9,1.017372421281216
04-11-2020,967,13,173,794,1.34,17.89,1.032017075773746
04-12-2020,1013,13,197,816,1.28,19.45,1.047569803516029
04-13-2020,1039,14,211,828,1.35,20.31,1.0256663376110562
04-14-2020,1067,16,265,802,1.5,24.84,1.026948989412897
04-15-2020,1111,17,297,814,1.53,26.73,1.041237113402062
04-16-2020,1159,18,358,801,1.55,30.89,1.0432043204320431
04-17-2020,1201,19,402,799,1.58,33.47,1.0362381363244175
04-18-2020,1248,20,523,725,1.6,41.91,1.0391340549542047
04-19-2020,1291,20,545,746,1.55,42.22,1.0344551282051282
04-20-2020,1339,22,580,759,1.64,43.32,1.03718048024787
04-21-2020,1401,24,609,792,1.71,43.47,1.046303211351755
04-22-2020,1473,24,633,840,1.63,42.97,1.051391862955032
04-23-2020,1523,24,659,864,1.58,43.27,1.0339443312966734
04-24-2020,1596,27,728,868,1.69,45.61,1.0479317137229154
04-25-2020,1677,28,803,874,1.67,47.88,1.050751879699248
04-26-2020,1746,28,833,913,1.6,47.71,1.0411449016100178
04-27-2020,1808,29,848,960,1.6,46.9,1.0355097365406645
04-28-2020,1867,30,866,1001,1.61,46.38,1.032632743362832
04-29-2020,1932,30,900,1032,1.55,46.58,1.0348152115693625
04-30-2020,2066,32,929,1137,1.55,44.97,1.0693581780538302
05-01-2020,2148,33,977,1171,1.54,45.48,1.0396902226524685
05-02-2020,2273,33,1010,1263,1.45,44.43,1.058193668528864
05-03-2020,2386,35,1035,1351,1.47,43.38,1.0497140343158822
05-04-2020,2507,39,1071,1436,1.56,42.72,1.0507124895222129
05-05-2020,2619,40,1111,1508,1.53,42.42,1.0446749102512964
05-06-2020,2782,40,1135,1647,1.44,40.8,1.062237495227186
05-07-2020,2884,42,1185,1699,1.46,41.09,1.0366642703091302
05-08-2020,3029,43,1218,1811,1.42,40.21,1.0502773925104023
05-09-2020,3175,44,1267,1908,1.39,39.91,1.0482007263123143
05-10-2020,3313,45,1325,1988,1.36,39.99,1.0434645669291338
05-11-2020,3392,46,1359,2033,1.36,40.06,1.0238454572894657
05-12-2020,3538,47,1430,2108,1.33,40.42,1.0430424528301887
05-13-2020,3718,48,1500,2218,1.29,40.34,1.0508762012436406
05-14-2020,3860,49,1572,2288,1.27,40.73,1.0381925766541151
05-15-2020,4044,52,1666,2378,1.29,41.2,1.0476683937823834
05-16-2020,4283,55,1791,2492,1.28,41.82,1.0590999010880318
05-17-2020,4472,60,1925,2547,1.34,43.05,1.0441279477002101
05-18-2020,4823,61,2019,2804,1.26,41.86,1.0784883720930232
05-19-2020,5041,64,2164,2877,1.27,42.93,1.045200082935932
05-20-2020,5271,67,2419,2852,1.27,45.89,1.0456258678833565
05-21-2020,5606,70,2581,3025,1.25,46.04,1.0635553025991273
05-22-2020,5928,74,2874,3054,1.25,48.48,1.0574384587941492
05-23-2020,6302,77,2936,3366,1.22,46.59,1.0630904183535763
05-24-2020,6661,81,3064,3597,1.22,46.0,1.0569660425261822
05-25-2020,7113,87,3145,3968,1.22,44.21,1.0678576790271732
05-26-2020,7402,91,3220,4182,1.23,43.5,1.0406298327006889
05-27-2020,7774,98,3255,4519,1.26,41.87,1.0502566873817887
05-28-2020,8216,113,3287,4929,1.38,40.01,1.0568561872909699
05-29-2020,8676,120,3297,5379,1.38,38.0,1.0559883154819865
05-30-2020,8927,127,3317,5610,1.42,37.16,1.0289303826648224
05-31-2020,9282,131,3386,5896,1.41,36.48,1.0397669989918226
06-01-2020,9492,139,3402,6090,1.46,35.84,1.0226244343891402
06-02-2020,10009,158,3427,6582,1.58,34.24,1.0544669195111673
06-03-2020,10524,170,3454,7070,1.62,32.82,1.0514536916774904
06-04-2020,11221,176,3468,7753,1.57,30.91,1.0662295705055111
06-05-2020,11817,183,3513,8304,1.55,29.73,1.0531146956599233
06-06-2020,12364,190,3720,8644,1.54,30.09,1.0462892443090464
06-07-2020,13130,200,4014,9116,1.52,30.57,1.0619540601747008
06-08-2020,13325,211,4099,9226,1.58,30.76,1.0148514851485149
06-09-2020,13675,217,4451,9224,1.59,32.55,1.026266416510319
06-10-2020,14103,227,5226,8877,1.61,37.06,1.0312979890310787
06-11-2020,14669,245,5466,9203,1.67,37.26,1.0401333049705737
06-12-2020,15281,258,5639,9642,1.69,36.9,1.0417206353534665
06-13-2020,16004,264,6081,9923,1.65,38.0,1.047313657483149
06-14-2020,16667,269,6214,10453,1.61,37.28,1.0414271432141964
06-15-2020,17064,285,6276,10788,1.67,36.78,1.0238195236095278
06-16-2020,17489,293,6571,10918,1.68,37.57,1.0249062353492733
06-17-2020,18033,302,6814,11219,1.67,37.79,1.0311052661673052
06-18-2020,18698,309,7560,11138,1.65,40.43,1.0368768369101093
06-19-2020,19157,319,8266,10891,1.67,43.15,1.0245480800085571
06-20-2020,19708,332,8854,10854,1.68,44.93,1.0287623323067285
06-21-2020,20268,350,9002,11266,1.73,44.41,1.028414856910899
06-22-2020,20588,360,9131,11457,1.75,44.35,1.0157884349713835
06-23-2020,21006,372,10144,10862,1.77,48.29,1.020303089178162
06-24-2020,21717,386,10797,10920,1.78,49.72,1.033847472150814
06-25-2020,22488,397,11335,11153,1.77,50.4,1.035502141179721
06-26-2020,23247,410,12149,11098,1.76,52.26,1.0337513340448239
06-27-2020,23909,421,12911,10998,1.76,54.0,1.028476792704435
06-28-2020,24645,426,13116,11529,1.73,53.22,1.0307833870090761
06-29-2020,25127,433,13297,11830,1.72,52.92,1.0195577196185839
06-30-2020,25542,443,14048,11494,1.73,55.0,1.016516098221037
07-01-2020,26065,453,14563,11502,1.74,55.87,1.0204760786156135
07-02-2020,26658,459,15036,11622,1.72,56.4,1.0227508152695186
07-03-2020,27320,469,15484,11836,1.72,56.68,1.0248330707479931
07-04-2020,27900,477,15935,11965,1.71,57.11,1.021229868228404
07-05-2020,28606,484,16140,12466,1.69,56.42,1.0253046594982078
