date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-01-2020,3,0,0,3,0,0,1
03-02-2020,3,0,0,3,0,0,1.0
03-03-2020,3,0,0,3,0,0,1.0
03-04-2020,3,0,0,3,0,0,1.0
03-05-2020,6,0,0,6,0,0,2.0
03-06-2020,6,0,0,6,0,0,1.0
03-07-2020,9,0,0,9,0,0,1.5
03-08-2020,9,0,0,9,0,0,1.0
03-09-2020,9,0,0,9,0,0,1.0
03-10-2020,11,0,0,11,0,0,1.2222222222222223
03-11-2020,11,0,3,8,0,27.27,1.0
03-12-2020,11,0,3,8,0,27.27,1.0
03-13-2020,15,1,3,12,6.67,20.0,1.3636363636363638
03-14-2020,15,1,3,12,6.67,20.0,1.0
03-15-2020,23,1,6,17,4.35,26.09,1.5333333333333332
03-16-2020,15,1,6,9,6.67,40.0,1.3478260869565217
03-17-2020,28,1,6,22,3.57,21.43,1.8666666666666667
03-18-2020,28,1,6,22,3.57,21.43,1.0
03-19-2020,44,1,6,38,2.27,13.64,1.5714285714285714
03-20-2020,44,1,6,38,2.27,13.64,1.0
03-21-2020,53,1,11,42,1.89,20.75,1.2045454545454546
03-22-2020,65,1,11,54,1.54,16.92,1.2264150943396226
03-23-2020,72,1,10,62,1.39,13.89,1.1076923076923078
03-24-2020,87,1,10,77,1.15,11.49,1.2083333333333333
03-25-2020,93,2,10,83,2.15,10.75,1.0689655172413792
03-26-2020,122,3,15,107,2.46,12.3,1.3118279569892473
03-27-2020,165,3,15,150,1.82,9.09,1.3524590163934427
03-28-2020,182,4,15,167,2.2,8.24,1.103030303030303
03-29-2020,209,4,15,194,1.91,7.18,1.1483516483516483
03-30-2020,273,4,26,247,1.47,9.52,1.30622009569378
03-31-2020,298,5,26,272,1.68,8.72,1.0915750915750915
04-01-2020,359,5,26,333,1.39,7.24,1.2046979865771812
04-02-2020,400,5,26,374,1.25,6.5,1.1142061281337048
04-03-2020,443,5,32,411,1.13,7.22,1.1075
04-04-2020,521,5,32,489,0.96,6.14,1.1760722347629797
04-05-2020,584,7,32,552,1.2,5.48,1.1209213051823417
04-06-2020,641,7,44,597,1.09,6.86,1.0976027397260273
04-07-2020,717,8,44,673,1.12,6.14,1.1185647425897036
04-08-2020,822,8,63,759,0.97,7.66,1.1464435146443515
04-09-2020,926,9,101,825,0.97,10.91,1.1265206812652069
04-10-2020,991,10,159,832,1.01,16.04,1.070194384449244
04-11-2020,1058,11,200,858,1.04,18.9,1.0676084762865792
04-12-2020,1098,11,250,848,1.0,22.77,1.0378071833648392
04-13-2020,1148,12,289,859,1.05,25.17,1.0455373406193078
04-14-2020,1197,13,351,846,1.09,29.32,1.0426829268292683
04-15-2020,1253,13,404,849,1.04,32.24,1.0467836257309941
04-16-2020,1283,15,460,823,1.17,35.85,1.0239425379090183
04-17-2020,1340,15,528,812,1.12,39.4,1.0444271239282932
04-18-2020,1373,18,590,783,1.31,42.97,1.0246268656716417
04-19-2020,1398,19,712,686,1.36,50.93,1.0182083029861617
04-20-2020,1436,19,791,645,1.32,55.08,1.0271816881258942
04-21-2020,1480,20,865,615,1.35,58.45,1.0306406685236769
04-22-2020,1518,20,907,611,1.32,59.75,1.0256756756756757
04-23-2020,1548,20,948,600,1.29,61.24,1.0197628458498025
04-24-2020,1592,21,1013,579,1.32,63.63,1.028423772609819
04-25-2020,1617,21,1080,537,1.3,66.79,1.0157035175879396
04-26-2020,1645,21,1139,506,1.28,69.24,1.0173160173160174
04-27-2020,1678,22,1162,516,1.31,69.25,1.0200607902735563
04-28-2020,1717,22,1221,496,1.28,71.11,1.0232419547079856
04-29-2020,1766,23,1267,499,1.3,71.74,1.0285381479324402
04-30-2020,1804,24,1325,479,1.33,73.45,1.0215175537938845
05-01-2020,1854,25,1365,489,1.35,73.62,1.0277161862527717
05-02-2020,1894,25,1411,483,1.32,74.5,1.0215749730312838
05-03-2020,1932,25,1441,491,1.29,74.59,1.0200633579725449
05-04-2020,1984,26,1480,504,1.31,74.6,1.0269151138716357
