date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-24-2020,1,0,0,1,0.0,0.0,1
02-25-2020,23,0,0,23,0.0,0.0,23.0
02-26-2020,33,0,0,33,0.0,0.0,1.434782608695652
02-27-2020,33,0,0,33,0.0,0.0,1.0
02-28-2020,36,0,0,36,0.0,0.0,1.0909090909090908
02-29-2020,41,0,0,41,0.0,0.0,1.1388888888888888
03-01-2020,47,0,0,47,0.0,0.0,1.146341463414634
03-02-2020,49,0,0,49,0.0,0.0,1.0425531914893618
03-03-2020,49,0,0,49,0.0,0.0,1.0
03-04-2020,52,0,0,52,0.0,0.0,1.0612244897959184
03-05-2020,55,0,0,55,0.0,0.0,1.0576923076923077
03-06-2020,60,0,4,56,0.0,6.67,1.0909090909090908
03-07-2020,85,0,4,81,0.0,4.71,1.4166666666666667
03-08-2020,85,0,4,81,0.0,4.71,1.0
03-09-2020,95,0,14,81,0.0,14.74,1.1176470588235294
03-10-2020,110,0,22,88,0.0,20.0,1.1578947368421053
03-11-2020,195,0,35,160,0.0,17.95,1.7727272727272727
03-12-2020,195,0,35,160,0.0,17.95,1.0
03-13-2020,189,0,44,145,0.0,23.28,1.0307692307692307
03-14-2020,210,0,44,166,0.0,20.95,1.1111111111111112
03-15-2020,214,0,60,154,0.0,28.04,1.019047619047619
03-16-2020,214,1,77,137,0.47,35.98,1.0
03-17-2020,228,1,81,147,0.44,35.53,1.0654205607476634
03-18-2020,256,1,88,168,0.39,34.38,1.1228070175438596
03-19-2020,278,1,100,178,0.36,35.97,1.0859375
03-20-2020,285,1,100,185,0.35,35.09,1.025179856115108
03-21-2020,305,1,125,180,0.33,40.98,1.0701754385964912
03-22-2020,334,2,149,185,0.6,44.61,1.0950819672131147
03-23-2020,377,2,164,213,0.53,43.5,1.1287425149700598
03-24-2020,392,3,177,215,0.77,45.15,1.039787798408488
03-25-2020,419,4,177,242,0.95,42.24,1.068877551020408
03-26-2020,458,4,204,254,0.87,44.54,1.0930787589498807
03-27-2020,466,4,227,239,0.86,48.71,1.017467248908297
03-28-2020,476,4,265,211,0.84,55.67,1.0214592274678111
03-29-2020,499,4,272,227,0.8,54.51,1.0483193277310925
03-30-2020,515,4,279,236,0.78,54.17,1.032064128256513
03-31-2020,567,4,295,272,0.71,52.03,1.1009708737864077
04-01-2020,569,4,337,232,0.7,59.23,1.00352733686067
04-02-2020,643,4,381,262,0.62,59.25,1.1300527240773286
04-03-2020,672,4,382,290,0.6,56.85,1.0451010886469674
04-04-2020,688,4,423,265,0.58,61.48,1.0238095238095237
04-05-2020,700,4,431,269,0.57,61.57,1.0174418604651163
04-06-2020,756,4,458,298,0.53,60.58,1.08
04-07-2020,811,5,458,353,0.62,56.47,1.0727513227513228
04-08-2020,823,5,477,346,0.61,57.96,1.0147965474722564
04-09-2020,887,5,519,368,0.56,58.51,1.077764277035237
04-10-2020,925,6,539,386,0.65,58.27,1.0428410372040586
04-11-2020,1040,6,555,485,0.58,53.37,1.1243243243243244
04-12-2020,1136,6,558,578,0.53,49.12,1.0923076923076924
04-13-2020,1361,6,591,770,0.44,43.42,1.1980633802816902
04-14-2020,1528,7,645,883,0.46,42.21,1.1227038941954446
04-15-2020,1671,7,663,1008,0.42,39.68,1.093586387434555
04-16-2020,1700,7,703,997,0.41,41.35,1.0173548773189707
04-17-2020,1740,7,725,1015,0.4,41.67,1.0235294117647058
04-18-2020,1773,7,755,1018,0.39,42.58,1.0189655172413794
04-19-2020,1881,7,759,1122,0.37,40.35,1.0609137055837563
04-20-2020,1907,7,769,1138,0.37,40.33,1.0138224348750664
