date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-17-2020,2,0,0,2,0,0,1
03-18-2020,2,0,0,2,0,0,1.0
03-19-2020,5,0,0,5,0,0,2.5
03-20-2020,5,0,0,5,0,0,1.0
03-21-2020,6,0,0,6,0,0,1.2
03-22-2020,14,0,0,14,0,0,2.333333333333333
03-23-2020,17,0,0,17,0,0,1.2142857142857142
03-24-2020,18,0,0,18,0,0,1.0588235294117647
03-25-2020,18,0,0,18,0,0,1.0
03-26-2020,18,0,0,18,0,0,1.0
03-27-2020,24,0,0,24,0,0,1.3333333333333333
03-28-2020,26,0,0,26,0,0,1.0833333333333333
03-29-2020,33,0,0,33,0,0,1.2692307692307692
03-30-2020,33,0,0,33,0,0,1.0
03-31-2020,34,0,0,34,0,0,1.0303030303030303
04-01-2020,34,0,0,34,0,0,1.0
04-02-2020,46,0,0,46,0,0,1.3529411764705883
04-03-2020,51,0,0,51,0,0,1.108695652173913
04-04-2020,52,0,0,52,0,0,1.0196078431372548
04-05-2020,56,1,6,50,1.79,10.71,1.0769230769230769
04-06-2020,60,2,6,54,3.33,10.0,1.0714285714285714
04-07-2020,63,3,6,57,4.76,9.52,1.05
04-08-2020,63,3,8,55,4.76,12.7,1.0
04-09-2020,66,3,11,55,4.55,16.67,1.0476190476190477
04-10-2020,67,4,11,56,5.97,16.42,1.0151515151515151
04-11-2020,68,4,11,57,5.88,16.18,1.0149253731343284
04-12-2020,71,4,11,60,5.63,15.49,1.0441176470588236
04-13-2020,72,4,13,59,5.56,18.06,1.0140845070422535
04-14-2020,72,4,13,59,5.56,18.06,1.0
04-15-2020,73,5,15,58,6.85,20.55,1.0138888888888888
04-16-2020,75,5,15,60,6.67,20.0,1.0273972602739727
04-17-2020,75,5,15,60,6.67,20.0,1.0
04-18-2020,75,5,17,58,6.67,22.67,1.0
04-19-2020,75,5,17,58,6.67,22.67,1.0
04-20-2020,75,5,19,56,6.67,25.33,1.0
04-21-2020,75,5,25,50,6.67,33.33,1.0
04-22-2020,75,5,25,50,6.67,33.33,1.0
04-23-2020,76,6,30,46,7.89,39.47,1.0133333333333334
04-24-2020,77,6,31,46,7.79,40.26,1.013157894736842
04-25-2020,79,6,31,48,7.59,39.24,1.025974025974026
04-26-2020,79,6,39,40,7.59,49.37,1.0
04-27-2020,80,6,39,41,7.5,48.75,1.0126582278481013
04-28-2020,80,6,39,41,7.5,48.75,1.0
04-29-2020,80,7,39,41,8.75,48.75,1.0
04-30-2020,81,7,39,42,8.64,48.15,1.0125
05-01-2020,81,7,39,42,8.64,48.15,1.0
05-02-2020,81,7,44,37,8.64,54.32,1.0
05-03-2020,82,7,44,38,8.54,53.66,1.0123456790123457
05-04-2020,82,7,46,36,8.54,56.1,1.0
05-05-2020,82,7,47,35,8.54,57.32,1.0
