date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-28-2020,1,0,0,1,0.0,0.0,1
02-29-2020,1,0,0,1,0.0,0.0,1.0
03-01-2020,1,0,0,1,0.0,0.0,1.0
03-02-2020,1,0,0,1,0.0,0.0,1.0
03-03-2020,1,0,0,1,0.0,0.0,1.0
03-04-2020,6,0,0,6,0.0,0.0,6.0
03-05-2020,6,0,0,6,0.0,0.0,1.0
03-06-2020,6,0,0,6,0.0,0.0,1.0
03-07-2020,6,0,0,6,0.0,0.0,1.0
03-08-2020,6,0,0,6,0.0,0.0,1.0
03-09-2020,6,0,1,5,0.0,16.67,1.0
03-10-2020,9,0,3,6,0.0,33.33,1.5
03-11-2020,9,0,3,6,0.0,33.33,1.0
03-12-2020,12,0,3,9,0.0,25.0,1.3333333333333333
03-13-2020,27,0,3,24,0.0,11.11,2.25
03-14-2020,27,0,3,24,0.0,11.11,1.0
03-15-2020,27,0,3,24,0.0,11.11,1.0
03-16-2020,36,0,3,33,0.0,8.33,1.3333333333333333
03-17-2020,36,0,3,33,0.0,8.33,1.0
03-18-2020,51,0,5,46,0.0,9.8,1.4166666666666667
03-19-2020,51,0,5,46,0.0,9.8,1.0
03-20-2020,69,0,5,64,0.0,7.25,1.3529411764705883
03-21-2020,76,0,15,61,0.0,19.74,1.1014492753623188
03-22-2020,76,0,15,61,0.0,19.74,1.0
03-23-2020,81,0,22,59,0.0,27.16,1.0657894736842106
03-24-2020,81,0,22,59,0.0,27.16,1.0
03-25-2020,86,0,29,57,0.0,33.72,1.0617283950617284
03-26-2020,86,0,29,57,0.0,33.72,1.0
03-27-2020,94,0,32,62,0.0,34.04,1.0930232558139534
03-28-2020,94,0,32,62,0.0,34.04,1.0
03-29-2020,94,0,32,62,0.0,34.04,1.0
03-30-2020,152,0,32,120,0.0,21.05,1.6170212765957448
03-31-2020,152,1,47,105,0.66,30.92,1.0
04-01-2020,163,2,53,110,1.23,32.52,1.0723684210526316
04-02-2020,304,4,53,251,1.32,17.43,1.8650306748466257
04-03-2020,351,4,53,298,1.14,15.1,1.1546052631578947
04-04-2020,440,5,53,387,1.14,12.05,1.2535612535612537
04-05-2020,562,8,52,510,1.42,9.25,1.2772727272727273
04-06-2020,700,13,53,647,1.86,7.57,1.2455516014234875
04-07-2020,861,13,54,807,1.51,6.27,1.23
04-08-2020,1066,13,77,989,1.22,7.22,1.2380952380952381
04-09-2020,1486,16,139,1347,1.08,9.35,1.3939962476547842
04-10-2020,1981,19,169,1812,0.96,8.53,1.3331090174966351
04-11-2020,2226,23,172,2054,1.03,7.73,1.1236749116607774
04-12-2020,2578,26,203,2375,1.01,7.87,1.1581311769991016
04-13-2020,2919,29,203,2716,0.99,6.95,1.1322730799069045
04-14-2020,3281,33,203,3078,1.01,6.19,1.1240150736553614
04-15-2020,3728,36,203,3525,0.97,5.45,1.1362389515391649
04-16-2020,4204,40,203,4001,0.95,4.83,1.1276824034334765
04-17-2020,4779,42,342,4437,0.88,7.16,1.1367745004757375
04-18-2020,4779,45,342,4437,0.94,7.16,1.0
04-19-2020,4779,47,494,4285,0.98,10.34,1.0
04-20-2020,6264,51,514,5750,0.81,8.21,1.310734463276836
04-21-2020,6723,55,577,6146,0.82,8.58,1.0732758620689655
04-22-2020,7281,58,769,6512,0.8,10.56,1.0829986613119142
04-23-2020,8022,60,938,7084,0.75,11.69,1.1017717346518334
04-24-2020,8773,63,1120,7653,0.72,12.77,1.093617551732735
04-25-2020,9590,67,1573,8017,0.7,16.4,1.0931266385500968
04-26-2020,10463,72,1695,8768,0.69,16.2,1.0910323253388947
04-27-2020,11289,75,1740,9549,0.66,15.41,1.0789448532925547
04-28-2020,12208,79,1993,10215,0.65,16.33,1.0814066790681194
04-29-2020,13181,84,2072,11109,0.64,15.72,1.0797018348623852
04-30-2020,14027,89,2386,11641,0.63,17.01,1.064183294135498
