date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-16-2020,1,0,0,1,0.0,0.0,1
03-17-2020,1,0,0,1,0.0,0.0,1.0
03-18-2020,2,0,0,2,0.0,0.0,2.0
03-19-2020,2,0,0,2,0.0,0.0,1.0
03-20-2020,2,0,0,2,0.0,0.0,1.0
03-21-2020,2,0,0,2,0.0,0.0,1.0
03-22-2020,2,0,0,2,0.0,0.0,1.0
03-23-2020,5,0,0,5,0.0,0.0,2.5
03-24-2020,6,0,0,6,0.0,0.0,1.2
03-25-2020,6,0,0,6,0.0,0.0,1.0
03-26-2020,6,0,0,6,0.0,0.0,1.0
03-27-2020,6,0,0,6,0.0,0.0,1.0
03-28-2020,6,0,0,6,0.0,0.0,1.0
03-29-2020,6,0,0,6,0.0,0.0,1.0
03-30-2020,6,0,0,6,0.0,0.0,1.0
03-31-2020,9,0,1,8,0.0,11.11,1.5
04-01-2020,13,0,1,12,0.0,7.69,1.4444444444444444
04-02-2020,13,0,1,12,0.0,7.69,1.0
04-03-2020,16,0,2,14,0.0,12.5,1.2307692307692308
04-04-2020,16,0,2,14,0.0,12.5,1.0
04-05-2020,22,0,5,17,0.0,22.73,1.375
04-06-2020,26,1,5,21,3.85,19.23,1.1818181818181819
04-07-2020,26,1,5,21,3.85,19.23,1.0
04-08-2020,26,1,5,21,3.85,19.23,1.0
04-09-2020,26,1,5,21,3.85,19.23,1.0
04-10-2020,35,1,5,30,2.86,14.29,1.3461538461538463
04-11-2020,35,1,5,30,2.86,14.29,1.0
04-12-2020,35,1,5,30,2.86,14.29,1.0
04-13-2020,35,1,5,30,2.86,14.29,1.0
04-14-2020,35,1,18,17,2.86,51.43,1.0
04-15-2020,35,1,18,17,2.86,51.43,1.0
04-16-2020,35,1,18,17,2.86,51.43,1.0
04-17-2020,35,1,18,17,2.86,51.43,1.0
04-18-2020,35,1,18,17,2.86,51.43,1.0
04-19-2020,35,1,18,17,2.86,51.43,1.0
04-20-2020,54,1,27,27,1.85,50.0,1.5428571428571427
04-21-2020,54,1,27,27,1.85,50.0,1.0
04-22-2020,54,1,27,27,1.85,50.0,1.0
04-23-2020,54,1,27,27,1.85,50.0,1.0
04-24-2020,54,1,27,27,1.85,50.0,1.0
04-25-2020,54,1,27,27,1.85,50.0,1.0
04-26-2020,64,1,33,31,1.56,51.56,1.1851851851851851
04-27-2020,64,1,33,31,1.56,51.56,1.0
04-28-2020,64,1,33,31,1.56,51.56,1.0
04-29-2020,64,1,33,31,1.56,51.56,1.0
04-30-2020,64,1,33,31,1.56,51.56,1.0
05-01-2020,90,2,42,48,2.22,46.67,1.40625
05-02-2020,90,2,42,48,2.22,46.67,1.0
05-03-2020,90,2,42,48,2.22,46.67,1.0
05-04-2020,96,2,50,46,2.08,52.08,1.0666666666666667
05-05-2020,96,2,50,46,2.08,52.08,1.0
05-06-2020,96,2,50,46,2.08,52.08,1.0
05-07-2020,140,2,53,87,1.43,37.86,1.4583333333333333
05-08-2020,242,2,62,180,0.83,25.62,1.7285714285714286
05-09-2020,284,2,62,222,0.7,21.83,1.1735537190082646
05-10-2020,319,2,62,257,0.63,19.44,1.1232394366197183
05-11-2020,319,2,62,257,0.63,19.44,1.0
05-12-2020,327,2,76,251,0.61,23.24,1.025078369905956
05-13-2020,327,2,83,244,0.61,25.38,1.0
05-14-2020,339,2,83,256,0.59,24.48,1.036697247706422
05-15-2020,339,2,83,256,0.59,24.48,1.0
05-16-2020,339,2,83,256,0.59,24.48,1.0
05-17-2020,339,2,83,256,0.59,24.48,1.0
05-18-2020,339,2,83,256,0.59,24.48,1.0
05-19-2020,130,2,83,47,1.54,63.85,1.616519174041298
05-20-2020,130,2,57,73,1.54,43.85,1.0
05-21-2020,135,3,61,74,2.22,45.19,1.0384615384615385
05-22-2020,135,3,61,74,2.22,45.19,1.0
05-23-2020,135,3,61,74,2.22,45.19,1.0
05-24-2020,191,3,82,109,1.57,42.93,1.4148148148148147
05-25-2020,191,3,84,107,1.57,43.98,1.0
05-26-2020,208,3,118,90,1.44,56.73,1.0890052356020943
05-27-2020,210,3,134,76,1.43,63.81,1.0096153846153846
05-28-2020,210,3,134,76,1.43,63.81,1.0
05-29-2020,224,3,136,88,1.34,60.71,1.0666666666666667
