date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-09-2020,1,0,0,1,0.0,0.0,1
03-10-2020,1,0,0,1,0.0,0.0,1.0
03-11-2020,11,0,0,11,0.0,0.0,11.0
03-12-2020,11,0,0,11,0.0,0.0,1.0
03-13-2020,37,0,0,37,0.0,0.0,3.3636363636363638
03-14-2020,40,0,0,40,0.0,0.0,1.0810810810810811
03-15-2020,50,0,0,50,0.0,0.0,1.25
03-16-2020,54,0,0,54,0.0,0.0,1.08
03-17-2020,56,0,0,56,0.0,0.0,1.037037037037037
03-18-2020,68,0,0,68,0.0,0.0,1.2142857142857142
03-19-2020,75,0,0,75,0.0,0.0,1.1029411764705883
03-20-2020,78,0,1,77,0.0,1.28,1.04
03-21-2020,83,0,2,81,0.0,2.41,1.064102564102564
03-22-2020,88,0,2,86,0.0,2.27,1.0602409638554218
03-23-2020,91,0,2,89,0.0,2.2,1.0340909090909092
03-24-2020,104,0,2,102,0.0,1.92,1.1428571428571428
03-25-2020,109,0,2,107,0.0,1.83,1.0480769230769231
03-26-2020,114,0,5,109,0.0,4.39,1.0458715596330275
03-27-2020,115,0,11,104,0.0,9.57,1.0087719298245614
03-28-2020,120,1,25,95,0.83,20.83,1.0434782608695652
03-29-2020,126,1,34,92,0.79,26.98,1.05
03-30-2020,127,1,38,89,0.79,29.92,1.007936507936508
03-31-2020,129,1,45,84,0.78,34.88,1.015748031496063
04-01-2020,131,1,52,79,0.76,39.69,1.0155038759689923
04-02-2020,133,1,56,77,0.75,42.11,1.015267175572519
04-03-2020,134,1,65,69,0.75,48.51,1.0075187969924813
04-04-2020,135,1,66,69,0.74,48.89,1.007462686567164
04-05-2020,135,1,73,62,0.74,54.07,1.0
04-06-2020,135,1,82,53,0.74,60.74,1.0
04-07-2020,135,1,85,50,0.74,62.96,1.0
04-08-2020,135,1,91,44,0.74,67.41,1.0
04-09-2020,135,1,92,43,0.74,68.15,1.0
04-10-2020,136,1,99,37,0.74,72.79,1.0074074074074073
04-11-2020,136,1,104,32,0.74,76.47,1.0
04-12-2020,136,1,106,30,0.74,77.94,1.0
04-13-2020,136,1,107,29,0.74,78.68,1.0
04-14-2020,136,1,107,29,0.74,78.68,1.0
04-15-2020,136,1,108,28,0.74,79.41,1.0
04-16-2020,136,1,108,28,0.74,79.41,1.0
04-17-2020,136,1,112,24,0.74,82.35,1.0
04-18-2020,137,1,113,24,0.73,82.48,1.0073529411764706
04-19-2020,138,1,115,23,0.72,83.33,1.0072992700729928
04-20-2020,138,1,116,22,0.72,84.06,1.0
04-21-2020,138,1,116,22,0.72,84.06,1.0
04-22-2020,138,1,117,21,0.72,84.78,1.0
04-23-2020,138,1,119,19,0.72,86.23,1.0
04-24-2020,138,1,120,18,0.72,86.96,1.0
04-25-2020,138,1,121,17,0.72,87.68,1.0
04-26-2020,138,1,123,15,0.72,89.13,1.0
04-27-2020,138,1,124,14,0.72,89.86,1.0
04-28-2020,138,1,124,14,0.72,89.86,1.0
04-29-2020,138,1,124,14,0.72,89.86,1.0
04-30-2020,138,1,124,14,0.72,89.86,1.0
05-01-2020,138,1,124,14,0.72,89.86,1.0
05-02-2020,138,1,126,12,0.72,91.3,1.0
05-03-2020,138,1,128,10,0.72,92.75,1.0
05-04-2020,138,1,130,8,0.72,94.2,1.0
05-05-2020,138,1,131,7,0.72,94.93,1.0
05-06-2020,139,1,131,8,0.72,94.24,1.0072463768115942
05-07-2020,141,1,131,10,0.71,92.91,1.014388489208633
