date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-08-2020,4,0,0,4,0.0,0.0,1
03-09-2020,4,0,0,4,0.0,0.0,1.0
03-10-2020,4,0,0,4,0.0,0.0,1.0
03-11-2020,7,1,0,7,14.29,0.0,1.75
03-12-2020,7,1,0,7,14.29,0.0,1.0
03-13-2020,23,1,0,23,4.35,0.0,3.2857142857142856
03-14-2020,41,2,0,41,4.88,0.0,1.7826086956521738
03-15-2020,51,2,0,51,3.92,0.0,1.2439024390243902
03-16-2020,52,2,0,52,3.85,0.0,1.0196078431372548
03-17-2020,67,2,0,67,2.99,0.0,1.2884615384615383
03-18-2020,92,2,0,92,2.17,0.0,1.373134328358209
03-19-2020,94,3,0,94,3.19,0.0,1.0217391304347827
03-20-2020,127,3,0,127,2.36,0.0,1.351063829787234
03-21-2020,163,3,3,160,1.84,1.84,1.2834645669291338
03-22-2020,187,3,3,184,1.6,1.6,1.147239263803681
03-23-2020,201,3,3,198,1.49,1.49,1.0748663101604279
03-24-2020,218,3,3,215,1.38,1.38,1.0845771144278606
03-25-2020,242,3,4,238,1.24,1.65,1.110091743119266
03-26-2020,264,3,8,256,1.14,3.03,1.0909090909090908
03-27-2020,293,3,9,284,1.02,3.07,1.1098484848484849
03-28-2020,331,7,11,320,2.11,3.32,1.129692832764505
03-29-2020,346,8,14,332,2.31,4.05,1.0453172205438066
03-30-2020,359,8,17,342,2.23,4.74,1.0375722543352601
03-31-2020,399,8,17,382,2.01,4.26,1.1114206128133706
04-01-2020,422,10,20,402,2.37,4.74,1.0576441102756893
04-02-2020,457,10,25,432,2.19,5.47,1.0829383886255923
04-03-2020,485,14,30,455,2.89,6.19,1.061269146608315
04-04-2020,503,17,34,469,3.38,6.76,1.0371134020618558
04-05-2020,531,20,37,494,3.77,6.97,1.0556660039761432
04-06-2020,549,22,39,510,4.01,7.1,1.0338983050847457
04-07-2020,577,23,42,535,3.99,7.28,1.0510018214936248
04-08-2020,593,24,42,551,4.05,7.08,1.0277296360485269
04-09-2020,618,24,48,570,3.88,7.77,1.042158516020236
04-10-2020,635,25,54,581,3.94,8.5,1.0275080906148868
04-11-2020,661,28,62,599,4.24,9.38,1.0409448818897638
04-12-2020,675,29,68,607,4.3,10.07,1.021180030257186
04-13-2020,685,32,71,614,4.67,10.36,1.0148148148148148
04-14-2020,713,35,81,632,4.91,11.36,1.0408759124087592
04-15-2020,747,36,105,642,4.82,14.06,1.0476858345021038
04-16-2020,800,38,122,678,4.75,15.25,1.07095046854083
04-17-2020,846,41,141,705,4.85,16.67,1.0575
04-18-2020,878,41,153,725,4.67,17.43,1.037825059101655
04-19-2020,894,42,161,733,4.7,18.01,1.0182232346241458
04-20-2020,929,43,167,762,4.63,17.98,1.0391498881431767
04-21-2020,975,45,170,805,4.62,17.44,1.0495156081808397
04-22-2020,1024,49,174,850,4.79,16.99,1.0502564102564103
04-23-2020,1097,52,190,907,4.74,17.32,1.0712890625
04-24-2020,1234,54,197,1037,4.38,15.96,1.1248860528714677
04-25-2020,1247,55,197,1050,4.41,15.8,1.0105348460291734
04-26-2020,1300,56,205,1095,4.31,15.77,1.0425020048115476
04-27-2020,1363,58,206,1157,4.26,15.11,1.0484615384615386
04-28-2020,1399,58,222,1177,4.15,15.87,1.0264123257520177
04-29-2020,1447,64,243,1204,4.42,16.79,1.0343102215868478
04-30-2020,1506,66,266,1240,4.38,17.66,1.04077401520387
05-01-2020,1555,68,276,1279,4.37,17.75,1.0325365205843293
05-02-2020,1594,72,287,1307,4.52,18.01,1.02508038585209
