date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-10-2020,1,0,0,1,0.0,0.0,1
03-11-2020,2,0,0,2,0.0,0.0,2.0
03-12-2020,2,0,0,2,0.0,0.0,1.0
03-13-2020,2,0,0,2,0.0,0.0,1.0
03-14-2020,2,0,0,2,0.0,0.0,1.0
03-15-2020,3,0,0,3,0.0,0.0,1.5
03-16-2020,15,0,0,15,0.0,0.0,5.0
03-17-2020,15,0,0,15,0.0,0.0,1.0
03-18-2020,20,1,0,20,5.0,0.0,1.3333333333333333
03-19-2020,33,1,0,33,3.03,0.0,1.65
03-20-2020,40,1,0,40,2.5,0.0,1.2121212121212122
03-21-2020,64,2,5,59,3.13,7.81,1.6
03-22-2020,75,4,5,70,5.33,6.67,1.171875
03-23-2020,99,4,5,94,4.04,5.05,1.32
03-24-2020,114,4,7,107,3.51,6.14,1.1515151515151516
03-25-2020,146,4,10,136,2.74,6.85,1.280701754385965
03-26-2020,152,7,10,142,4.61,6.58,1.0410958904109588
03-27-2020,180,9,12,168,5.0,6.67,1.1842105263157894
03-28-2020,207,11,21,186,5.31,10.14,1.15
03-29-2020,222,12,23,199,5.41,10.36,1.0724637681159421
03-30-2020,246,12,31,215,4.88,12.6,1.1081081081081081
03-31-2020,261,14,32,229,5.36,12.26,1.0609756097560976
04-01-2020,282,16,46,236,5.67,16.31,1.0804597701149425
04-02-2020,288,16,50,238,5.56,17.36,1.0212765957446808
04-03-2020,302,16,50,252,5.3,16.56,1.0486111111111112
04-04-2020,318,16,66,252,5.03,20.75,1.0529801324503312
04-05-2020,345,17,90,255,4.93,26.09,1.0849056603773586
04-06-2020,364,18,108,256,4.95,29.67,1.055072463768116
04-07-2020,384,19,127,257,4.95,33.07,1.054945054945055
04-08-2020,414,23,134,280,5.56,32.37,1.078125
04-09-2020,443,24,146,297,5.42,32.96,1.070048309178744
04-10-2020,443,24,146,297,5.42,32.96,1.0
04-11-2020,484,27,155,329,5.58,32.02,1.09255079006772
04-12-2020,497,27,161,336,5.43,32.39,1.0268595041322315
04-13-2020,497,27,161,336,5.43,32.39,1.0
04-14-2020,528,30,177,351,5.68,33.52,1.062374245472837
04-15-2020,542,32,226,316,5.9,41.7,1.0265151515151516
04-16-2020,546,32,257,289,5.86,47.07,1.007380073800738
04-17-2020,557,35,294,263,6.28,52.78,1.02014652014652
04-18-2020,565,36,321,244,6.37,56.81,1.014362657091562
04-19-2020,576,36,338,238,6.25,58.68,1.0194690265486726
04-20-2020,581,38,357,224,6.54,61.45,1.0086805555555556
04-21-2020,600,38,362,238,6.33,60.33,1.0327022375215147
04-22-2020,609,39,389,220,6.4,63.88,1.015
04-23-2020,616,41,410,206,6.66,66.56,1.0114942528735633
04-24-2020,629,41,425,204,6.52,67.57,1.021103896103896
04-25-2020,629,41,442,187,6.52,70.27,1.0
04-26-2020,632,42,453,179,6.65,71.68,1.0047694753577106
04-27-2020,635,42,469,166,6.61,73.86,1.004746835443038
04-28-2020,638,42,476,162,6.58,74.61,1.0047244094488188
04-29-2020,641,43,498,143,6.71,77.69,1.0047021943573669
04-30-2020,645,43,506,139,6.67,78.45,1.0062402496099845
05-01-2020,649,44,517,132,6.78,79.66,1.006201550387597
05-02-2020,652,44,535,117,6.75,82.06,1.00462249614792
05-03-2020,662,45,540,122,6.8,81.57,1.0153374233128833
05-04-2020,672,46,545,127,6.85,81.1,1.0151057401812689
05-05-2020,688,48,548,140,6.98,79.65,1.0238095238095237
05-06-2020,729,48,555,174,6.58,76.13,1.059593023255814
05-07-2020,736,48,562,174,6.52,76.36,1.00960219478738
05-08-2020,744,48,566,178,6.45,76.08,1.0108695652173914
05-09-2020,748,48,569,179,6.42,76.07,1.0053763440860215
05-10-2020,751,49,577,174,6.52,76.83,1.0040106951871657
05-11-2020,760,50,584,176,6.58,76.84,1.0119840213049267
05-12-2020,766,51,588,178,6.66,76.76,1.0078947368421052
05-13-2020,773,51,592,181,6.6,76.58,1.0091383812010444
05-14-2020,773,51,592,181,6.6,76.58,1.0
05-15-2020,780,51,595,185,6.54,76.28,1.0090556274256144
05-16-2020,782,51,604,178,6.52,77.24,1.0025641025641026
05-17-2020,796,51,644,152,6.41,80.9,1.0179028132992327
05-18-2020,796,51,652,144,6.41,81.91,1.0
05-19-2020,796,51,652,144,6.41,81.91,1.0
05-20-2020,809,52,661,148,6.43,81.71,1.0163316582914572
05-21-2020,812,52,669,143,6.4,82.39,1.003708281829419
05-22-2020,814,52,672,142,6.39,82.56,1.0024630541871922
05-23-2020,814,52,672,142,6.39,82.56,1.0
05-24-2020,814,52,672,142,6.39,82.56,1.0
05-25-2020,832,52,672,160,6.25,80.77,1.0221130221130221
05-26-2020,832,52,672,160,6.25,80.77,1.0
05-27-2020,845,53,672,173,6.27,79.53,1.015625
05-28-2020,847,53,719,128,6.26,84.89,1.0023668639053254
05-29-2020,847,53,720,127,6.26,85.01,1.0
05-30-2020,847,53,720,127,6.26,85.01,1.0
05-31-2020,847,53,720,127,6.26,85.01,1.0
06-01-2020,847,53,720,127,6.26,85.01,1.0
06-02-2020,881,53,720,161,6.02,81.73,1.0401416765053129
06-03-2020,884,53,753,131,6.0,85.18,1.0034052213393871
06-04-2020,885,53,760,125,5.99,85.88,1.001131221719457
06-05-2020,888,53,760,128,5.97,85.59,1.0033898305084745
06-06-2020,888,53,765,123,5.97,86.15,1.0
06-07-2020,889,53,765,124,5.96,86.05,1.0011261261261262
06-08-2020,890,53,765,125,5.96,85.96,1.001124859392576
06-09-2020,891,53,765,126,5.95,85.86,1.001123595505618
06-10-2020,891,53,765,126,5.95,85.86,1.0
06-11-2020,892,53,790,102,5.94,88.57,1.001122334455668
06-12-2020,892,53,791,101,5.94,88.68,1.0
06-13-2020,892,53,799,93,5.94,89.57,1.0
06-14-2020,894,53,799,95,5.93,89.37,1.0022421524663676
06-15-2020,894,53,804,90,5.93,89.93,1.0
06-16-2020,895,53,807,88,5.92,90.17,1.0011185682326622
06-17-2020,899,53,809,90,5.9,89.99,1.0044692737430168
06-18-2020,899,53,810,89,5.9,90.1,1.0
06-19-2020,900,53,810,90,5.89,90.0,1.0011123470522802
06-20-2020,901,53,810,91,5.88,89.9,1.001111111111111
06-21-2020,903,53,814,89,5.87,90.14,1.002219755826859
06-22-2020,903,53,814,89,5.87,90.14,1.0
06-23-2020,907,53,823,84,5.84,90.74,1.0044296788482836
06-24-2020,919,53,825,94,5.77,89.77,1.0132304299889747
06-25-2020,934,53,826,108,5.67,88.44,1.0163220892274212
06-26-2020,941,53,830,111,5.63,88.2,1.0074946466809422
06-27-2020,941,53,830,111,5.63,88.2,1.0
06-28-2020,959,53,830,129,5.53,86.55,1.0191285866099893
06-29-2020,959,53,830,129,5.53,86.55,1.0
06-30-2020,962,53,838,124,5.51,87.11,1.0031282586027113
07-01-2020,962,53,838,124,5.51,87.11,1.0
07-02-2020,967,53,846,121,5.48,87.49,1.0051975051975053
07-03-2020,980,53,852,128,5.41,86.94,1.0134436401240952
07-04-2020,987,53,854,133,5.37,86.52,1.0071428571428571
07-05-2020,987,53,854,133,5.37,86.52,1.0
07-06-2020,1000,53,858,142,5.3,85.8,1.0131712259371835
07-07-2020,1003,53,860,143,5.28,85.74,1.003
07-08-2020,1003,53,861,142,5.28,85.84,1.0
07-09-2020,1005,53,862,143,5.27,85.77,1.0019940179461615
07-10-2020,1020,53,862,158,5.2,84.51,1.0149253731343284
07-11-2020,1033,53,869,164,5.13,84.12,1.0127450980392156
07-12-2020,1036,53,869,167,5.12,83.88,1.0029041626331074
07-13-2020,1036,53,869,167,5.12,83.88,1.0
07-14-2020,1037,53,873,164,5.11,84.19,1.000965250965251
07-15-2020,1038,53,882,156,5.11,84.97,1.0009643201542913
07-16-2020,1038,53,882,156,5.11,84.97,1.0
07-17-2020,1045,53,887,158,5.07,84.88,1.0067437379576107
07-18-2020,1047,53,887,160,5.06,84.72,1.001913875598086
07-19-2020,1052,53,901,151,5.04,85.65,1.0047755491881567
07-20-2020,1065,53,901,164,4.98,84.6,1.0123574144486691
07-21-2020,1065,53,901,164,4.98,84.6,1.0
07-22-2020,1066,53,917,149,4.97,86.02,1.0009389671361502
07-23-2020,1070,53,919,151,4.95,85.89,1.00375234521576
07-24-2020,1075,53,920,155,4.93,85.58,1.0046728971962617
07-25-2020,1086,53,920,166,4.88,84.71,1.0102325581395348
07-26-2020,1086,53,920,166,4.88,84.71,1.0
07-27-2020,1100,53,926,174,4.82,84.18,1.0128913443830572
07-28-2020,1105,53,926,179,4.8,83.8,1.0045454545454546
07-29-2020,1105,53,931,174,4.8,84.25,1.0
07-30-2020,1106,53,935,171,4.79,84.54,1.0009049773755656
07-31-2020,1106,53,935,171,4.79,84.54,1.0
08-01-2020,1143,53,935,208,4.64,81.8,1.0334538878842676
08-02-2020,1143,53,945,198,4.64,82.68,1.0
08-03-2020,1150,53,947,203,4.61,82.35,1.006124234470691
08-04-2020,1153,54,947,206,4.68,82.13,1.0026086956521738
08-05-2020,1153,54,947,206,4.68,82.13,1.0
08-06-2020,1158,54,961,197,4.66,82.99,1.0043365134431916
08-07-2020,1158,54,961,197,4.66,82.99,1.0
08-08-2020,1175,54,974,201,4.6,82.89,1.0146804835924006
08-09-2020,1175,54,974,201,4.6,82.89,1.0
08-10-2020,1204,54,984,220,4.49,81.73,1.02468085106383
08-11-2020,1211,54,990,221,4.46,81.75,1.005813953488372
08-12-2020,1213,54,995,218,4.45,82.03,1.0016515276630884
08-13-2020,1228,54,997,231,4.4,81.19,1.012366034624897
08-14-2020,1238,54,1005,233,4.36,81.18,1.00814332247557
08-15-2020,1240,54,1006,234,4.35,81.13,1.001615508885299
08-16-2020,1267,55,1013,254,4.34,79.95,1.021774193548387
08-17-2020,1280,55,1018,262,4.3,79.53,1.01026045777427
08-18-2020,1280,55,1018,262,4.3,79.53,1.0
08-19-2020,1285,55,1023,262,4.28,79.61,1.00390625
08-20-2020,1297,55,1034,263,4.24,79.72,1.0093385214007782
08-21-2020,1297,55,1034,263,4.24,79.72,1.0
08-22-2020,1297,55,1034,263,4.24,79.72,1.0
08-23-2020,1320,55,1043,277,4.17,79.02,1.0177332305319968
08-24-2020,1338,55,1050,288,4.11,78.48,1.0136363636363637
08-25-2020,1338,55,1050,288,4.11,78.48,1.0
08-26-2020,1352,55,1058,294,4.07,78.25,1.0104633781763828
08-27-2020,1352,55,1058,294,4.07,78.25,1.0
08-28-2020,1352,55,1058,294,4.07,78.25,1.0
08-29-2020,1352,55,1058,294,4.07,78.25,1.0
08-30-2020,1357,55,1058,299,4.05,77.97,1.003698224852071
08-31-2020,1368,55,1058,310,4.02,77.34,1.0081061164333087
09-01-2020,1370,55,1075,295,4.01,78.47,1.0014619883040936
09-02-2020,1370,55,1075,295,4.01,78.47,1.0
09-03-2020,1375,55,1075,300,4.0,78.18,1.0036496350364963
09-04-2020,1408,55,1098,310,3.91,77.98,1.024
09-05-2020,1408,55,1098,310,3.91,77.98,1.0
09-06-2020,1452,55,1103,349,3.79,75.96,1.03125
09-07-2020,1463,56,1112,351,3.83,76.01,1.0075757575757576
09-08-2020,1466,56,1112,354,3.82,75.85,1.0020505809979494
09-09-2020,1476,56,1118,358,3.79,75.75,1.0068212824010914
09-10-2020,1486,56,1123,363,3.77,75.57,1.0067750677506775
09-11-2020,1499,56,1127,372,3.74,75.18,1.0087483176312249
09-12-2020,1514,56,1127,387,3.7,74.44,1.010006671114076
09-13-2020,1707,56,1135,572,3.28,66.49,1.1274768824306474
09-14-2020,1717,56,1137,580,3.26,66.22,1.005858230814294
09-15-2020,1733,56,1141,592,3.23,65.84,1.0093185789167152
09-16-2020,1748,56,1162,586,3.2,66.48,1.0086555106751298
09-17-2020,1767,56,1166,601,3.17,65.99,1.0108695652173914
09-18-2020,1797,56,1173,624,3.12,65.28,1.0169779286926994
09-19-2020,1816,56,1176,640,3.08,64.76,1.0105731775180857
09-20-2020,1846,56,1187,659,3.03,64.3,1.0165198237885462
09-21-2020,1896,56,1189,707,2.95,62.71,1.0270855904658722
09-22-2020,1907,56,1252,655,2.94,65.65,1.005801687763713
09-23-2020,1929,56,1252,677,2.9,64.9,1.011536444677504
09-24-2020,1950,56,1260,690,2.87,64.62,1.010886469673406
09-25-2020,1962,56,1263,699,2.85,64.37,1.0061538461538462
09-26-2020,1973,56,1264,709,2.84,64.06,1.0056065239551477
09-27-2020,2008,56,1276,732,2.79,63.55,1.0177394830207804
09-28-2020,2028,57,1279,749,2.81,63.07,1.0099601593625498
09-29-2020,2032,58,1309,723,2.85,64.42,1.0019723865877712
09-30-2020,2056,58,1335,721,2.82,64.93,1.0118110236220472
10-01-2020,2088,58,1363,725,2.78,65.28,1.0155642023346303
10-02-2020,2123,59,1385,738,2.78,65.24,1.0167624521072798
10-03-2020,2154,59,1397,757,2.74,64.86,1.0146019783325482
10-04-2020,2167,59,1419,748,2.72,65.48,1.0060352831940576
10-05-2020,2184,59,1420,764,2.7,65.02,1.0078449469312414
10-06-2020,2197,59,1441,756,2.69,65.59,1.005952380952381
10-07-2020,2222,59,1478,744,2.66,66.52,1.0113791533909877
10-08-2020,2241,60,1506,735,2.68,67.2,1.0085508550855085
