date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-27-2020,8,0,0,8,0.0,0.0,1
03-28-2020,8,0,0,8,0.0,0.0,1.0
03-29-2020,10,0,0,10,0.0,0.0,1.25
03-30-2020,14,0,0,14,0.0,0.0,1.4
03-31-2020,15,1,0,15,6.67,0.0,1.0714285714285714
04-01-2020,15,1,0,15,6.67,0.0,1.0
04-02-2020,20,1,0,20,5.0,0.0,1.3333333333333333
04-03-2020,20,1,0,20,5.0,0.0,1.0
04-04-2020,21,1,0,21,4.76,0.0,1.05
04-05-2020,21,1,0,21,4.76,0.0,1.0
04-06-2020,22,1,0,22,4.55,0.0,1.0476190476190477
04-07-2020,22,1,0,22,4.55,0.0,1.0
04-08-2020,22,3,0,22,13.64,0.0,1.0
04-09-2020,23,3,2,21,13.04,8.7,1.0454545454545454
04-10-2020,27,3,2,25,11.11,7.41,1.1739130434782608
04-11-2020,38,3,2,36,7.89,5.26,1.4074074074074074
04-12-2020,41,4,2,39,9.76,4.88,1.0789473684210527
04-13-2020,62,4,2,60,6.45,3.23,1.5121951219512195
04-14-2020,63,4,2,61,6.35,3.17,1.0161290322580645
04-15-2020,74,4,2,72,5.41,2.7,1.1746031746031746
04-16-2020,85,4,2,83,4.71,2.35,1.1486486486486487
04-17-2020,88,4,5,83,4.55,5.68,1.035294117647059
04-18-2020,98,5,5,93,5.1,5.1,1.1136363636363635
04-19-2020,111,5,7,104,4.5,6.31,1.1326530612244898
04-20-2020,119,5,7,112,4.2,5.88,1.072072072072072
04-21-2020,121,5,7,114,4.13,5.79,1.0168067226890756
04-22-2020,123,5,7,116,4.07,5.69,1.0165289256198347
04-23-2020,139,5,9,130,3.6,6.47,1.1300813008130082
04-24-2020,144,5,9,135,3.47,6.25,1.0359712230215827
04-25-2020,146,5,10,136,3.42,6.85,1.0138888888888888
04-26-2020,146,5,10,136,3.42,6.85,1.0
04-27-2020,146,5,16,130,3.42,10.96,1.0
04-28-2020,150,5,16,134,3.33,10.67,1.0273972602739727
04-29-2020,150,6,27,123,4.0,18.0,1.0
04-30-2020,151,6,27,124,3.97,17.88,1.0066666666666666
05-01-2020,151,6,31,120,3.97,20.53,1.0
05-02-2020,151,6,37,114,3.97,24.5,1.0
05-03-2020,155,6,43,112,3.87,27.74,1.0264900662251655
05-04-2020,161,6,49,112,3.73,30.43,1.038709677419355
05-05-2020,161,6,49,112,3.73,30.43,1.0
05-06-2020,161,6,50,111,3.73,31.06,1.0
05-07-2020,176,6,62,114,3.41,35.23,1.093167701863354
05-08-2020,177,6,67,110,3.39,37.85,1.0056818181818181
05-09-2020,178,6,68,110,3.37,38.2,1.0056497175141244
05-10-2020,180,6,72,108,3.33,40.0,1.0112359550561798
05-11-2020,180,6,74,106,3.33,41.11,1.0
05-12-2020,180,6,76,104,3.33,42.22,1.0
05-13-2020,181,6,79,102,3.31,43.65,1.0055555555555555
05-14-2020,181,6,84,97,3.31,46.41,1.0
05-15-2020,182,6,89,93,3.3,48.9,1.0055248618784531
05-16-2020,182,6,96,86,3.3,52.75,1.0
05-17-2020,184,6,97,87,3.26,52.72,1.010989010989011
05-18-2020,191,6,101,90,3.14,52.88,1.0380434782608696
05-19-2020,193,6,104,89,3.11,53.89,1.0104712041884816
05-20-2020,199,6,108,91,3.02,54.27,1.0310880829015545
05-21-2020,199,6,108,91,3.02,54.27,1.0
05-22-2020,199,6,116,83,3.02,58.29,1.0
05-23-2020,201,6,120,81,2.99,59.7,1.0100502512562815
05-24-2020,201,6,122,79,2.99,60.7,1.0
05-25-2020,203,6,123,80,2.96,60.59,1.0099502487562189
05-26-2020,206,6,124,82,2.91,60.19,1.0147783251231528
05-27-2020,206,6,126,80,2.91,61.17,1.0
05-28-2020,206,6,126,80,2.91,61.17,1.0
05-29-2020,207,6,130,77,2.9,62.8,1.0048543689320388
05-30-2020,224,6,130,94,2.68,58.04,1.0821256038647342
05-31-2020,224,6,138,86,2.68,61.61,1.0
06-01-2020,228,6,138,90,2.63,60.53,1.0178571428571428
06-02-2020,232,6,143,89,2.59,61.64,1.0175438596491229
06-03-2020,233,6,145,88,2.58,62.23,1.0043103448275863
06-04-2020,236,6,148,88,2.54,62.71,1.0128755364806867
06-05-2020,236,6,151,85,2.54,63.98,1.0
06-06-2020,240,6,156,84,2.5,65.0,1.0169491525423728
06-07-2020,242,6,156,86,2.48,64.46,1.0083333333333333
06-08-2020,244,6,159,85,2.46,65.16,1.0082644628099173
06-09-2020,246,6,159,87,2.44,64.63,1.0081967213114753
06-10-2020,248,6,165,83,2.42,66.53,1.008130081300813
06-11-2020,260,6,165,95,2.31,63.46,1.0483870967741935
06-12-2020,261,6,165,96,2.3,63.22,1.0038461538461538
06-13-2020,261,6,167,94,2.3,63.98,1.0
06-14-2020,261,6,167,94,2.3,63.98,1.0
06-15-2020,262,6,175,87,2.29,66.79,1.003831417624521
06-16-2020,262,6,179,83,2.29,68.32,1.0
06-17-2020,262,6,185,77,2.29,70.61,1.0
06-18-2020,286,6,187,99,2.1,65.38,1.0916030534351144
