date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-27-2020,1,0,0,1,0.0,0.0,1
01-28-2020,1,0,0,1,0.0,0.0,1.0
01-29-2020,1,0,0,1,0.0,0.0,1.0
01-30-2020,1,0,0,1,0.0,0.0,1.0
01-31-2020,1,0,0,1,0.0,0.0,1.0
02-01-2020,1,0,0,1,0.0,0.0,1.0
02-02-2020,1,0,0,1,0.0,0.0,1.0
02-03-2020,1,0,0,1,0.0,0.0,1.0
02-04-2020,1,0,0,1,0.0,0.0,1.0
02-05-2020,1,0,0,1,0.0,0.0,1.0
02-06-2020,1,0,0,1,0.0,0.0,1.0
02-07-2020,1,0,0,1,0.0,0.0,1.0
02-08-2020,1,0,0,1,0.0,0.0,1.0
02-09-2020,1,0,0,1,0.0,0.0,1.0
02-10-2020,1,0,0,1,0.0,0.0,1.0
02-11-2020,1,0,0,1,0.0,0.0,1.0
02-12-2020,1,0,1,0,0.0,100.0,1.0
02-13-2020,1,0,1,0,0.0,100.0,1.0
02-14-2020,1,0,1,0,0.0,100.0,1.0
02-15-2020,1,0,1,0,0.0,100.0,1.0
02-16-2020,1,0,1,0,0.0,100.0,1.0
02-17-2020,1,0,1,0,0.0,100.0,1.0
02-18-2020,1,0,1,0,0.0,100.0,1.0
02-19-2020,1,0,1,0,0.0,100.0,1.0
02-20-2020,1,0,1,0,0.0,100.0,1.0
02-21-2020,1,0,1,0,0.0,100.0,1.0
02-22-2020,1,0,1,0,0.0,100.0,1.0
02-23-2020,1,0,1,0,0.0,100.0,1.0
02-24-2020,1,0,1,0,0.0,100.0,1.0
02-25-2020,1,0,1,0,0.0,100.0,1.0
02-26-2020,1,0,1,0,0.0,100.0,1.0
02-27-2020,1,0,1,0,0.0,100.0,1.0
02-28-2020,1,0,1,0,0.0,100.0,1.0
02-29-2020,1,0,1,0,0.0,100.0,1.0
03-01-2020,1,0,1,0,0.0,100.0,1.0
03-02-2020,1,0,1,0,0.0,100.0,1.0
03-03-2020,1,0,1,0,0.0,100.0,1.0
03-04-2020,1,0,1,0,0.0,100.0,1.0
03-05-2020,1,0,1,0,0.0,100.0,1.0
03-06-2020,1,0,1,0,0.0,100.0,1.0
03-07-2020,1,0,1,0,0.0,100.0,1.0
03-08-2020,2,0,1,1,0.0,50.0,2.0
03-09-2020,2,0,1,1,0.0,50.0,1.0
03-10-2020,2,0,1,1,0.0,50.0,1.0
03-11-2020,3,0,1,2,0.0,33.33,1.5
03-12-2020,3,0,1,2,0.0,33.33,1.0
03-13-2020,5,0,1,4,0.0,20.0,1.6666666666666665
03-14-2020,7,0,1,6,0.0,14.29,1.4
03-15-2020,7,0,1,6,0.0,14.29,1.0
03-16-2020,7,0,1,6,0.0,14.29,1.0
03-17-2020,33,0,1,32,0.0,3.03,4.714285714285714
03-18-2020,35,0,1,34,0.0,2.86,1.0606060606060606
03-19-2020,37,0,1,36,0.0,2.7,1.0571428571428572
03-20-2020,51,0,1,50,0.0,1.96,1.3783783783783785
03-21-2020,53,0,1,52,0.0,1.89,1.0392156862745099
03-22-2020,84,0,2,82,0.0,2.38,1.5849056603773586
03-23-2020,87,0,2,85,0.0,2.3,1.0357142857142858
03-24-2020,91,0,4,87,0.0,4.4,1.0459770114942528
03-25-2020,96,0,10,86,0.0,10.42,1.054945054945055
03-26-2020,96,0,10,86,0.0,10.42,1.0
03-27-2020,99,0,11,88,0.0,11.11,1.03125
03-28-2020,99,0,13,86,0.0,13.13,1.0
03-29-2020,103,0,21,82,0.0,20.39,1.0404040404040404
03-30-2020,107,0,21,86,0.0,19.63,1.0388349514563107
03-31-2020,109,0,23,86,0.0,21.1,1.0186915887850467
04-01-2020,109,0,25,84,0.0,22.94,1.0
04-02-2020,110,0,34,76,0.0,30.91,1.0091743119266054
04-03-2020,114,0,35,79,0.0,30.7,1.0363636363636364
04-04-2020,114,0,50,64,0.0,43.86,1.0
04-05-2020,114,0,50,64,0.0,43.86,1.0
04-06-2020,114,0,53,61,0.0,46.49,1.0
04-07-2020,115,0,58,57,0.0,50.43,1.0087719298245614
04-08-2020,117,0,63,54,0.0,53.85,1.017391304347826
04-09-2020,119,0,62,57,0.0,52.1,1.017094017094017
04-10-2020,119,0,72,47,0.0,60.5,1.0
04-11-2020,120,0,75,45,0.0,62.5,1.0084033613445378
04-12-2020,122,0,77,45,0.0,63.11,1.0166666666666666
04-13-2020,122,0,77,45,0.0,63.11,1.0
04-14-2020,122,0,91,31,0.0,74.59,1.0
04-15-2020,122,0,96,26,0.0,78.69,1.0
04-16-2020,122,0,98,24,0.0,80.33,1.0
04-17-2020,122,0,98,24,0.0,80.33,1.0
04-18-2020,122,0,103,19,0.0,84.43,1.0
04-19-2020,122,0,105,17,0.0,86.07,1.0
04-20-2020,122,0,107,15,0.0,87.7,1.0
04-21-2020,122,0,110,12,0.0,90.16,1.0
04-22-2020,122,0,110,12,0.0,90.16,1.0
04-23-2020,122,0,110,12,0.0,90.16,1.0
04-24-2020,122,0,117,5,0.0,95.9,1.0
04-25-2020,122,0,117,5,0.0,95.9,1.0
04-26-2020,122,0,117,5,0.0,95.9,1.0
04-27-2020,122,0,119,3,0.0,97.54,1.0
04-28-2020,122,0,119,3,0.0,97.54,1.0
04-29-2020,122,0,119,3,0.0,97.54,1.0
04-30-2020,122,0,119,3,0.0,97.54,1.0
05-01-2020,122,0,120,2,0.0,98.36,1.0
05-02-2020,122,0,120,2,0.0,98.36,1.0
05-03-2020,122,0,120,2,0.0,98.36,1.0
05-04-2020,122,0,120,2,0.0,98.36,1.0
05-05-2020,122,0,120,2,0.0,98.36,1.0
05-06-2020,122,0,120,2,0.0,98.36,1.0
05-07-2020,122,0,120,2,0.0,98.36,1.0
05-08-2020,122,0,120,2,0.0,98.36,1.0
05-09-2020,122,0,120,2,0.0,98.36,1.0
05-10-2020,122,0,120,2,0.0,98.36,1.0
05-11-2020,122,0,121,1,0.0,99.18,1.0
05-12-2020,122,0,121,1,0.0,99.18,1.0
05-13-2020,122,0,121,1,0.0,99.18,1.0
05-14-2020,122,0,121,1,0.0,99.18,1.0
05-15-2020,122,0,122,0,0.0,100.0,1.0
05-16-2020,122,0,122,0,0.0,100.0,1.0
05-17-2020,122,0,122,0,0.0,100.0,1.0
05-18-2020,122,0,122,0,0.0,100.0,1.0
05-19-2020,122,0,122,0,0.0,100.0,1.0
05-20-2020,122,0,122,0,0.0,100.0,1.0
05-21-2020,123,0,122,1,0.0,99.19,1.0081967213114753
05-22-2020,123,0,122,1,0.0,99.19,1.0
05-23-2020,124,0,122,2,0.0,98.39,1.008130081300813
05-24-2020,124,0,122,2,0.0,98.39,1.0
05-25-2020,124,0,122,2,0.0,98.39,1.0
05-26-2020,124,0,122,2,0.0,98.39,1.0
05-27-2020,124,0,122,2,0.0,98.39,1.0
05-28-2020,124,0,122,2,0.0,98.39,1.0
05-29-2020,124,0,122,2,0.0,98.39,1.0
05-30-2020,125,0,123,2,0.0,98.4,1.0080645161290323
05-31-2020,125,0,123,2,0.0,98.4,1.0
06-01-2020,125,0,123,2,0.0,98.4,1.0
06-02-2020,125,0,123,2,0.0,98.4,1.0
06-03-2020,125,0,123,2,0.0,98.4,1.0
06-04-2020,125,0,123,2,0.0,98.4,1.0
06-05-2020,125,0,123,2,0.0,98.4,1.0
06-06-2020,125,0,123,2,0.0,98.4,1.0
06-07-2020,126,0,123,3,0.0,97.62,1.008
06-08-2020,126,0,123,3,0.0,97.62,1.0
06-09-2020,126,0,125,1,0.0,99.21,1.0
06-10-2020,126,0,125,1,0.0,99.21,1.0
06-11-2020,126,0,125,1,0.0,99.21,1.0
06-12-2020,126,0,125,1,0.0,99.21,1.0
06-13-2020,128,0,125,3,0.0,97.66,1.0158730158730158
06-14-2020,128,0,125,3,0.0,97.66,1.0
06-15-2020,128,0,125,3,0.0,97.66,1.0
06-16-2020,128,0,126,2,0.0,98.44,1.0
06-17-2020,128,0,126,2,0.0,98.44,1.0
06-18-2020,129,0,126,3,0.0,97.67,1.0078125
06-19-2020,129,0,126,3,0.0,97.67,1.0
06-20-2020,129,0,126,3,0.0,97.67,1.0
06-21-2020,129,0,127,2,0.0,98.45,1.0
06-22-2020,130,0,127,3,0.0,97.69,1.0077519379844961
06-23-2020,130,0,127,3,0.0,97.69,1.0
06-24-2020,130,0,127,3,0.0,97.69,1.0
06-25-2020,130,0,127,3,0.0,97.69,1.0
06-26-2020,139,0,129,10,0.0,92.81,1.0692307692307692
06-27-2020,141,0,129,12,0.0,91.49,1.014388489208633
06-28-2020,141,0,130,11,0.0,92.2,1.0
06-29-2020,141,0,130,11,0.0,92.2,1.0
06-30-2020,141,0,130,11,0.0,92.2,1.0
07-01-2020,141,0,131,10,0.0,92.91,1.0
07-02-2020,141,0,131,10,0.0,92.91,1.0
07-03-2020,141,0,131,10,0.0,92.91,1.0
07-04-2020,141,0,131,10,0.0,92.91,1.0
07-05-2020,141,0,131,10,0.0,92.91,1.0
07-06-2020,141,0,131,10,0.0,92.91,1.0
07-07-2020,141,0,131,10,0.0,92.91,1.0
07-08-2020,141,0,131,10,0.0,92.91,1.0
07-09-2020,141,0,131,10,0.0,92.91,1.0
07-10-2020,141,0,131,10,0.0,92.91,1.0
07-11-2020,156,0,133,23,0.0,85.26,1.1063829787234043
07-12-2020,156,0,133,23,0.0,85.26,1.0
07-13-2020,165,0,133,32,0.0,80.61,1.0576923076923077
07-14-2020,165,0,133,32,0.0,80.61,1.0
07-15-2020,166,0,133,33,0.0,80.12,1.006060606060606
07-16-2020,171,0,133,38,0.0,77.78,1.0301204819277108
07-17-2020,171,0,133,38,0.0,77.78,1.0
07-18-2020,171,0,133,38,0.0,77.78,1.0
07-19-2020,171,0,136,35,0.0,79.53,1.0
07-20-2020,171,0,136,35,0.0,79.53,1.0
07-21-2020,197,0,140,57,0.0,71.07,1.1520467836257309
07-22-2020,198,0,142,56,0.0,71.72,1.0050761421319796
07-23-2020,202,0,142,60,0.0,70.3,1.02020202020202
07-24-2020,202,0,142,60,0.0,70.3,1.0
07-25-2020,225,0,143,82,0.0,63.56,1.113861386138614
07-26-2020,225,0,143,82,0.0,63.56,1.0
07-27-2020,226,0,147,79,0.0,65.04,1.0044444444444445
07-28-2020,226,0,147,79,0.0,65.04,1.0
07-29-2020,226,0,147,79,0.0,65.04,1.0
07-30-2020,234,0,164,70,0.0,70.09,1.0353982300884956
07-31-2020,239,0,164,75,0.0,68.62,1.0213675213675213
08-01-2020,240,0,196,44,0.0,81.67,1.00418410041841
08-02-2020,240,0,196,44,0.0,81.67,1.0
08-03-2020,240,0,197,43,0.0,82.08,1.0
08-04-2020,243,0,202,41,0.0,83.13,1.0125
08-05-2020,243,0,202,41,0.0,83.13,1.0
08-06-2020,243,0,214,29,0.0,88.07,1.0
08-07-2020,246,0,215,31,0.0,87.4,1.0123456790123457
08-08-2020,248,0,217,31,0.0,87.5,1.008130081300813
08-09-2020,251,0,219,32,0.0,87.25,1.0120967741935485
08-10-2020,251,0,219,32,0.0,87.25,1.0
08-11-2020,268,0,220,48,0.0,82.09,1.0677290836653386
08-12-2020,272,0,223,49,0.0,81.99,1.0149253731343284
08-13-2020,273,0,225,48,0.0,82.42,1.0036764705882353
08-14-2020,273,0,225,48,0.0,82.42,1.0
08-15-2020,273,0,238,35,0.0,87.18,1.0
08-16-2020,273,0,238,35,0.0,87.18,1.0
08-17-2020,273,0,238,35,0.0,87.18,1.0
08-18-2020,273,0,251,22,0.0,91.94,1.0
08-19-2020,273,0,253,20,0.0,92.67,1.0
08-20-2020,273,0,253,20,0.0,92.67,1.0
08-21-2020,273,0,263,10,0.0,96.34,1.0
08-22-2020,273,0,263,10,0.0,96.34,1.0
08-23-2020,273,0,263,10,0.0,96.34,1.0
08-24-2020,273,0,263,10,0.0,96.34,1.0
08-25-2020,273,0,264,9,0.0,96.7,1.0
08-26-2020,273,0,264,9,0.0,96.7,1.0
08-27-2020,273,0,265,8,0.0,97.07,1.0
08-28-2020,273,0,265,8,0.0,97.07,1.0
08-29-2020,273,0,265,8,0.0,97.07,1.0
08-30-2020,273,0,265,8,0.0,97.07,1.0
08-31-2020,274,0,266,8,0.0,97.08,1.0036630036630036
