date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-03-2020,1,0,0,1,0.0,0.0,1
03-04-2020,1,0,0,1,0.0,0.0,1.0
03-05-2020,4,0,0,4,0.0,0.0,4.0
03-06-2020,4,0,0,4,0.0,0.0,1.0
03-07-2020,4,0,0,4,0.0,0.0,1.0
03-08-2020,8,0,0,8,0.0,0.0,2.0
03-09-2020,8,0,0,8,0.0,0.0,1.0
03-10-2020,13,0,0,13,0.0,0.0,1.625
03-11-2020,23,0,0,23,0.0,0.0,1.7692307692307692
03-12-2020,23,0,0,23,0.0,0.0,1.0
03-13-2020,43,0,0,43,0.0,0.0,1.8695652173913042
03-14-2020,61,0,0,61,0.0,0.0,1.4186046511627908
03-15-2020,74,0,0,74,0.0,0.0,1.2131147540983607
03-16-2020,155,0,0,155,0.0,0.0,2.0945945945945947
03-17-2020,201,0,0,201,0.0,0.0,1.2967741935483872
03-18-2020,238,0,0,238,0.0,0.0,1.1840796019900497
03-19-2020,238,0,0,238,0.0,0.0,1.0
03-20-2020,434,0,6,428,0.0,1.38,1.8235294117647058
03-21-2020,537,0,6,531,0.0,1.12,1.237327188940092
03-22-2020,632,1,8,624,0.16,1.27,1.1769087523277468
03-23-2020,746,2,11,735,0.27,1.47,1.1803797468354431
03-24-2020,922,2,17,905,0.22,1.84,1.2359249329758712
03-25-2020,1142,3,22,1120,0.26,1.93,1.2386117136659436
03-26-2020,1306,4,22,1284,0.31,1.68,1.1436077057793346
03-27-2020,1610,5,43,1567,0.31,2.67,1.2327718223583461
03-28-2020,1909,6,61,1848,0.31,3.2,1.1857142857142857
03-29-2020,2139,7,75,2064,0.33,3.51,1.1204819277108433
03-30-2020,2449,8,156,2293,0.33,6.37,1.144927536231884
03-31-2020,2738,12,156,2582,0.44,5.7,1.1180073499387504
04-01-2020,3031,16,234,2797,0.53,7.72,1.1070124178232286
04-02-2020,3404,18,335,3069,0.53,9.84,1.1230616958099637
04-03-2020,3737,22,427,3310,0.59,11.43,1.0978260869565217
04-04-2020,4161,27,528,3633,0.65,12.69,1.1134599946481134
04-05-2020,4471,34,618,3853,0.76,13.82,1.0745013217976447
04-06-2020,4815,37,728,4087,0.77,15.12,1.0769402818161484
04-07-2020,5116,43,898,4218,0.84,17.55,1.0625129802699895
04-08-2020,5546,48,1115,4431,0.87,20.1,1.0840500390930414
04-09-2020,5972,57,1274,4698,0.95,21.33,1.0768121168409666
04-10-2020,6501,65,1571,4930,1.0,24.17,1.0885800401875418
04-11-2020,6927,73,1864,5063,1.05,26.91,1.0655283802491924
04-12-2020,7213,80,2059,5154,1.11,28.55,1.0412877147394255
04-13-2020,7525,82,2367,5158,1.09,31.46,1.0432552336059893
04-14-2020,7917,92,2646,5271,1.16,33.42,1.0520930232558139
04-15-2020,8273,94,2937,5336,1.14,35.5,1.0449665277251483
04-16-2020,8807,105,3299,5508,1.19,37.46,1.064547322615738
04-17-2020,9252,116,3621,5631,1.25,39.14,1.0505279890995798
04-18-2020,9730,126,4035,5695,1.29,41.47,1.051664504971898
04-19-2020,10088,133,4338,5750,1.32,43.0,1.036793422404933
04-20-2020,10507,139,4676,5831,1.32,44.5,1.0415344964314037
04-21-2020,10832,147,4969,5863,1.36,45.87,1.030931759779195
04-22-2020,11296,160,5386,5910,1.42,47.68,1.0428360413589366
