date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-22-2020,547,17,28,519,3.11,5.12,1
01-23-2020,639,18,30,609,2.82,4.69,1.1681901279707496
01-24-2020,916,26,36,880,2.84,3.93,1.433489827856025
01-25-2020,1399,42,39,1360,3.0,2.79,1.527292576419214
01-26-2020,2062,56,49,2013,2.72,2.38,1.4739099356683345
01-27-2020,2863,82,58,2805,2.86,2.03,1.3884578079534433
01-28-2020,5494,131,101,5393,2.38,1.84,1.918966119455117
01-29-2020,6070,133,120,5950,2.19,1.98,1.1048416454313796
01-30-2020,8124,171,135,7989,2.1,1.66,1.3383855024711697
01-31-2020,9783,213,214,9569,2.18,2.19,1.2042097488921713
02-01-2020,11871,259,275,11596,2.18,2.32,1.2134314627414904
02-02-2020,16607,361,463,16144,2.17,2.79,1.3989554376210935
02-03-2020,19693,425,614,19079,2.16,3.12,1.1858252544107906
02-04-2020,23680,490,843,22837,2.07,3.56,1.202457726095567
02-05-2020,27409,562,1115,26294,2.05,4.07,1.157474662162162
02-06-2020,30553,632,1476,29077,2.07,4.83,1.1147068481155824
02-07-2020,34075,717,1998,32077,2.1,5.86,1.1152750957352797
02-08-2020,36778,804,2595,34183,2.19,7.06,1.079325018341893
02-09-2020,39790,904,3218,36572,2.27,8.09,1.0818967861221382
02-10-2020,42306,1011,3917,38389,2.39,9.26,1.0632319678311133
02-11-2020,44327,1111,4635,39692,2.51,10.46,1.0477710017491608
02-12-2020,44699,1116,5079,39620,2.5,11.36,1.0083921763259414
02-13-2020,59832,1368,6213,53619,2.29,10.38,1.3385534351998927
02-14-2020,66292,1520,7973,58319,2.29,12.03,1.107968979810135
02-15-2020,68347,1662,9294,59053,2.43,13.6,1.030999215591625
02-16-2020,70446,1765,10748,59698,2.51,15.26,1.0307109309845348
02-17-2020,72364,1863,12455,59909,2.57,17.21,1.0272265281208302
02-18-2020,74139,2002,14199,59940,2.7,19.15,1.0245287712122049
