date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-06-2020,1,0,0,1,0.0,0.0,0
03-07-2020,1,0,0,1,0.0,0.0,0.0
03-08-2020,5,0,0,5,0.0,0.0,4.0
03-09-2020,9,0,0,9,0.0,0.0,0.8
03-10-2020,9,0,0,9,0.0,0.0,0.0
03-11-2020,13,0,0,13,0.0,0.0,0.4444444444444444
03-12-2020,22,0,0,22,0.0,0.0,0.6923076923076923
03-13-2020,23,0,0,23,0.0,0.0,0.045454545454545456
03-14-2020,26,0,0,26,0.0,0.0,0.13043478260869565
03-15-2020,27,0,0,27,0.0,0.0,0.038461538461538464
03-16-2020,35,0,0,35,0.0,0.0,0.2962962962962963
03-17-2020,41,0,0,41,0.0,0.0,0.17142857142857143
03-18-2020,50,0,0,50,0.0,0.0,0.21951219512195122
03-19-2020,69,1,0,69,1.45,0.0,0.38
03-20-2020,89,1,0,89,1.12,0.0,0.2898550724637681
03-21-2020,117,2,2,115,1.71,1.71,0.3146067415730337
03-22-2020,134,2,2,132,1.49,1.49,0.1452991452991453
03-23-2020,158,2,2,156,1.27,1.27,0.1791044776119403
03-24-2020,177,2,2,175,1.13,1.13,0.12025316455696203
03-25-2020,201,2,2,199,1.0,1.0,0.13559322033898305
03-26-2020,231,2,2,229,0.87,0.87,0.14925373134328357
03-27-2020,263,2,3,260,0.76,1.14,0.13852813852813853
03-28-2020,295,2,3,292,0.68,1.02,0.12167300380228137
03-29-2020,314,2,3,311,0.64,0.96,0.06440677966101695
03-30-2020,330,2,4,326,0.61,1.21,0.050955414012738856
03-31-2020,347,2,4,343,0.58,1.15,0.051515151515151514
04-01-2020,375,2,4,371,0.53,1.07,0.08069164265129683
04-02-2020,396,2,6,390,0.51,1.52,0.056
