date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-11-2020,1,0,0,1,0.0,0.0,0
03-12-2020,1,0,0,1,0.0,0.0,0.0
03-13-2020,1,0,0,1,0.0,0.0,0.0
03-14-2020,1,0,0,1,0.0,0.0,0.0
03-15-2020,1,0,0,1,0.0,0.0,0.0
03-16-2020,1,0,0,1,0.0,0.0,0.0
03-17-2020,5,0,1,4,0.0,20.0,4.0
03-18-2020,6,0,1,5,0.0,16.67,0.2
03-19-2020,9,0,1,8,0.0,11.11,0.5
03-20-2020,9,0,1,8,0.0,11.11,0.0
03-21-2020,14,0,1,13,0.0,7.14,0.5555555555555556
03-22-2020,14,0,1,13,0.0,7.14,0.0
03-23-2020,25,0,2,23,0.0,8.0,0.7857142857142857
03-24-2020,73,0,2,71,0.0,2.74,1.92
03-25-2020,80,0,3,77,0.0,3.75,0.0958904109589041
03-26-2020,96,0,3,93,0.0,3.13,0.2
03-27-2020,101,0,3,98,0.0,2.97,0.052083333333333336
03-28-2020,101,0,3,98,0.0,2.97,0.0
03-29-2020,165,1,4,161,0.61,2.42,0.6336633663366337
03-30-2020,168,1,6,162,0.6,3.57,0.01818181818181818
03-31-2020,179,1,7,172,0.56,3.91,0.06547619047619048
04-01-2020,190,1,9,181,0.53,4.74,0.061452513966480445
04-02-2020,194,1,15,179,0.52,7.73,0.021052631578947368
04-03-2020,218,1,19,199,0.46,8.72,0.12371134020618557
04-04-2020,245,1,25,220,0.41,10.2,0.12385321100917432
04-05-2020,261,3,37,224,1.15,14.18,0.0653061224489796
04-06-2020,323,3,41,282,0.93,12.69,0.23754789272030652
04-07-2020,349,3,41,308,0.86,11.75,0.0804953560371517
04-08-2020,384,3,48,336,0.78,12.5,0.10028653295128939
04-09-2020,444,3,52,392,0.68,11.71,0.15625
