date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-12-2020,3,0,0,3,0.0,0.0,1
03-13-2020,4,0,0,4,0.0,0.0,1.3333333333333333
03-14-2020,4,0,0,4,0.0,0.0,1.0
03-15-2020,4,0,0,4,0.0,0.0,1.0
03-16-2020,4,0,0,4,0.0,0.0,1.0
03-17-2020,5,0,0,5,0.0,0.0,1.25
03-18-2020,7,1,0,7,14.29,0.0,1.4
03-19-2020,11,1,0,11,9.09,0.0,1.5714285714285714
03-20-2020,16,1,0,16,6.25,0.0,1.4545454545454546
03-21-2020,21,1,0,21,4.76,0.0,1.3125
03-22-2020,35,1,0,35,2.86,0.0,1.6666666666666665
03-23-2020,40,1,0,40,2.5,0.0,1.1428571428571428
03-24-2020,48,1,1,47,2.08,2.08,1.2
03-25-2020,57,1,1,56,1.75,1.75,1.1875
03-26-2020,67,2,1,66,2.99,1.49,1.1754385964912282
03-27-2020,80,2,4,76,2.5,5.0,1.1940298507462686
03-28-2020,119,3,4,115,2.52,3.36,1.4875
03-29-2020,139,3,4,135,2.16,2.88,1.1680672268907564
03-30-2020,170,4,4,166,2.35,2.35,1.223021582733813
03-31-2020,186,6,8,178,3.23,4.3,1.0941176470588236
04-01-2020,212,6,12,200,2.83,5.66,1.139784946236559
04-02-2020,233,6,13,220,2.58,5.58,1.099056603773585
04-03-2020,269,6,15,254,2.23,5.58,1.1545064377682404
04-04-2020,288,6,15,273,2.08,5.21,1.070631970260223
04-05-2020,320,8,15,305,2.5,4.69,1.1111111111111112
04-06-2020,350,9,18,332,2.57,5.14,1.09375
04-07-2020,396,11,27,369,2.78,6.82,1.1314285714285715
04-08-2020,457,12,27,430,2.63,5.91,1.154040404040404
04-09-2020,515,15,28,487,2.91,5.44,1.12691466083151
04-10-2020,564,15,51,513,2.66,9.04,1.0951456310679613
04-11-2020,620,16,77,543,2.58,12.42,1.099290780141844
04-12-2020,669,18,92,577,2.69,13.75,1.0790322580645162
04-13-2020,726,21,121,605,2.89,16.67,1.0852017937219731
04-14-2020,766,21,132,634,2.74,17.23,1.0550964187327825
04-15-2020,814,24,151,663,2.95,18.55,1.0626631853785902
04-16-2020,862,27,171,691,3.13,19.84,1.058968058968059
04-17-2020,923,31,192,731,3.36,20.8,1.0707656612529002
04-18-2020,986,32,227,759,3.25,23.02,1.068255687973998
04-19-2020,1035,34,255,780,3.29,24.64,1.0496957403651115
04-20-2020,1087,36,285,802,3.31,26.22,1.0502415458937198
04-21-2020,1137,38,309,828,3.34,27.18,1.045998160073597
04-22-2020,1189,40,341,848,3.36,28.68,1.0457343887423043
04-23-2020,1235,43,365,870,3.48,29.55,1.0386879730866274
04-24-2020,1285,49,416,869,3.81,32.37,1.040485829959514
04-25-2020,1337,51,437,900,3.81,32.69,1.040466926070039
04-26-2020,1369,54,501,868,3.94,36.6,1.0239341810022438
04-27-2020,1389,56,525,864,4.03,37.8,1.014609203798393
04-28-2020,1437,58,575,862,4.04,40.01,1.0345572354211663
04-29-2020,1467,58,617,850,3.95,42.06,1.0208768267223383
04-30-2020,1501,61,681,820,4.06,45.37,1.0231765507839128
05-01-2020,1537,64,714,823,4.16,46.45,1.0239840106595604
05-02-2020,1611,66,765,846,4.1,47.49,1.048145738451529
05-03-2020,1649,67,827,822,4.06,50.15,1.0235878336436997
05-04-2020,1668,69,876,792,4.14,52.52,1.0115221346270467
05-05-2020,1685,69,954,731,4.09,56.62,1.0101918465227817
05-06-2020,1703,69,1001,702,4.05,58.78,1.0106824925816025
05-07-2020,1729,73,1031,698,4.22,59.63,1.015267175572519
05-08-2020,1741,74,1078,663,4.25,61.92,1.0069404279930596
05-09-2020,1754,74,1140,614,4.22,64.99,1.0074669730040207
05-10-2020,1766,77,1193,573,4.36,67.55,1.0068415051311288
05-11-2020,1783,77,1229,554,4.32,68.93,1.0096262740656852
05-12-2020,1804,78,1277,527,4.32,70.79,1.0117779024116658
05-13-2020,1810,79,1326,484,4.36,73.26,1.0033259423503327
05-14-2020,1830,79,1383,447,4.32,75.57,1.011049723756906
05-15-2020,1840,79,1425,415,4.29,77.45,1.005464480874317
05-16-2020,1862,79,1460,402,4.24,78.41,1.0119565217391304
05-17-2020,1872,79,1495,377,4.22,79.86,1.0053705692803436
05-18-2020,1881,79,1505,376,4.2,80.01,1.0048076923076923
05-19-2020,1887,79,1538,349,4.19,81.51,1.003189792663477
05-20-2020,1900,79,1573,327,4.16,82.79,1.0068892421833597
05-21-2020,1908,80,1603,305,4.19,84.01,1.0042105263157894
05-22-2020,1916,81,1631,285,4.23,85.13,1.0041928721174005
05-23-2020,1931,81,1671,260,4.19,86.54,1.0078288100208768
05-24-2020,1941,82,1689,252,4.22,87.02,1.0051786639047127
05-25-2020,1947,82,1704,243,4.21,87.52,1.0030911901081916
05-26-2020,1963,82,1709,254,4.18,87.06,1.0082177709296354
05-27-2020,1974,82,1724,250,4.15,87.34,1.0056036678553235
05-28-2020,1983,82,1734,249,4.14,87.44,1.0045592705167172
05-29-2020,2005,82,1760,245,4.09,87.78,1.011094301563288
05-30-2020,2025,83,1795,230,4.1,88.64,1.0099750623441397
05-31-2020,2045,83,1809,236,4.06,88.46,1.0098765432098766
06-01-2020,2083,83,1826,257,3.98,87.66,1.0185819070904645
06-02-2020,2092,83,1827,265,3.97,87.33,1.0043206913106097
06-03-2020,2107,83,1830,277,3.94,86.85,1.00717017208413
06-04-2020,2119,83,1839,280,3.92,86.79,1.0056953013763645
06-05-2020,2133,83,1848,285,3.89,86.64,1.006606890042473
06-06-2020,2173,83,1855,318,3.82,85.37,1.0187529301453353
06-07-2020,2191,83,1862,329,3.79,84.98,1.0082834790612056
06-08-2020,2200,83,1868,332,3.77,84.91,1.004107713372889
06-09-2020,2205,83,1880,325,3.76,85.26,1.0022727272727272
06-10-2020,2211,83,1886,325,3.75,85.3,1.002721088435374
06-11-2020,2219,84,1893,326,3.79,85.31,1.0036182722749887
06-12-2020,2233,84,1902,331,3.76,85.18,1.0063091482649842
06-13-2020,2238,84,1923,315,3.75,85.92,1.0022391401701747
06-14-2020,2248,84,1948,300,3.74,86.65,1.0044682752457552
06-15-2020,2262,84,1965,297,3.71,86.87,1.0062277580071175
06-16-2020,2273,84,1994,279,3.7,87.73,1.0048629531388151
06-17-2020,2280,84,1999,281,3.68,87.68,1.0030796304443468
06-18-2020,2295,85,2020,275,3.7,88.02,1.006578947368421
06-19-2020,2305,85,2037,268,3.69,88.37,1.0043572984749456
06-20-2020,2309,85,2071,238,3.68,89.69,1.0017353579175705
06-21-2020,2312,85,2103,209,3.68,90.96,1.0012992637505413
06-22-2020,2315,85,2113,202,3.67,91.27,1.0012975778546713
06-23-2020,2318,85,2123,195,3.67,91.59,1.0012958963282936
06-24-2020,2319,85,2130,189,3.67,91.85,1.0004314063848145
06-25-2020,2321,85,2171,150,3.66,93.54,1.0008624407072013
06-26-2020,2325,85,2180,145,3.66,93.76,1.001723395088324
06-27-2020,2330,86,2187,143,3.69,93.86,1.0021505376344086
06-28-2020,2332,86,2201,131,3.69,94.38,1.0008583690987125
06-29-2020,2340,86,2211,129,3.68,94.49,1.0034305317324186
06-30-2020,2341,86,2214,127,3.67,94.57,1.0004273504273504
07-01-2020,2348,86,2218,130,3.66,94.46,1.0029901751388295
07-02-2020,2353,86,2221,132,3.65,94.39,1.002129471890971
07-03-2020,2361,86,2224,137,3.64,94.2,1.0033999150021249
07-04-2020,2369,86,2227,142,3.63,94.01,1.0033883947479882
07-05-2020,2372,86,2229,143,3.63,93.97,1.0012663571127058
07-06-2020,2380,86,2234,146,3.61,93.87,1.0033726812816188
07-07-2020,2395,86,2240,155,3.59,93.53,1.0063025210084033
07-08-2020,2399,86,2242,157,3.58,93.46,1.001670146137787
07-09-2020,2403,86,2244,159,3.58,93.38,1.0016673614005835
07-10-2020,2413,86,2249,164,3.56,93.2,1.004161464835622
07-11-2020,2420,87,2254,166,3.6,93.14,1.0029009531703275
07-12-2020,2426,87,2258,168,3.59,93.08,1.0024793388429751
07-13-2020,2428,87,2268,160,3.58,93.41,1.0008244023083264
07-14-2020,2432,87,2275,157,3.58,93.54,1.00164744645799
07-15-2020,2438,87,2277,161,3.57,93.4,1.002467105263158
07-16-2020,2440,87,2285,155,3.57,93.65,1.0008203445447088
