date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-18-2020,1,0,0,1,0.0,0.0,0
03-19-2020,1,0,0,1,0.0,0.0,0.0
03-20-2020,1,0,0,1,0.0,0.0,0.0
03-21-2020,1,0,0,1,0.0,0.0,0.0
03-22-2020,1,0,0,1,0.0,0.0,0.0
03-23-2020,3,0,0,3,0.0,0.0,2.0
03-24-2020,3,0,0,3,0.0,0.0,0.0
03-25-2020,11,0,0,11,0.0,0.0,2.6666666666666665
03-26-2020,11,0,0,11,0.0,0.0,0.0
03-27-2020,12,0,0,12,0.0,0.0,0.09090909090909091
03-28-2020,14,0,0,14,0.0,0.0,0.16666666666666666
03-29-2020,18,0,0,18,0.0,0.0,0.2857142857142857
03-30-2020,18,0,0,18,0.0,0.0,0.0
03-31-2020,30,0,0,30,0.0,0.0,0.6666666666666666
04-01-2020,33,0,0,33,0.0,0.0,0.1
04-02-2020,40,0,0,40,0.0,0.0,0.21212121212121213
04-03-2020,49,0,8,41,0.0,16.33,0.225
04-04-2020,50,0,8,42,0.0,16.0,0.02040816326530612
04-05-2020,59,0,9,50,0.0,15.25,0.18
04-06-2020,90,0,9,81,0.0,10.0,0.5254237288135594
04-07-2020,90,0,9,81,0.0,10.0,0.0
04-08-2020,135,0,25,110,0.0,18.52,0.5
04-09-2020,135,0,25,110,0.0,18.52,0.0
04-10-2020,150,1,36,114,0.67,24.0,0.1111111111111111
04-11-2020,187,2,36,151,1.07,19.25,0.24666666666666667
04-12-2020,214,2,36,178,0.93,16.82,0.1443850267379679
04-13-2020,298,2,41,257,0.67,13.76,0.3925233644859813
04-14-2020,363,2,53,310,0.55,14.6,0.2181208053691275
04-15-2020,435,2,71,364,0.46,16.32,0.19834710743801653
04-16-2020,591,2,73,518,0.34,12.35,0.3586206896551724
04-17-2020,732,2,76,656,0.27,10.38,0.23857868020304568
04-18-2020,732,2,76,656,0.27,10.38,0.0
04-19-2020,846,2,102,744,0.24,12.06,0.1557377049180328
04-20-2020,846,2,102,744,0.24,12.06,0.0
04-21-2020,945,2,112,833,0.21,11.85,0.11702127659574468
04-22-2020,974,2,183,791,0.21,18.79,0.030687830687830688
04-23-2020,986,2,252,734,0.2,25.56,0.012320328542094456
