date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-01-2020,1,0,0,1,0.0,0.0,1
03-02-2020,1,0,0,1,0.0,0.0,1.0
03-03-2020,1,0,0,1,0.0,0.0,1.0
03-04-2020,1,0,0,1,0.0,0.0,1.0
03-05-2020,1,0,0,1,0.0,0.0,1.0
03-06-2020,2,0,0,2,0.0,0.0,2.0
03-07-2020,2,0,0,2,0.0,0.0,1.0
03-08-2020,5,0,0,5,0.0,0.0,2.5
03-09-2020,5,0,0,5,0.0,0.0,1.0
03-10-2020,5,0,0,5,0.0,0.0,1.0
03-11-2020,5,0,0,5,0.0,0.0,1.0
03-12-2020,5,0,0,5,0.0,0.0,1.0
03-13-2020,5,0,0,5,0.0,0.0,1.0
03-14-2020,11,0,0,11,0.0,0.0,2.2
03-15-2020,11,0,0,11,0.0,0.0,1.0
03-16-2020,11,0,0,11,0.0,0.0,1.0
03-17-2020,21,1,0,21,4.76,0.0,1.9090909090909092
03-18-2020,21,1,0,21,4.76,0.0,1.0
03-19-2020,34,2,0,34,5.88,0.0,1.619047619047619
03-20-2020,72,2,0,72,2.78,0.0,2.1176470588235294
03-21-2020,112,2,0,112,1.79,0.0,1.5555555555555556
03-22-2020,202,3,0,202,1.49,0.0,1.8035714285714286
03-23-2020,245,3,3,242,1.22,1.22,1.2128712871287128
03-24-2020,312,6,3,309,1.92,0.96,1.273469387755102
03-25-2020,392,10,3,389,2.55,0.77,1.2564102564102564
03-26-2020,488,10,3,485,2.05,0.61,1.2448979591836735
03-27-2020,581,20,3,578,3.44,0.52,1.1905737704918034
03-28-2020,719,28,3,716,3.89,0.42,1.2375215146299483
03-29-2020,859,39,3,856,4.54,0.35,1.1947148817802504
03-30-2020,901,42,4,897,4.66,0.44,1.048894062863795
03-31-2020,1109,51,5,1104,4.6,0.45,1.2308546059933407
04-01-2020,1284,57,9,1275,4.44,0.7,1.157799819657349
04-02-2020,1380,60,16,1364,4.35,1.16,1.074766355140187
04-03-2020,1488,68,16,1472,4.57,1.08,1.0782608695652174
04-04-2020,1488,68,16,1472,4.57,1.08,1.0
04-05-2020,1745,82,17,1728,4.7,0.97,1.172715053763441
04-06-2020,1828,86,33,1795,4.7,1.81,1.04756446991404
04-07-2020,1956,98,36,1920,5.01,1.84,1.0700218818380745
04-08-2020,2111,108,50,2061,5.12,2.37,1.079243353783231
04-09-2020,2349,118,80,2269,5.02,3.41,1.1127427759355755
04-10-2020,2620,126,98,2522,4.81,3.74,1.1153682418050235
04-11-2020,2759,135,108,2651,4.89,3.91,1.0530534351145038
04-12-2020,2967,173,131,2836,5.83,4.42,1.0753896339253353
04-13-2020,3167,177,152,3015,5.59,4.8,1.0674081563869229
04-14-2020,3286,183,162,3124,5.57,4.93,1.0375749921060942
04-15-2020,3614,189,208,3406,5.23,5.76,1.0998174071819842
04-16-2020,3755,196,215,3540,5.22,5.73,1.0390149418926398
04-17-2020,4126,200,268,3858,4.85,6.5,1.0988015978695074
04-18-2020,4335,217,312,4023,5.01,7.2,1.0506543868153175
04-19-2020,4680,226,363,4317,4.83,7.76,1.0795847750865053
04-20-2020,4964,235,416,4548,4.73,8.38,1.0606837606837607
04-21-2020,5044,245,463,4581,4.86,9.18,1.016116035455278
04-22-2020,5300,260,581,4719,4.91,10.96,1.0507533703409992
04-23-2020,5543,265,581,4962,4.78,10.48,1.0458490566037737
04-24-2020,5749,267,763,4986,4.64,13.27,1.0371639906187984
04-25-2020,5926,273,822,5104,4.61,13.87,1.0307879631240215
04-26-2020,6135,278,910,5225,4.53,14.83,1.0352683091461357
04-27-2020,6293,282,993,5300,4.48,15.78,1.0257538712306438
04-28-2020,6416,286,1165,5251,4.46,18.16,1.0195455267757827
04-29-2020,6652,293,1228,5424,4.4,18.46,1.036783042394015
04-30-2020,6972,301,1301,5671,4.32,18.66,1.0481058328322308
05-01-2020,7288,313,1387,5901,4.29,19.03,1.0453241537578888
05-02-2020,7578,326,1481,6097,4.3,19.54,1.0397914379802415
05-03-2020,7954,333,1606,6348,4.19,20.19,1.0496173132752704
05-04-2020,8235,346,1771,6464,4.2,21.51,1.0353281367865226
05-05-2020,8480,354,1905,6575,4.17,22.46,1.0297510625379478
05-06-2020,8807,362,1960,6847,4.11,22.26,1.038561320754717
05-07-2020,9095,373,2064,7031,4.1,22.69,1.0327012603610763
05-08-2020,9376,380,2286,7090,4.05,24.38,1.0308960967564595
05-09-2020,9882,385,2584,7298,3.9,26.15,1.0539675767918089
05-10-2020,10347,388,2763,7584,3.75,26.7,1.0470552519732848
05-11-2020,10634,393,2870,7764,3.7,26.99,1.0277375084565574
05-12-2020,10900,402,3221,7679,3.69,29.55,1.0250141056987023
05-13-2020,11196,409,3221,7975,3.65,28.77,1.0271559633027523
05-14-2020,11320,422,3351,7969,3.73,29.6,1.0110753840657378
05-15-2020,11739,424,3557,8182,3.61,30.3,1.0370141342756183
05-16-2020,12110,428,3726,8384,3.53,30.77,1.0316040548598688
05-17-2020,12314,428,5847,6467,3.48,47.48,1.0168455821635012
05-18-2020,12725,434,6613,6112,3.41,51.97,1.0333766444697092
05-19-2020,13223,441,6613,6610,3.34,50.01,1.0391355599214145
05-20-2020,13477,446,7142,6335,3.31,52.99,1.0192089540951372
05-21-2020,13657,448,7366,6291,3.28,53.94,1.0133560881501817
05-22-2020,13989,456,7572,6417,3.26,54.13,1.024309877718386
05-23-2020,14422,458,7854,6568,3.18,54.46,1.0309528915576525
05-24-2020,14801,458,8133,6668,3.09,54.95,1.0262792955207323
05-25-2020,15073,460,8285,6788,3.05,54.97,1.018377136679954
05-26-2020,15264,468,8534,6730,3.07,55.91,1.0126716645657798
05-27-2020,15723,474,8790,6933,3.01,55.91,1.0300707547169812
05-28-2020,16068,485,8952,7116,3.02,55.71,1.0219423774088914
05-29-2020,16531,488,9266,7265,2.95,56.05,1.0288150360965895
05-30-2020,16908,498,9557,7351,2.95,56.52,1.0228056378924446
05-31-2020,17285,502,10559,6726,2.9,61.09,1.0222971374497278
06-01-2020,17572,502,10893,6679,2.86,61.99,1.0166039919004917
06-02-2020,17752,515,11075,6677,2.9,62.39,1.010243569314819
06-03-2020,18040,516,11224,6816,2.86,62.22,1.0162235241099595
06-04-2020,18319,520,11474,6845,2.84,62.63,1.0154656319290465
06-05-2020,18708,525,11736,6972,2.81,62.73,1.0212347835580544
06-06-2020,19195,536,11919,7276,2.79,62.09,1.026031644216378
06-07-2020,19600,538,12007,7593,2.74,61.26,1.0210992445949465
06-08-2020,20126,539,12158,7968,2.68,60.41,1.0268367346938776
06-09-2020,20415,544,12208,8207,2.66,59.8,1.0143595349299415
06-10-2020,20808,550,12318,8490,2.64,59.2,1.019250551065393
06-11-2020,21437,561,12541,8896,2.62,58.5,1.0302287581699345
06-12-2020,22008,568,12754,9254,2.58,57.95,1.0266361897653589
06-13-2020,22572,577,13084,9488,2.56,57.97,1.025627044711014
06-14-2020,22962,592,13320,9642,2.58,58.01,1.0172780435938331
06-15-2020,23271,605,14025,9246,2.6,60.27,1.013457015939378
06-16-2020,23686,615,14133,9553,2.6,59.67,1.017833354819303
06-17-2020,24105,633,14216,9889,2.63,58.98,1.0176897745503672
06-18-2020,24645,635,14293,10352,2.58,58.0,1.0224019912881146
06-19-2020,25068,647,14605,10463,2.58,58.26,1.0171637248934875
06-20-2020,25778,655,14957,10821,2.54,58.02,1.0283229615445988
06-21-2020,26677,662,15138,11539,2.48,56.75,1.03487469935604
06-22-2020,27370,669,15338,12032,2.44,56.04,1.025977433744424
06-23-2020,27936,675,15551,12385,2.42,55.67,1.0206795761782974
06-24-2020,28631,691,16006,12625,2.41,55.9,1.0248782932416953
06-25-2020,29141,698,16223,12918,2.4,55.67,1.017812860186511
06-26-2020,29764,712,16357,13407,2.39,54.96,1.021378813355753
06-27-2020,30619,718,16666,13953,2.34,54.43,1.0287259776911706
06-28-2020,31373,726,17142,14231,2.31,54.64,1.0246252326986511
06-29-2020,31816,733,17280,14536,2.3,54.31,1.0141204220189335
06-30-2020,32568,747,17580,14988,2.29,53.98,1.0236359064621574
07-01-2020,33387,754,17904,15483,2.26,53.63,1.025147383935151
07-02-2020,34197,765,18141,16056,2.24,53.05,1.0242609398867824
07-03-2020,35148,775,18392,16756,2.2,52.33,1.0278094569699097
07-04-2020,36184,786,18602,17582,2.17,51.41,1.0294753613292364
07-05-2020,37425,794,18943,18482,2.12,50.62,1.0342969268184834
07-06-2020,38128,804,19489,18639,2.11,51.11,1.0187842351369405
07-07-2020,38430,821,19564,18866,2.14,50.91,1.007920688208141
07-08-2020,39588,829,20056,19532,2.09,50.66,1.0301327088212333
07-09-2020,40790,842,20426,20364,2.06,50.08,1.0303627361826817
07-10-2020,41915,864,20830,21085,2.06,49.7,1.02758028928659
07-11-2020,43114,880,20996,22118,2.04,48.7,1.028605511153525
07-12-2020,44532,897,21459,23073,2.01,48.19,1.0328895486384932
07-13-2020,45506,903,22441,23065,1.98,49.31,1.0218719123327045
07-14-2020,46305,910,23134,23171,1.97,49.96,1.0175581242034017
07-15-2020,47671,929,23459,24212,1.95,49.21,1.02950005398985
07-16-2020,48743,941,23636,25107,1.93,48.49,1.0224874661744037
07-17-2020,50113,942,24423,25690,1.88,48.74,1.02810659992204
07-18-2020,51519,971,24607,26912,1.88,47.76,1.0280565921018499
07-19-2020,52855,981,25094,27761,1.86,47.48,1.0259321803606436
07-20-2020,53956,993,25561,28395,1.84,47.37,1.0208305742124681
07-21-2020,54797,999,25976,28821,1.82,47.4,1.0155867744087774
07-22-2020,56043,1005,26466,29577,1.79,47.22,1.0227384710841834
07-23-2020,57615,1006,26905,30710,1.75,46.7,1.0280498902628339
07-24-2020,59077,1036,27625,31452,1.75,46.76,1.025375336283954
07-25-2020,60896,1055,27980,32916,1.73,45.95,1.0307903244917649
07-26-2020,62908,1063,28603,34305,1.69,45.47,1.033039936941671
07-27-2020,64156,1083,30204,33952,1.69,47.08,1.0198384943091499
07-28-2020,64690,1101,32014,32676,1.7,49.49,1.0083234615624415
07-29-2020,66182,1123,33947,32235,1.7,51.29,1.023063842943268
07-30-2020,67915,1146,35302,32613,1.69,51.98,1.0261853676226165
07-31-2020,69649,1160,36470,33179,1.67,52.36,1.025531914893617
08-01-2020,71415,1170,37509,33906,1.64,52.52,1.0253557122141022
08-02-2020,72243,1178,38244,33999,1.63,52.94,1.0115942028985507
08-03-2020,73117,1183,38824,34293,1.62,53.1,1.01209805794333
08-04-2020,74295,1213,38824,35471,1.63,52.26,1.0161111642983165
08-05-2020,75660,1222,40122,35538,1.62,53.03,1.0183727034120735
08-06-2020,76536,1246,40539,35997,1.63,52.97,1.0115781126090404
08-07-2020,77709,1259,41393,36316,1.62,53.27,1.0153261210410787
08-08-2020,78778,1289,42538,36240,1.64,54.0,1.0137564503468066
08-09-2020,79732,1309,43744,35988,1.64,54.86,1.012109979943639
08-10-2020,80499,1328,44910,35589,1.65,55.79,1.009619726082376
08-11-2020,81094,1346,45666,35428,1.66,56.31,1.007391396166412
08-12-2020,82224,1371,47095,35129,1.67,57.28,1.0139344464448665
08-13-2020,83134,1393,47946,35188,1.68,57.67,1.0110673282739833
08-14-2020,84488,1409,49539,34949,1.67,58.63,1.0162869584045036
08-15-2020,85545,1438,51356,34189,1.68,60.03,1.0125106524003409
08-16-2020,86309,1453,52905,33404,1.68,61.3,1.0089309720030393
08-17-2020,86737,1481,54108,32629,1.71,62.38,1.004958926647279
08-18-2020,87123,1489,55504,31619,1.71,63.71,1.0044502346172914
08-19-2020,88127,1501,56760,31367,1.7,64.41,1.011523937421806
08-20-2020,89010,1505,57734,31276,1.69,64.86,1.010019630760153
08-21-2020,89867,1533,59132,30735,1.71,65.8,1.0096281316705988
08-22-2020,90561,1554,59949,30612,1.72,66.2,1.0077225232844091
08-23-2020,91161,1567,60670,30491,1.72,66.55,1.0066253685361248
08-24-2020,91608,1573,61558,30050,1.72,67.2,1.0049034126435648
08-25-2020,92217,1585,62460,29757,1.72,67.73,1.0066478910138852
08-26-2020,92557,1613,63478,29079,1.74,68.58,1.0036869557673749
08-27-2020,92964,1630,64347,28617,1.75,69.22,1.0043972903183984
08-28-2020,93390,1648,65285,28105,1.76,69.91,1.0045824190009036
08-29-2020,93732,1673,66320,27412,1.78,70.75,1.0036620623193062
08-30-2020,94241,1681,66776,27465,1.78,70.86,1.0054303759655188
08-31-2020,94715,1710,68082,26633,1.81,71.88,1.005029658004478
09-01-2020,94979,1738,68736,26243,1.83,72.37,1.00278730929631
09-02-2020,95627,1765,69519,26108,1.85,72.7,1.0068225607765928
09-03-2020,96629,1801,70871,25758,1.86,73.34,1.010478212220398
09-04-2020,96629,1801,70871,25758,1.86,73.34,1.0
09-05-2020,98776,1840,71901,26875,1.86,72.79,1.0222190025768663
09-06-2020,99333,1845,72567,26766,1.86,73.05,1.0056390216246862
09-07-2020,99898,1864,73228,26670,1.87,73.3,1.0056879385501294
09-08-2020,100131,1889,73795,26336,1.89,73.7,1.0023323790266072
09-09-2020,100937,1914,74305,26632,1.9,73.62,1.00804945521367
09-10-2020,101716,1926,75034,26682,1.89,73.77,1.0077176852888436
09-11-2020,102232,1941,75747,26485,1.9,74.09,1.0050729482087382
09-12-2020,103092,1953,76531,26561,1.89,74.24,1.0084122388293293
09-13-2020,103660,1968,77182,26478,1.9,74.46,1.0055096418732783
09-14-2020,104110,1984,77790,26320,1.91,74.72,1.0043411151842563
09-15-2020,104803,1998,78387,26416,1.91,74.79,1.0066564210930746
09-16-2020,105521,2009,78891,26630,1.9,74.76,1.0068509489232178
09-17-2020,106136,2022,79363,26773,1.91,74.77,1.0058282237658855
09-18-2020,106732,2034,80179,26553,1.91,75.12,1.0056154367980703
09-19-2020,107700,2044,80820,26880,1.9,75.04,1.0090694449649589
09-20-2020,108289,2047,81668,26621,1.89,75.42,1.005468895078923
09-21-2020,108783,2054,82274,26509,1.89,75.63,1.0045618668562828
09-22-2020,109269,2064,82741,26528,1.89,75.72,1.0044676098287417
09-23-2020,109737,2074,83434,26303,1.89,76.03,1.0042830079894571
