date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-01-2020,6,0,0,6,0.0,0.0,0
03-02-2020,6,0,0,6,0.0,0.0,0.0
03-03-2020,7,0,0,7,0.0,0.0,0.16666666666666666
03-04-2020,10,0,0,10,0.0,0.0,0.42857142857142855
03-05-2020,13,0,0,13,0.0,0.0,0.3
03-06-2020,13,0,0,13,0.0,0.0,0.0
03-07-2020,13,0,0,13,0.0,0.0,0.0
03-08-2020,14,0,0,14,0.0,0.0,0.07692307692307693
03-09-2020,15,0,0,15,0.0,0.0,0.07142857142857142
03-10-2020,15,0,0,15,0.0,0.0,0.0
03-11-2020,17,0,0,17,0.0,0.0,0.13333333333333333
03-12-2020,17,0,0,17,0.0,0.0,0.0
03-13-2020,17,0,0,17,0.0,0.0,0.0
03-14-2020,28,2,0,28,7.14,0.0,0.6470588235294118
03-15-2020,28,2,0,28,7.14,0.0,0.0
03-16-2020,37,2,0,37,5.41,0.0,0.32142857142857145
03-17-2020,58,2,0,58,3.45,0.0,0.5675675675675675
03-18-2020,111,2,0,111,1.8,0.0,0.9137931034482759
03-19-2020,199,3,0,199,1.51,0.0,0.7927927927927928
03-20-2020,367,5,0,367,1.36,0.0,0.8442211055276382
03-21-2020,506,7,3,503,1.38,0.59,0.3787465940054496
03-22-2020,789,14,3,786,1.77,0.38,0.5592885375494071
03-23-2020,981,18,3,978,1.83,0.31,0.24334600760456274
03-24-2020,1082,27,3,1079,2.5,0.28,0.10295616717635066
03-25-2020,1173,28,3,1170,2.39,0.26,0.08410351201478743
03-26-2020,1403,34,3,1400,2.42,0.21,0.19607843137254902
03-27-2020,1595,36,3,1592,2.26,0.19,0.1368496079828938
03-28-2020,1823,48,3,1820,2.63,0.16,0.14294670846394986
03-29-2020,1924,58,3,1921,3.01,0.16,0.055403181568842566
03-30-2020,1962,60,3,1959,3.06,0.15,0.01975051975051975
03-31-2020,2240,75,54,2186,3.35,2.41,0.14169215086646278
04-01-2020,2748,93,58,2690,3.38,2.11,0.22678571428571428
04-02-2020,3163,120,65,3098,3.79,2.06,0.151018922852984
04-03-2020,3368,145,65,3303,4.31,1.93,0.06481188744862472
04-04-2020,3465,172,100,3365,4.96,2.89,0.02880047505938242
04-05-2020,3646,180,100,3546,4.94,2.74,0.052236652236652234
04-06-2020,3747,191,100,3647,5.1,2.67,0.027701590784421283
04-07-2020,3747,191,100,3647,5.1,2.67,0.0
04-08-2020,4450,242,140,4310,5.44,3.15,0.18761676007472644
04-09-2020,4965,272,339,4626,5.48,6.83,0.11573033707865168
04-10-2020,7161,297,368,6793,4.15,5.14,0.4422960725075529
04-11-2020,7257,315,411,6846,4.34,5.66,0.013405948889819858
04-12-2020,7466,333,501,6965,4.46,6.71,0.028799779523218962
04-13-2020,7529,355,597,6932,4.72,7.93,0.008438253415483526
04-14-2020,7603,369,696,6907,4.85,9.15,0.009828662504980741
04-15-2020,7858,388,780,7078,4.94,9.93,0.03353939234512692
04-16-2020,8225,403,838,7387,4.9,10.19,0.04670399592771698
04-17-2020,8450,421,838,7612,4.98,9.92,0.02735562310030395
04-18-2020,9022,456,1008,8014,5.05,11.17,0.06769230769230769
