date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-19-2020,1,0,0,1,0.0,0.0,0
03-20-2020,1,0,0,1,0.0,0.0,0.0
03-21-2020,3,0,0,3,0.0,0.0,2.0
03-22-2020,3,0,0,3,0.0,0.0,0.0
03-23-2020,3,0,0,3,0.0,0.0,0.0
03-24-2020,5,0,0,5,0.0,0.0,0.6666666666666666
03-25-2020,9,0,0,9,0.0,0.0,0.8
03-26-2020,13,0,0,13,0.0,0.0,0.4444444444444444
03-27-2020,13,0,0,13,0.0,0.0,0.0
03-28-2020,19,0,0,19,0.0,0.0,0.46153846153846156
03-29-2020,24,0,0,24,0.0,0.0,0.2631578947368421
03-30-2020,30,0,0,30,0.0,0.0,0.25
03-31-2020,32,1,0,32,3.13,0.0,0.06666666666666667
04-01-2020,32,1,0,32,3.13,0.0,0.0
04-02-2020,41,2,0,41,4.88,0.0,0.28125
04-03-2020,46,2,0,46,4.35,0.0,0.12195121951219512
04-04-2020,56,3,2,54,5.36,3.57,0.21739130434782608
04-05-2020,62,3,2,60,4.84,3.23,0.10714285714285714
04-06-2020,69,4,5,64,5.8,7.25,0.11290322580645161
04-07-2020,78,4,5,73,5.13,6.41,0.13043478260869565
04-08-2020,93,5,9,84,5.38,9.68,0.19230769230769232
04-09-2020,103,6,14,89,5.83,13.59,0.10752688172043011
04-10-2020,117,6,15,102,5.13,12.82,0.13592233009708737
04-11-2020,118,6,19,99,5.08,16.1,0.008547008547008548
04-12-2020,125,6,21,104,4.8,16.8,0.059322033898305086
04-13-2020,137,6,22,115,4.38,16.06,0.096
04-14-2020,149,6,25,124,4.03,16.78,0.08759124087591241
04-15-2020,159,6,30,129,3.77,18.87,0.06711409395973154
04-16-2020,164,6,33,131,3.66,20.12,0.031446540880503145
