date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-29-2020,1,0,0,1,0,0,1
01-30-2020,1,0,0,1,0,0,1.0
01-31-2020,1,0,0,1,0,0,1.0
02-01-2020,1,0,0,1,0,0,1.0
02-02-2020,1,0,0,1,0,0,1.0
02-03-2020,1,0,0,1,0,0,1.0
02-04-2020,1,0,0,1,0,0,1.0
02-05-2020,1,0,0,1,0,0,1.0
02-06-2020,1,0,0,1,0,0,1.0
02-07-2020,1,0,0,1,0,0,1.0
02-08-2020,1,0,0,1,0,0,1.0
02-09-2020,1,0,0,1,0,0,1.0
02-10-2020,1,0,0,1,0,0,1.0
02-11-2020,2,0,0,2,0,0,2.0
02-12-2020,2,0,1,1,0,50.0,1.0
02-13-2020,2,0,1,1,0,50.0,1.0
02-14-2020,2,0,1,1,0,50.0,1.0
02-15-2020,2,0,1,1,0,50.0,1.0
02-16-2020,2,0,1,1,0,50.0,1.0
02-17-2020,2,0,1,1,0,50.0,1.0
02-18-2020,2,0,1,1,0,50.0,1.0
02-19-2020,2,0,1,1,0,50.0,1.0
02-20-2020,2,0,1,1,0,50.0,1.0
02-21-2020,2,0,1,1,0,50.0,1.0
02-22-2020,2,0,1,1,0,50.0,1.0
02-23-2020,3,0,1,2,0,33.33,1.5
02-24-2020,3,0,1,2,0,33.33,1.0
02-25-2020,3,0,1,2,0,33.33,1.0
02-26-2020,4,0,1,3,0,25.0,1.3333333333333333
02-27-2020,4,0,1,3,0,25.0,1.0
02-28-2020,5,0,1,4,0,20.0,1.25
02-29-2020,8,0,1,7,0,12.5,1.6
03-01-2020,9,0,1,8,0,11.11,1.125
03-02-2020,10,0,1,9,0,10.0,1.1111111111111112
03-03-2020,10,0,1,9,0,10.0,1.0
03-04-2020,14,0,1,13,0,7.14,1.4
03-05-2020,20,0,1,19,0,5.0,1.4285714285714286
03-06-2020,21,0,1,20,0,4.76,1.05
03-07-2020,28,1,1,27,3.57,3.57,1.3333333333333333
03-08-2020,35,1,1,34,2.86,2.86,1.25
03-09-2020,44,1,1,43,2.27,2.27,1.2571428571428571
03-10-2020,61,1,1,60,1.64,1.64,1.3863636363636362
03-11-2020,115,1,1,114,0.87,0.87,1.8852459016393444
03-12-2020,191,1,1,190,0.52,0.52,1.6608695652173913
03-13-2020,251,1,1,250,0.4,0.4,1.3141361256544504
03-14-2020,279,2,1,278,0.72,0.36,1.1115537848605577
03-15-2020,308,3,10,298,0.97,3.25,1.103942652329749
03-16-2020,361,3,10,351,0.83,2.77,1.172077922077922
03-17-2020,413,4,10,403,0.97,2.42,1.1440443213296398
03-18-2020,460,6,10,450,1.3,2.17,1.1138014527845037
03-19-2020,550,6,10,540,1.09,1.82,1.1956521739130435
03-20-2020,649,7,10,639,1.08,1.54,1.18
03-21-2020,736,8,10,726,1.09,1.36,1.1340523882896765
03-22-2020,823,10,10,813,1.22,1.22,1.1182065217391304
03-23-2020,901,11,10,891,1.22,1.11,1.094775212636695
03-24-2020,985,15,10,975,1.52,1.02,1.0932297447280799
03-25-2020,1084,16,10,1074,1.48,0.92,1.100507614213198
03-26-2020,1188,21,10,1178,1.77,0.84,1.0959409594095941
03-27-2020,1301,25,10,1291,1.92,0.77,1.0951178451178452
03-28-2020,1396,27,10,1386,1.93,0.72,1.073020753266718
03-29-2020,1473,31,10,1463,2.1,0.68,1.0551575931232091
03-30-2020,1543,41,10,1533,2.66,0.65,1.0475220638153429
03-31-2020,1672,51,10,1662,3.05,0.6,1.0836033700583279
04-01-2020,1797,58,10,1787,3.23,0.56,1.0747607655502391
