date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-24-2020,2,0,0,2,0,0,1
01-25-2020,3,0,0,3,0,0,1.5
01-26-2020,3,0,0,3,0,0,1.0
01-27-2020,3,0,0,3,0,0,1.0
01-28-2020,4,0,0,4,0,0,1.3333333333333333
01-29-2020,5,0,0,5,0,0,1.25
01-30-2020,5,0,0,5,0,0,1.0
01-31-2020,5,0,0,5,0,0,1.0
02-01-2020,6,0,0,6,0,0,1.2
02-02-2020,6,0,0,6,0,0,1.0
02-03-2020,6,0,0,6,0,0,1.0
02-04-2020,6,0,0,6,0,0,1.0
02-05-2020,6,0,0,6,0,0,1.0
02-06-2020,6,0,0,6,0,0,1.0
02-07-2020,6,0,0,6,0,0,1.0
02-08-2020,11,0,0,11,0,0,1.8333333333333335
02-09-2020,11,0,0,11,0,0,1.0
02-10-2020,11,0,0,11,0,0,1.0
02-11-2020,11,0,0,11,0,0,1.0
02-12-2020,11,0,2,9,0,18.18,1.0
02-13-2020,11,0,2,9,0,18.18,1.0
02-14-2020,11,0,2,9,0,18.18,1.0
02-15-2020,12,1,4,8,8.33,33.33,1.0909090909090908
02-16-2020,12,1,4,8,8.33,33.33,1.0
02-17-2020,12,1,4,8,8.33,33.33,1.0
02-18-2020,12,1,4,8,8.33,33.33,1.0
02-19-2020,12,1,4,8,8.33,33.33,1.0
02-20-2020,12,1,4,8,8.33,33.33,1.0
02-21-2020,12,1,4,8,8.33,33.33,1.0
02-22-2020,12,1,4,8,8.33,33.33,1.0
02-23-2020,12,1,4,8,8.33,33.33,1.0
02-24-2020,12,1,4,8,8.33,33.33,1.0
02-25-2020,14,1,11,3,7.14,78.57,1.1666666666666667
02-26-2020,18,2,11,7,11.11,61.11,1.2857142857142856
02-27-2020,38,2,11,27,5.26,28.95,2.111111111111111
02-28-2020,57,2,11,46,3.51,19.3,1.5
02-29-2020,100,2,12,88,2.0,12.0,1.7543859649122808
03-01-2020,130,2,12,118,1.54,9.23,1.3
03-02-2020,191,3,12,179,1.57,6.28,1.4692307692307693
03-03-2020,212,4,12,200,1.89,5.66,1.1099476439790577
03-04-2020,285,4,12,273,1.4,4.21,1.3443396226415094
03-05-2020,423,7,12,411,1.65,2.84,1.4842105263157894
03-06-2020,613,9,12,601,1.47,1.96,1.4491725768321513
03-07-2020,938,16,12,926,1.71,1.28,1.530179445350734
03-08-2020,1115,19,12,1103,1.7,1.08,1.1886993603411513
03-09-2020,1401,25,12,1389,1.78,0.86,1.2565022421524663
03-10-2020,1773,33,12,1761,1.86,0.68,1.265524625267666
03-11-2020,2284,48,12,2272,2.1,0.53,1.2882120699379582
03-12-2020,2284,48,12,2272,2.1,0.53,1.0
03-13-2020,3667,79,12,3655,2.15,0.33,1.6055166374781087
03-14-2020,4480,91,12,4468,2.03,0.27,1.2217071175347696
03-15-2020,4513,91,12,4501,2.02,0.27,1.0073660714285715
03-16-2020,6650,148,12,6638,2.23,0.18,1.4735209395080877
03-17-2020,7683,148,12,7671,1.93,0.16,1.1553383458646618
03-18-2020,9052,148,12,9040,1.63,0.13,1.1781856045815438
03-19-2020,10886,243,12,10874,2.23,0.11,1.2026071586389748
03-20-2020,12632,450,12,12620,3.56,0.09,1.1603894910894728
03-21-2020,14308,562,12,14296,3.93,0.08,1.1326789107029767
03-22-2020,16729,676,2201,14528,4.04,13.16,1.1692060385798155
03-23-2020,20123,862,2207,17916,4.28,10.97,1.202881224221412
03-24-2020,22372,1102,3288,19084,4.93,14.7,1.1117626596431944
03-25-2020,25334,1333,3907,21427,5.26,15.42,1.1323976399070266
03-26-2020,29252,1697,4955,24297,5.8,16.94,1.1546538248993448
03-27-2020,33045,1996,5707,27338,6.04,17.27,1.129666347600164
03-28-2020,37692,2314,5724,31968,6.14,15.19,1.1406264185201997
03-29-2020,40295,2608,7226,33069,6.47,17.93,1.0690597474265096
03-30-2020,44648,3026,7964,36684,6.78,17.84,1.1080282913512842
03-31-2020,52278,3526,9513,42765,6.74,18.2,1.1708923132055187
04-01-2020,57122,4407,11053,46069,7.72,19.35,1.092658479666399
04-02-2020,59228,5387,12548,46680,9.1,21.19,1.0368684569868
04-03-2020,64452,6509,14135,50317,10.1,21.93,1.088201526305126
