date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,1,0,0,1,0.0,0.0,0
03-15-2020,1,0,0,1,0.0,0.0,0.0
03-16-2020,1,0,0,1,0.0,0.0,0.0
03-17-2020,1,0,0,1,0.0,0.0,0.0
03-18-2020,1,0,0,1,0.0,0.0,0.0
03-19-2020,1,0,0,1,0.0,0.0,0.0
03-20-2020,3,1,0,3,33.33,0.0,2.0
03-21-2020,4,1,0,4,25.0,0.0,0.3333333333333333
03-22-2020,5,1,0,5,20.0,0.0,0.25
03-23-2020,5,1,0,5,20.0,0.0,0.0
03-24-2020,6,1,0,6,16.67,0.0,0.2
03-25-2020,6,1,0,6,16.67,0.0,0.0
03-26-2020,7,1,0,7,14.29,0.0,0.16666666666666666
03-27-2020,7,1,0,7,14.29,0.0,0.0
03-28-2020,7,1,0,7,14.29,0.0,0.0
03-29-2020,7,1,0,7,14.29,0.0,0.0
03-30-2020,7,1,0,7,14.29,0.0,0.0
03-31-2020,16,1,0,16,6.25,0.0,1.2857142857142858
04-01-2020,18,1,0,18,5.56,0.0,0.125
04-02-2020,21,1,0,21,4.76,0.0,0.16666666666666666
04-03-2020,21,1,1,20,4.76,4.76,0.0
04-04-2020,21,1,1,20,4.76,4.76,0.0
04-05-2020,21,1,1,20,4.76,4.76,0.0
04-06-2020,24,1,1,23,4.17,4.17,0.14285714285714285
04-07-2020,30,1,1,29,3.33,3.33,0.25
