date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-22-2020,1,0,0,1,0.0,0.0,1
03-23-2020,2,1,0,2,50.0,0.0,2.0
03-24-2020,3,1,0,3,33.33,0.0,1.5
03-25-2020,3,1,0,3,33.33,0.0,1.0
03-26-2020,3,1,0,3,33.33,0.0,1.0
03-27-2020,3,1,0,3,33.33,0.0,1.0
03-28-2020,3,1,0,3,33.33,0.0,1.0
03-29-2020,4,1,0,4,25.0,0.0,1.3333333333333333
03-30-2020,4,1,0,4,25.0,0.0,1.0
03-31-2020,4,1,0,4,25.0,0.0,1.0
04-01-2020,4,1,2,2,25.0,50.0,1.0
04-02-2020,4,1,2,2,25.0,50.0,1.0
04-03-2020,4,1,2,2,25.0,50.0,1.0
04-04-2020,4,1,2,2,25.0,50.0,1.0
04-05-2020,4,1,2,2,25.0,50.0,1.0
04-06-2020,4,1,2,2,25.0,50.0,1.0
04-07-2020,4,1,2,2,25.0,50.0,1.0
04-08-2020,4,1,2,2,25.0,50.0,1.0
04-09-2020,4,1,2,2,25.0,50.0,1.0
04-10-2020,4,1,2,2,25.0,50.0,1.0
04-11-2020,9,1,2,7,11.11,22.22,2.25
04-12-2020,9,1,2,7,11.11,22.22,1.0
04-13-2020,9,1,2,7,11.11,22.22,1.0
04-14-2020,9,1,2,7,11.11,22.22,1.0
04-15-2020,9,1,2,7,11.11,22.22,1.0
04-16-2020,9,1,2,7,11.11,22.22,1.0
04-17-2020,9,1,2,7,11.11,22.22,1.0
04-18-2020,9,1,2,7,11.11,22.22,1.0
04-19-2020,10,1,2,8,10.0,20.0,1.1111111111111112
04-20-2020,10,1,2,8,10.0,20.0,1.0
04-21-2020,10,1,2,8,10.0,20.0,1.0
04-22-2020,10,1,2,8,10.0,20.0,1.0
04-23-2020,10,1,2,8,10.0,20.0,1.0
04-24-2020,10,1,8,2,10.0,80.0,1.0
04-25-2020,10,1,8,2,10.0,80.0,1.0
04-26-2020,10,1,8,2,10.0,80.0,1.0
04-27-2020,10,1,8,2,10.0,80.0,1.0
04-28-2020,10,1,8,2,10.0,80.0,1.0
04-29-2020,10,1,8,2,10.0,80.0,1.0
04-30-2020,11,1,8,3,9.09,72.73,1.1
05-01-2020,12,1,8,4,8.33,66.67,1.0909090909090908
05-02-2020,17,1,9,8,5.88,52.94,1.4166666666666667
05-03-2020,17,1,9,8,5.88,52.94,1.0
05-04-2020,17,1,9,8,5.88,52.94,1.0
05-05-2020,17,1,9,8,5.88,52.94,1.0
05-06-2020,17,1,9,8,5.88,52.94,1.0
05-07-2020,18,1,9,9,5.56,50.0,1.0588235294117647
05-08-2020,20,1,9,11,5.0,45.0,1.1111111111111112
05-09-2020,20,1,9,11,5.0,45.0,1.0
05-10-2020,20,1,9,11,5.0,45.0,1.0
05-11-2020,22,1,10,12,4.55,45.45,1.1
05-12-2020,22,1,10,12,4.55,45.45,1.0
05-13-2020,23,1,10,13,4.35,43.48,1.0454545454545454
05-14-2020,23,1,10,13,4.35,43.48,1.0
05-15-2020,23,1,10,13,4.35,43.48,1.0
05-16-2020,23,1,12,11,4.35,52.17,1.0
05-17-2020,23,1,12,11,4.35,52.17,1.0
05-18-2020,24,1,13,11,4.17,54.17,1.0434782608695652
05-19-2020,24,1,13,11,4.17,54.17,1.0
05-20-2020,24,1,13,11,4.17,54.17,1.0
05-21-2020,24,1,13,11,4.17,54.17,1.0
05-22-2020,25,1,13,12,4.0,52.0,1.0416666666666667
05-23-2020,25,1,13,12,4.0,52.0,1.0
05-24-2020,25,1,13,12,4.0,52.0,1.0
05-25-2020,25,1,17,8,4.0,68.0,1.0
05-26-2020,25,1,18,7,4.0,72.0,1.0
05-27-2020,25,1,19,6,4.0,76.0,1.0
05-28-2020,25,1,19,6,4.0,76.0,1.0
05-29-2020,25,1,20,5,4.0,80.0,1.0
05-30-2020,25,1,20,5,4.0,80.0,1.0
05-31-2020,25,1,20,5,4.0,80.0,1.0
06-01-2020,25,1,20,5,4.0,80.0,1.0
06-02-2020,25,1,20,5,4.0,80.0,1.0
06-03-2020,26,1,20,6,3.85,76.92,1.04
06-04-2020,26,1,20,6,3.85,76.92,1.0
06-05-2020,26,1,21,5,3.85,80.77,1.0
06-06-2020,26,1,21,5,3.85,80.77,1.0
06-07-2020,26,1,21,5,3.85,80.77,1.0
06-08-2020,28,1,21,7,3.57,75.0,1.0769230769230769
06-09-2020,28,1,21,7,3.57,75.0,1.0
06-10-2020,28,1,22,6,3.57,78.57,1.0
06-11-2020,28,1,22,6,3.57,78.57,1.0
06-12-2020,28,1,22,6,3.57,78.57,1.0
06-13-2020,28,1,24,4,3.57,85.71,1.0
06-14-2020,28,1,24,4,3.57,85.71,1.0
06-15-2020,30,1,24,6,3.33,80.0,1.0714285714285714
06-16-2020,34,1,24,10,2.94,70.59,1.1333333333333333
06-17-2020,34,1,24,10,2.94,70.59,1.0
06-18-2020,36,1,24,12,2.78,66.67,1.0588235294117647
06-19-2020,36,1,24,12,2.78,66.67,1.0
06-20-2020,37,2,24,13,5.41,64.86,1.0277777777777777
06-21-2020,37,2,24,13,5.41,64.86,1.0
06-22-2020,41,2,26,15,4.88,63.41,1.1081081081081081
06-23-2020,42,2,26,16,4.76,61.9,1.024390243902439
06-24-2020,42,2,26,16,4.76,61.9,1.0
06-25-2020,43,2,26,17,4.65,60.47,1.0238095238095237
