date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-01-2021,228410,2528,214992,13418,1.11,94.13,1
01-02-2021,228752,2572,217973,10779,1.12,95.29,1.001497307473403
01-03-2021,229169,2603,220442,8727,1.14,96.19,1.0018229348814436
01-04-2021,229763,2628,222405,7358,1.14,96.8,1.0025919736089959
02-26-2020,1,0,0,1,0.0,0.0,1
02-27-2020,1,0,0,1,0.0,0.0,1.0
02-28-2020,1,0,0,1,0.0,0.0,1.0
02-29-2020,1,0,0,1,0.0,0.0,1.0
03-01-2020,3,0,0,3,0.0,0.0,3.0
03-02-2020,3,0,0,3,0.0,0.0,1.0
03-03-2020,3,0,0,3,0.0,0.0,1.0
03-04-2020,3,0,0,3,0.0,0.0,1.0
03-05-2020,4,0,0,4,0.0,0.0,1.3333333333333333
03-06-2020,4,0,0,4,0.0,0.0,1.0
03-07-2020,4,0,0,4,0.0,0.0,1.0
03-08-2020,13,0,0,13,0.0,0.0,3.25
03-09-2020,15,0,0,15,0.0,0.0,1.1538461538461537
03-10-2020,15,0,0,15,0.0,0.0,1.0
03-11-2020,24,0,0,24,0.0,0.0,1.6
03-12-2020,24,0,0,24,0.0,0.0,1.0
03-13-2020,25,0,0,25,0.0,0.0,1.0416666666666667
03-14-2020,30,0,0,30,0.0,0.0,1.2
03-15-2020,33,0,0,33,0.0,0.0,1.1
03-16-2020,33,0,1,32,0.0,3.03,1.0
03-17-2020,34,0,1,33,0.0,2.94,1.0303030303030303
03-18-2020,38,0,1,37,0.0,2.63,1.1176470588235294
03-19-2020,40,0,1,39,0.0,2.5,1.0526315789473684
03-20-2020,43,0,1,42,0.0,2.33,1.075
03-21-2020,49,0,1,48,0.0,2.04,1.1395348837209303
03-22-2020,54,0,1,53,0.0,1.85,1.1020408163265305
03-23-2020,61,0,8,53,0.0,13.11,1.1296296296296295
03-24-2020,70,0,9,61,0.0,12.86,1.1475409836065573
