date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-26-2020,1,0,0,1,0.0,0.0,1
02-27-2020,3,0,0,3,0.0,0.0,3.0
02-28-2020,4,0,0,4,0.0,0.0,1.3333333333333333
02-29-2020,4,0,0,4,0.0,0.0,1.0
03-01-2020,7,0,0,7,0.0,0.0,1.75
03-02-2020,7,0,0,7,0.0,0.0,1.0
03-03-2020,7,0,0,7,0.0,0.0,1.0
03-04-2020,9,0,0,9,0.0,0.0,1.2857142857142856
03-05-2020,31,0,0,31,0.0,0.0,3.4444444444444446
03-06-2020,45,0,0,45,0.0,0.0,1.4516129032258065
03-07-2020,46,0,0,46,0.0,0.0,1.0222222222222221
03-08-2020,73,0,0,73,0.0,0.0,1.5869565217391304
03-09-2020,73,0,0,73,0.0,0.0,1.0
03-10-2020,89,0,0,89,0.0,0.0,1.2191780821917808
03-11-2020,99,1,0,99,1.01,0.0,1.1123595505617978
03-12-2020,99,1,0,99,1.01,0.0,1.0
03-13-2020,190,1,0,190,0.53,0.0,1.9191919191919191
03-14-2020,228,3,8,220,1.32,3.51,1.2
03-15-2020,331,4,8,323,1.21,2.42,1.4517543859649122
03-16-2020,331,4,8,323,1.21,2.42,1.0
03-17-2020,387,5,8,379,1.29,2.07,1.1691842900302114
03-18-2020,418,5,8,410,1.2,1.91,1.0801033591731266
03-19-2020,418,6,8,410,1.44,1.91,1.0
03-20-2020,495,6,19,476,1.21,3.84,1.1842105263157894
03-21-2020,530,13,19,511,2.45,3.58,1.0707070707070707
03-22-2020,624,15,19,605,2.4,3.04,1.1773584905660377
03-23-2020,695,17,29,666,2.45,4.17,1.1137820512820513
03-24-2020,743,20,29,714,2.69,3.9,1.0690647482014388
03-25-2020,821,22,36,785,2.68,4.38,1.1049798115746972
03-26-2020,892,26,36,856,2.91,4.04,1.0864799025578562
03-27-2020,966,28,52,914,2.9,5.38,1.0829596412556053
03-28-2020,1061,32,52,1009,3.02,4.9,1.098343685300207
03-29-2020,1156,38,52,1104,3.29,4.5,1.0895381715362866
03-30-2020,1212,43,52,1160,3.55,4.29,1.0484429065743945
03-31-2020,1314,49,52,1262,3.73,3.96,1.0841584158415842
04-01-2020,1415,50,52,1363,3.53,3.67,1.0768645357686453
04-02-2020,1544,53,61,1483,3.43,3.95,1.091166077738516
04-03-2020,1613,63,78,1535,3.91,4.84,1.0446891191709844
04-04-2020,1673,68,78,1595,4.06,4.66,1.037197768133912
04-05-2020,1735,73,78,1657,4.21,4.5,1.0370591751344889
04-06-2020,1755,79,269,1486,4.5,15.33,1.0115273775216138
04-07-2020,1832,81,269,1563,4.42,14.68,1.0438746438746438
04-08-2020,1884,83,269,1615,4.41,14.28,1.0283842794759825
04-09-2020,1955,87,269,1686,4.45,13.76,1.0376857749469215
04-10-2020,2011,92,269,1742,4.57,13.38,1.0286445012787724
04-11-2020,2081,93,269,1812,4.47,12.93,1.034808552958727
04-12-2020,2114,98,269,1845,4.64,12.72,1.015857760691975
04-13-2020,2145,99,269,1876,4.62,12.54,1.0146641438032167
04-14-2020,2170,101,269,1901,4.65,12.4,1.0116550116550116
04-15-2020,2192,102,269,1923,4.65,12.27,1.0101382488479262
04-16-2020,2207,105,269,1938,4.76,12.19,1.0068430656934306
04-17-2020,2224,108,269,1955,4.86,12.1,1.0077027639329406
04-18-2020,2235,110,269,1966,4.92,12.04,1.0049460431654675
04-19-2020,2235,113,269,1966,5.06,12.04,1.0
04-20-2020,2245,116,269,1976,5.17,11.98,1.0044742729306488
04-21-2020,2401,121,577,1824,5.04,24.03,1.0694877505567928
04-22-2020,2408,121,577,1831,5.02,23.96,1.0029154518950438
04-23-2020,2463,125,577,1886,5.08,23.43,1.0228405315614617
04-24-2020,2490,130,577,1913,5.22,23.17,1.0109622411693058
04-25-2020,2506,130,577,1929,5.19,23.02,1.0064257028112449
04-26-2020,2517,134,577,1940,5.32,22.92,1.00438946528332
04-27-2020,2534,136,577,1957,5.37,22.77,1.0067540723083035
04-28-2020,2566,138,577,1989,5.38,22.49,1.0126282557221784
04-29-2020,2576,139,577,1999,5.4,22.4,1.0038971161340609
04-30-2020,2591,140,1374,1217,5.4,53.03,1.0058229813664596
05-01-2020,2612,140,1374,1238,5.36,52.6,1.0081049787726746
05-02-2020,2620,143,1374,1246,5.46,52.44,1.003062787136294
05-03-2020,2626,144,1374,1252,5.48,52.32,1.002290076335878
05-04-2020,2632,146,1374,1258,5.55,52.2,1.0022848438690022
05-05-2020,2642,146,1374,1268,5.53,52.01,1.0037993920972645
05-06-2020,2663,147,1374,1289,5.52,51.6,1.0079485238455714
05-07-2020,2678,148,1374,1304,5.53,51.31,1.0056327450244085
05-08-2020,2691,150,1374,1317,5.57,51.06,1.0048543689320388
05-09-2020,2710,151,1374,1336,5.57,50.7,1.0070605722779635
05-10-2020,2716,151,1374,1342,5.56,50.59,1.0022140221402214
05-11-2020,2726,151,1374,1352,5.54,50.4,1.003681885125184
05-12-2020,2744,152,1374,1370,5.54,50.07,1.0066030814380045
