date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-13-2020,1,0,0,1,0.0,0.0,1
03-14-2020,1,0,0,1,0.0,0.0,1.0
03-15-2020,1,0,0,1,0.0,0.0,1.0
03-16-2020,1,0,0,1,0.0,0.0,1.0
03-17-2020,1,0,0,1,0.0,0.0,1.0
03-18-2020,1,0,0,1,0.0,0.0,1.0
03-19-2020,1,0,0,1,0.0,0.0,1.0
03-20-2020,1,0,0,1,0.0,0.0,1.0
03-21-2020,2,0,0,2,0.0,0.0,2.0
03-22-2020,2,0,0,2,0.0,0.0,1.0
03-23-2020,4,0,0,4,0.0,0.0,2.0
03-24-2020,4,0,0,4,0.0,0.0,1.0
03-25-2020,4,0,0,4,0.0,0.0,1.0
03-26-2020,4,0,0,4,0.0,0.0,1.0
03-27-2020,8,0,0,8,0.0,0.0,2.0
03-28-2020,8,0,0,8,0.0,0.0,1.0
03-29-2020,16,0,0,16,0.0,0.0,2.0
03-30-2020,22,0,0,22,0.0,0.0,1.375
03-31-2020,22,0,0,22,0.0,0.0,1.0
04-01-2020,30,0,0,30,0.0,0.0,1.3636363636363638
04-02-2020,52,0,0,52,0.0,0.0,1.7333333333333334
04-03-2020,73,0,2,71,0.0,2.74,1.4038461538461537
04-04-2020,111,0,5,106,0.0,4.5,1.5205479452054793
04-05-2020,121,0,5,116,0.0,4.13,1.09009009009009
04-06-2020,128,0,5,123,0.0,3.91,1.0578512396694215
04-07-2020,144,0,5,139,0.0,3.47,1.125
04-08-2020,164,0,5,159,0.0,3.05,1.1388888888888888
04-09-2020,194,0,11,183,0.0,5.67,1.1829268292682926
04-10-2020,212,0,15,197,0.0,7.08,1.0927835051546393
04-11-2020,250,0,17,233,0.0,6.8,1.179245283018868
04-12-2020,250,0,17,233,0.0,6.8,1.0
04-13-2020,319,0,17,302,0.0,5.33,1.276
04-14-2020,363,0,31,332,0.0,8.54,1.1379310344827587
04-15-2020,404,1,31,373,0.25,7.67,1.1129476584022038
04-16-2020,438,1,49,389,0.23,11.19,1.0841584158415842
04-17-2020,477,3,59,418,0.63,12.37,1.0890410958904109
04-18-2020,518,3,65,453,0.58,12.55,1.0859538784067087
04-19-2020,579,5,87,492,0.86,15.03,1.1177606177606179
04-20-2020,622,5,122,500,0.8,19.61,1.07426597582038
04-21-2020,688,6,127,561,0.87,18.46,1.1061093247588425
04-22-2020,761,6,164,597,0.79,21.55,1.1061046511627908
04-23-2020,862,6,170,692,0.7,19.72,1.1327201051248357
04-24-2020,954,6,191,763,0.63,20.02,1.1067285382830627
04-25-2020,996,7,208,788,0.7,20.88,1.0440251572327044
04-26-2020,996,7,208,788,0.7,20.88,1.0
04-27-2020,1163,7,246,917,0.6,21.15,1.1676706827309238
04-28-2020,1240,7,269,971,0.56,21.69,1.0662080825451419
04-29-2020,1351,7,313,1038,0.52,23.17,1.0895161290322581
04-30-2020,1495,7,329,1166,0.47,22.01,1.1065877128053294
05-01-2020,1537,7,342,1195,0.46,22.25,1.0280936454849499
05-02-2020,1586,7,405,1181,0.44,25.54,1.0318802862719583
05-03-2020,1586,7,405,1181,0.44,25.54,1.0
05-04-2020,1710,9,450,1260,0.53,26.32,1.0781841109709962
05-05-2020,1811,10,498,1313,0.55,27.5,1.0590643274853802
05-06-2020,1856,11,597,1259,0.59,32.17,1.0248481501932634
05-07-2020,1927,11,629,1298,0.57,32.64,1.0382543103448276
05-08-2020,2009,11,663,1346,0.55,33.0,1.0425531914893618
05-09-2020,2042,11,698,1344,0.54,34.18,1.0164260826281732
05-10-2020,2146,11,714,1432,0.51,33.27,1.050930460333007
05-11-2020,2146,11,714,1432,0.51,33.27,1.0
05-12-2020,2298,11,816,1482,0.48,35.51,1.070829450139795
05-13-2020,2374,14,856,1518,0.59,36.06,1.0330722367275893
05-14-2020,2473,15,895,1578,0.61,36.19,1.0417017691659647
05-15-2020,2473,15,895,1578,0.61,36.19,1.0
05-16-2020,2658,16,1133,1525,0.6,42.63,1.0748079255964416
05-17-2020,2658,16,1133,1525,0.6,42.63,1.0
05-18-2020,2796,16,1263,1533,0.57,45.17,1.0519187358916477
05-19-2020,2863,18,1525,1338,0.63,53.27,1.0239628040057225
05-20-2020,2863,18,1525,1338,0.63,53.27,1.0
05-21-2020,3067,18,1575,1492,0.59,51.35,1.0712539294446386
05-22-2020,3067,19,1575,1492,0.62,51.35,1.0
05-23-2020,3176,20,1631,1545,0.63,51.35,1.035539615259211
05-24-2020,3275,20,1673,1602,0.61,51.08,1.0311712846347607
05-25-2020,3275,20,1673,1602,0.61,51.08,1.0
05-26-2020,3275,20,1673,1602,0.61,51.08,1.0
05-27-2020,3275,20,1673,1602,0.61,51.08,1.0
05-28-2020,3553,22,1950,1603,0.62,54.88,1.0848854961832062
05-29-2020,3656,22,2000,1656,0.6,54.7,1.0289895862651282
05-30-2020,3706,23,2030,1676,0.62,54.78,1.013676148796499
05-31-2020,3706,23,2030,1676,0.62,54.78,1.0
06-01-2020,3844,23,2135,1709,0.6,55.54,1.0372369131138695
06-02-2020,3886,23,2267,1619,0.59,58.34,1.010926118626431
06-03-2020,3933,23,2332,1601,0.58,59.29,1.012094698919197
06-04-2020,3991,23,2512,1479,0.58,62.94,1.014747012458683
06-05-2020,4060,23,2667,1393,0.57,65.69,1.0172889000250565
06-06-2020,4117,23,2857,1260,0.56,69.4,1.014039408866995
06-07-2020,4117,23,2877,1240,0.56,69.88,1.0
06-08-2020,4216,23,2918,1298,0.55,69.21,1.0240466358999272
06-09-2020,4258,23,2942,1316,0.54,69.09,1.0099620493358634
06-10-2020,4258,23,2942,1316,0.54,69.09,1.0
06-11-2020,4372,23,3033,1339,0.53,69.37,1.0267731329262564
06-12-2020,4426,24,3106,1320,0.54,70.18,1.0123513266239708
06-13-2020,4484,25,3213,1271,0.56,71.65,1.0131043831902395
06-14-2020,4532,25,3234,1298,0.55,71.36,1.0107047279214987
06-15-2020,4572,26,3259,1313,0.57,71.28,1.0088261253309796
06-16-2020,4639,26,3327,1312,0.56,71.72,1.0146544181977253
06-17-2020,4668,26,3364,1304,0.56,72.07,1.0062513472731192
06-18-2020,4841,26,3467,1374,0.54,71.62,1.0370608397600685
06-19-2020,4904,27,3522,1382,0.55,71.82,1.0130138401156785
06-20-2020,4960,27,3630,1330,0.54,73.19,1.0114192495921697
06-21-2020,4988,27,3669,1319,0.54,73.56,1.0056451612903226
06-22-2020,4988,27,3669,1319,0.54,73.56,1.0
06-23-2020,5040,28,3685,1355,0.56,73.12,1.0104250200481155
06-24-2020,5174,29,3861,1313,0.56,74.62,1.0265873015873015
06-25-2020,5174,29,3861,1313,0.56,74.62,1.0
06-26-2020,5260,29,4155,1105,0.55,78.99,1.0166215693853884
06-27-2020,5291,30,4215,1076,0.57,79.66,1.005893536121673
06-28-2020,5342,31,4282,1060,0.58,80.16,1.0096390096390095
06-29-2020,5351,31,4296,1055,0.58,80.28,1.0016847622613254
06-30-2020,5391,33,4326,1065,0.61,80.24,1.00747523827322
07-01-2020,5404,33,4346,1058,0.61,80.42,1.0024114264514932
07-02-2020,5450,33,4392,1058,0.61,80.59,1.0085122131754256
07-03-2020,5521,33,4446,1075,0.6,80.53,1.01302752293578
07-04-2020,5570,34,4496,1074,0.61,80.72,1.0088752037674333
07-05-2020,5610,34,4522,1088,0.61,80.61,1.007181328545781
07-06-2020,5610,34,4522,1088,0.61,80.61,1.0
07-07-2020,5636,34,4542,1094,0.6,80.59,1.0046345811051693
07-08-2020,5697,34,4577,1120,0.6,80.34,1.0108232789212208
07-09-2020,5881,36,4672,1209,0.61,79.44,1.032297700544146
07-10-2020,5969,37,4732,1237,0.62,79.28,1.014963441591566
07-11-2020,6044,37,4802,1242,0.61,79.45,1.0125649187468588
07-12-2020,6141,37,4862,1279,0.6,79.17,1.0160489741892786
07-13-2020,6141,37,4862,1279,0.6,79.17,1.0
