date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-11-2020,2,0,0,2,0.0,0.0,1
03-12-2020,2,0,0,2,0.0,0.0,1.0
03-13-2020,2,0,0,2,0.0,0.0,1.0
03-14-2020,2,0,0,2,0.0,0.0,1.0
03-15-2020,3,0,0,3,0.0,0.0,1.5
03-16-2020,6,0,0,6,0.0,0.0,2.0
03-17-2020,8,0,0,8,0.0,0.0,1.3333333333333333
03-18-2020,9,0,0,9,0.0,0.0,1.125
03-19-2020,12,0,0,12,0.0,0.0,1.3333333333333333
03-20-2020,24,0,0,24,0.0,0.0,2.0
03-21-2020,24,0,0,24,0.0,0.0,1.0
03-22-2020,26,0,0,26,0.0,0.0,1.0833333333333333
03-23-2020,27,0,0,27,0.0,0.0,1.0384615384615385
03-24-2020,30,0,0,30,0.0,0.0,1.1111111111111112
03-25-2020,36,0,0,36,0.0,0.0,1.2
03-26-2020,52,1,0,52,1.92,0.0,1.4444444444444444
03-27-2020,68,1,0,68,1.47,0.0,1.3076923076923077
03-28-2020,95,1,3,92,1.05,3.16,1.3970588235294117
03-29-2020,110,3,3,107,2.73,2.73,1.1578947368421053
03-30-2020,139,7,3,136,5.04,2.16,1.2636363636363637
03-31-2020,141,7,3,138,4.96,2.13,1.014388489208633
04-01-2020,172,10,3,169,5.81,1.74,1.2198581560283688
04-02-2020,219,14,3,216,6.39,1.37,1.2732558139534884
04-03-2020,222,15,3,219,6.76,1.35,1.0136986301369864
04-04-2020,264,15,3,261,5.68,1.14,1.1891891891891893
04-05-2020,268,22,6,262,8.21,2.24,1.0151515151515151
04-06-2020,298,22,6,292,7.38,2.01,1.1119402985074627
04-07-2020,305,22,6,299,7.21,1.97,1.023489932885906
04-08-2020,312,22,6,306,7.05,1.92,1.022950819672131
04-09-2020,343,23,6,337,6.71,1.75,1.0993589743589745
04-10-2020,382,23,7,375,6.02,1.83,1.1137026239067056
04-11-2020,392,24,7,385,6.12,1.79,1.0261780104712042
04-12-2020,393,25,7,386,6.36,1.78,1.0025510204081634
04-13-2020,397,25,7,390,6.3,1.76,1.0101781170483461
04-14-2020,407,26,7,400,6.39,1.72,1.0251889168765742
04-15-2020,419,31,9,410,7.4,2.15,1.0294840294840295
04-16-2020,426,35,9,417,8.22,2.11,1.0167064439140812
04-17-2020,442,41,10,432,9.28,2.26,1.0375586854460095
04-18-2020,457,46,10,447,10.07,2.19,1.0339366515837105
04-19-2020,472,46,15,457,9.75,3.18,1.0328227571115973
04-20-2020,477,46,25,452,9.64,5.24,1.0105932203389831
04-21-2020,494,46,29,465,9.31,5.87,1.0356394129979036
04-22-2020,510,46,30,480,9.02,5.88,1.0323886639676114
04-23-2020,519,47,31,488,9.06,5.97,1.0176470588235293
04-24-2020,591,55,58,533,9.31,9.81,1.138728323699422
04-25-2020,627,59,65,562,9.41,10.37,1.0609137055837563
04-26-2020,627,59,65,562,9.41,10.37,1.0
04-27-2020,661,61,79,582,9.23,11.95,1.0542264752791068
04-28-2020,702,64,79,623,9.12,11.25,1.0620272314674735
04-29-2020,738,66,73,665,8.94,9.89,1.0512820512820513
04-30-2020,771,71,79,692,9.21,10.25,1.0447154471544715
05-01-2020,804,75,112,692,9.33,13.93,1.0428015564202335
05-02-2020,1010,76,116,894,7.52,11.49,1.256218905472637
05-03-2020,1055,82,118,937,7.77,11.18,1.0445544554455446
05-04-2020,1178,83,122,1056,7.05,10.36,1.1165876777251185
05-05-2020,1270,93,122,1148,7.32,9.61,1.0780984719864177
05-06-2020,1461,99,132,1329,6.78,9.03,1.1503937007874017
05-07-2020,1685,105,154,1531,6.23,9.14,1.1533196440793976
05-08-2020,1771,107,192,1579,6.04,10.84,1.0510385756676557
05-09-2020,1830,108,195,1635,5.9,10.66,1.0333145115753812
05-10-2020,1972,108,203,1769,5.48,10.29,1.0775956284153005
05-11-2020,2100,116,206,1894,5.52,9.81,1.0649087221095335
05-12-2020,2080,121,211,1869,5.82,10.14,1.0095238095238095
05-13-2020,2255,123,237,2018,5.45,10.51,1.0841346153846154
05-14-2020,2318,133,253,2065,5.74,10.91,1.0279379157427937
05-15-2020,2460,134,264,2196,5.45,10.73,1.0612597066436584
05-16-2020,2565,138,278,2287,5.38,10.84,1.0426829268292683
05-17-2020,2646,142,319,2327,5.37,12.06,1.0315789473684212
05-18-2020,2798,146,340,2458,5.22,12.15,1.0574452003023431
05-19-2020,2955,147,349,2606,4.97,11.81,1.0561115082201573
05-20-2020,2955,147,349,2606,4.97,11.81,1.0
05-21-2020,3204,156,397,2807,4.87,12.39,1.084263959390863
05-22-2020,3477,167,439,3038,4.8,12.63,1.0852059925093633
05-23-2020,3477,167,439,3038,4.8,12.63,1.0
05-24-2020,3950,180,468,3482,4.56,11.85,1.1360368133448375
05-25-2020,4189,182,473,3716,4.34,11.29,1.060506329113924
05-26-2020,4401,188,493,3908,4.27,11.2,1.0506087371687753
05-27-2020,4640,194,506,4134,4.18,10.91,1.0543058395819132
05-28-2020,4752,196,519,4233,4.12,10.92,1.0241379310344827
05-29-2020,4752,196,519,4233,4.12,10.92,1.0
05-30-2020,5094,201,536,4558,3.95,10.52,1.071969696969697
05-31-2020,5202,212,537,4665,4.08,10.32,1.0212014134275618
06-01-2020,5362,217,549,4813,4.05,10.24,1.0307574009996154
06-02-2020,5527,225,563,4964,4.07,10.19,1.0307720999627006
06-03-2020,5690,234,617,5073,4.11,10.84,1.0294915867559256
06-04-2020,5880,243,648,5232,4.13,11.02,1.0333919156414764
06-05-2020,5971,248,677,5294,4.15,11.34,1.0154761904761904
06-06-2020,6155,250,697,5458,4.06,11.32,1.0308156087757494
06-07-2020,6327,258,712,5615,4.08,11.25,1.027944760357433
06-08-2020,6450,262,740,5710,4.06,11.47,1.0194404931247036
06-09-2020,6935,271,787,6148,3.91,11.35,1.0751937984496125
06-10-2020,7360,290,809,6551,3.94,10.99,1.0612833453496755
06-11-2020,7669,294,837,6832,3.83,10.91,1.041983695652174
06-12-2020,8132,306,844,7288,3.76,10.38,1.0603729299778328
06-13-2020,8455,310,894,7561,3.67,10.57,1.0397196261682242
06-14-2020,8858,312,967,7891,3.52,10.92,1.0476641040804258
06-15-2020,9178,322,1025,8153,3.51,11.17,1.0361255362384285
06-16-2020,9656,330,1075,8581,3.42,11.13,1.0520810634125082
06-17-2020,10299,336,1116,9183,3.26,10.84,1.0665907207953604
06-18-2020,10739,343,1179,9560,3.19,10.98,1.0427225944266434
06-19-2020,11258,349,1214,10044,3.1,10.78,1.0483285222087717
06-20-2020,12306,358,1275,11031,2.91,10.36,1.0930893586782733
06-21-2020,12769,363,1293,11476,2.84,10.13,1.0376239232894524
06-22-2020,13356,395,1362,11994,2.96,10.2,1.0459707103140419
06-23-2020,13943,405,1461,12482,2.9,10.48,1.0439502845163222
06-24-2020,14571,417,1546,13025,2.86,10.61,1.045040522125798
06-25-2020,15366,426,1600,13766,2.77,10.41,1.0545604282478895
06-26-2020,15994,471,1678,14316,2.94,10.49,1.0408694520369648
06-27-2020,17007,479,1767,15240,2.82,10.39,1.0633362510941604
06-28-2020,18082,479,1875,16207,2.65,10.37,1.0632092667725055
06-29-2020,18818,485,1961,16857,2.58,10.42,1.0407034620064153
06-30-2020,19558,497,2060,17498,2.54,10.53,1.0393240514401105
07-01-2020,20262,542,2123,18139,2.67,10.48,1.0359955005624297
07-02-2020,21120,591,2190,18930,2.8,10.37,1.0423452768729642
07-03-2020,22116,605,2250,19866,2.74,10.17,1.0471590909090909
07-04-2020,22921,629,2387,20534,2.74,10.41,1.0363989871586181
07-05-2020,23943,639,2490,21453,2.67,10.4,1.0445879324636795
07-06-2020,24665,656,2585,22080,2.66,10.48,1.0301549513427724
07-07-2020,25428,677,2637,22791,2.66,10.37,1.0309345226028785
07-08-2020,25978,694,2721,23257,2.67,10.47,1.0216296995438099
07-09-2020,26384,704,2779,23605,2.67,10.53,1.01562860882285
07-10-2020,27053,750,2850,24203,2.77,10.53,1.025356276531231
07-11-2020,27583,771,2901,24682,2.8,10.52,1.0195911728828595
07-12-2020,28090,774,2957,25133,2.76,10.53,1.018380886778088
07-13-2020,28579,789,3123,25456,2.76,10.93,1.0174083303666785
07-14-2020,29106,807,3287,25819,2.77,11.29,1.018440113369957
07-15-2020,30036,825,3379,26657,2.75,11.25,1.0319521748093177
07-16-2020,30867,835,3420,27447,2.71,11.08,1.0276667998401918
07-17-2020,31745,857,3565,28180,2.7,11.23,1.0284446172287556
07-18-2020,32793,891,3661,29132,2.72,11.16,1.03301307292487
07-19-2020,33835,900,3801,30034,2.66,11.23,1.0317750739487086
07-20-2020,34611,935,3905,30706,2.7,11.28,1.0229348307965125
07-21-2020,35345,988,4144,31201,2.8,11.72,1.0212071306809973
07-22-2020,36102,1006,4315,31787,2.79,11.95,1.021417456500212
07-23-2020,36902,1011,4448,32454,2.74,12.05,1.0221594371502964
07-24-2020,37559,1061,4607,32952,2.82,12.27,1.0178039130670424
07-25-2020,38438,1098,4713,33725,2.86,12.26,1.023403178998376
07-26-2020,39276,1116,4922,34354,2.84,12.53,1.021801342421562
07-27-2020,39741,1166,5039,34702,2.93,12.68,1.0118392911701803
07-28-2020,40460,1214,5103,35357,3.0,12.61,1.0180921466495558
07-29-2020,40944,1259,5281,35663,3.07,12.9,1.0119624320316363
07-30-2020,41426,1312,5443,35983,3.17,13.14,1.0117721766314967
07-31-2020,42014,1337,5554,36460,3.18,13.22,1.0141939844542076
08-01-2020,42685,1368,5694,36991,3.2,13.34,1.0159708668539058
08-02-2020,43197,1377,5794,37403,3.19,13.41,1.0119948459646246
08-03-2020,43794,1384,5854,37940,3.16,13.37,1.0138204041947358
08-04-2020,44299,1400,5921,38378,3.16,13.37,1.0115312599899529
08-05-2020,45098,1423,6116,38982,3.16,13.56,1.018036524526513
08-06-2020,45755,1446,6225,39530,3.16,13.61,1.0145682735376291
08-07-2020,46365,1465,6355,40010,3.16,13.71,1.0133318762976724
08-08-2020,46973,1476,6428,40545,3.14,13.68,1.0131133398037313
08-09-2020,47454,1495,6597,40857,3.15,13.9,1.0102399250633343
08-10-2020,47872,1506,6649,41223,3.15,13.89,1.0088085303662495
08-11-2020,48403,1515,6805,41598,3.13,14.06,1.0110920788770053
08-12-2020,48657,1533,6945,41712,3.15,14.27,1.0052476086193005
08-13-2020,49042,1542,7032,42010,3.14,14.34,1.007912530571141
08-14-2020,49467,1548,7128,42339,3.13,14.41,1.0086660413523103
08-15-2020,49979,1567,7255,42724,3.14,14.52,1.0103503345664786
08-16-2020,50502,1575,7339,43163,3.12,14.53,1.0104643950459193
08-17-2020,50995,1583,7450,43545,3.1,14.61,1.0097619896241734
08-18-2020,51670,1593,7661,44009,3.08,14.83,1.0132365918227277
08-19-2020,52298,1608,7867,44431,3.07,15.04,1.0121540545771242
08-20-2020,52819,1619,8082,44737,3.07,15.3,1.0099621400435963
08-21-2020,53381,1632,8271,45110,3.06,15.49,1.0106401105662735
08-22-2020,53983,1643,8449,45534,3.04,15.65,1.0112774208051554
08-23-2020,54511,1654,8532,45979,3.03,15.65,1.009780856936443
08-24-2020,55479,1683,8556,46923,3.03,15.42,1.0177578837298893
08-25-2020,55877,1703,9124,46753,3.05,16.33,1.0071738856143766
08-26-2020,56649,1747,9169,47480,3.08,16.19,1.0138160602752475
08-27-2020,57669,1803,9586,48083,3.13,16.62,1.0180056135148017
08-28-2020,58810,1827,10076,48734,3.11,17.13,1.0197853266052819
08-29-2020,59645,1842,10156,49489,3.09,17.03,1.0141982656010882
08-30-2020,60174,1858,10242,49932,3.09,17.02,1.0088691424260205
08-31-2020,61014,1873,10396,50618,3.07,17.04,1.0139595173995413
09-01-2020,61769,1888,10430,51339,3.06,16.89,1.0123742091978891
09-02-2020,62526,1924,11147,51379,3.08,17.83,1.0122553384383752
