date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-28-2020,1,0,0,1,0.0,0.0,0
02-29-2020,1,0,0,1,0.0,0.0,0.0
03-01-2020,3,0,0,3,0.0,0.0,2.0
03-02-2020,6,0,0,6,0.0,0.0,1.0
03-03-2020,11,0,0,11,0.0,0.0,0.8333333333333334
03-04-2020,26,0,0,26,0.0,0.0,1.3636363636363635
03-05-2020,34,0,0,34,0.0,0.0,0.3076923076923077
03-06-2020,43,0,0,43,0.0,0.0,0.2647058823529412
03-07-2020,50,0,0,50,0.0,0.0,0.16279069767441862
03-08-2020,50,0,0,50,0.0,0.0,0.0
03-09-2020,58,0,0,58,0.0,0.0,0.16
03-10-2020,69,0,1,68,0.0,1.45,0.1896551724137931
03-11-2020,85,0,1,84,0.0,1.18,0.2318840579710145
03-12-2020,103,0,1,102,0.0,0.97,0.21176470588235294
03-13-2020,134,0,1,133,0.0,0.75,0.30097087378640774
03-14-2020,156,0,1,155,0.0,0.64,0.16417910447761194
03-15-2020,171,5,8,163,2.92,4.68,0.09615384615384616
03-16-2020,180,0,0,180,0.0,0.0,0.05263157894736842
03-17-2020,220,1,0,220,0.45,0.0,0.2222222222222222
03-18-2020,250,1,5,245,0.4,2.0,0.13636363636363635
03-19-2020,330,1,5,325,0.3,1.52,0.32
03-20-2020,409,0,5,404,0.0,1.22,0.23939393939393938
03-21-2020,473,1,22,451,0.21,4.65,0.15647921760391198
03-22-2020,568,1,5,563,0.18,0.88,0.20084566596194503
03-23-2020,588,1,51,537,0.17,8.67,0.035211267605633804
03-24-2020,648,2,51,597,0.31,7.87,0.10204081632653061
03-25-2020,737,2,56,681,0.27,7.6,0.13734567901234568
03-26-2020,802,2,82,720,0.25,10.22,0.08819538670284939
03-27-2020,890,2,97,793,0.22,10.9,0.10972568578553615
03-28-2020,963,2,114,849,0.21,11.84,0.08202247191011236
03-29-2020,1020,2,135,885,0.2,13.24,0.059190031152647975
03-30-2020,1086,2,157,929,0.18,14.46,0.06470588235294118
03-31-2020,1135,2,198,937,0.18,17.44,0.04511970534069982
04-01-2020,1220,2,225,995,0.16,18.44,0.07488986784140969
04-02-2020,1319,4,284,1035,0.3,21.53,0.08114754098360656
04-03-2020,1364,4,309,1055,0.29,22.65,0.03411675511751327
04-04-2020,1417,4,396,1021,0.28,27.95,0.038856304985337244
04-05-2020,1486,4,428,1058,0.27,28.8,0.048694424841213835
04-06-2020,1562,6,460,1102,0.38,29.45,0.05114401076716016
04-07-2020,1586,6,559,1027,0.38,35.25,0.015364916773367477
04-08-2020,1616,6,633,983,0.37,39.17,0.018915510718789406
04-09-2020,1648,6,688,960,0.36,41.75,0.019801980198019802
04-10-2020,1675,7,751,924,0.42,44.84,0.016383495145631068
04-11-2020,1689,8,841,848,0.47,49.79,0.00835820895522388
04-12-2020,1701,8,889,812,0.47,52.26,0.007104795737122558
04-13-2020,1711,8,933,778,0.47,54.53,0.005878894767783657
04-14-2020,1720,8,989,731,0.47,57.5,0.005260081823495032
04-15-2020,1727,8,1077,650,0.46,62.36,0.004069767441860465
04-16-2020,1739,8,1144,595,0.46,65.78,0.006948465547191662
04-17-2020,1754,9,1224,530,0.51,69.78,0.008625646923519264
04-18-2020,1760,9,1291,469,0.51,73.35,0.0034207525655644243
04-19-2020,1771,9,1291,480,0.51,72.9,0.00625
04-20-2020,1773,10,1362,411,0.56,76.82,0.001129305477131564
04-21-2020,1778,10,1417,361,0.56,79.7,0.0028200789622109417
04-22-2020,1785,10,1462,323,0.56,81.9,0.003937007874015748
04-23-2020,1789,10,1509,280,0.56,84.35,0.002240896358543417
04-24-2020,1789,10,1542,247,0.56,86.19,0.0
04-25-2020,1790,10,1570,220,0.56,87.71,0.0005589714924538849
04-26-2020,1792,10,1608,184,0.56,89.73,0.0011173184357541898
04-27-2020,1792,10,1624,168,0.56,90.63,0.0
04-28-2020,1795,10,1636,159,0.56,91.14,0.0016741071428571428
