date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-19-2020,2,2,0,2,100.0,0.0,1
02-20-2020,5,2,0,5,40.0,0.0,2.5
02-21-2020,18,4,0,18,22.22,0.0,3.6
02-22-2020,28,5,0,28,17.86,0.0,1.5555555555555556
02-23-2020,43,8,0,43,18.6,0.0,1.5357142857142856
02-24-2020,61,12,0,61,19.67,0.0,1.4186046511627908
02-25-2020,95,16,0,95,16.84,0.0,1.5573770491803278
02-26-2020,139,19,49,90,13.67,35.25,1.4631578947368422
02-27-2020,245,26,49,196,10.61,20.0,1.762589928057554
02-28-2020,388,34,73,315,8.76,18.81,1.583673469387755
02-29-2020,593,43,123,470,7.25,20.74,1.5283505154639174
03-01-2020,978,54,175,803,5.52,17.89,1.6492411467116357
03-02-2020,1501,66,291,1210,4.4,19.39,1.534764826175869
03-03-2020,2336,77,291,2045,3.3,12.46,1.5562958027981346
03-04-2020,2922,92,552,2370,3.15,18.89,1.2508561643835616
03-05-2020,3513,107,739,2774,3.05,21.04,1.202258726899384
03-06-2020,4747,124,913,3834,2.61,19.23,1.3512667235980644
03-07-2020,5823,145,1669,4154,2.49,28.66,1.2266694754581842
03-08-2020,6566,194,2134,4432,2.95,32.5,1.1275974583547999
03-09-2020,7161,237,2394,4767,3.31,33.43,1.0906183368869935
03-11-2020,9000,354,2959,6041,3.93,32.88,1
03-12-2020,10075,429,2959,7116,4.26,29.37,1.1194444444444445
03-13-2020,11364,514,2959,8405,4.52,26.04,1.1279404466501242
03-14-2020,12729,611,2959,9770,4.8,23.25,1.1201161562829989
03-15-2020,13938,724,4590,9348,5.19,32.93,1.094979967004478
03-16-2020,14991,853,4590,10401,5.69,30.62,1.0755488592337494
03-17-2020,16169,988,5389,10780,6.11,33.33,1.0785804816223068
03-18-2020,17361,1135,5389,11972,6.54,31.04,1.0737213185725771
03-19-2020,18407,1284,5710,12697,6.98,31.02,1.060249985599908
03-20-2020,19644,1433,6745,12899,7.29,34.34,1.067202694627044
03-21-2020,20610,1556,7635,12975,7.55,37.05,1.0491753207086134
03-22-2020,21638,1685,7635,14003,7.79,35.29,1.049878699660359
03-23-2020,23049,1812,8376,14673,7.86,36.34,1.0652093539144099
03-24-2020,24811,1934,8913,15898,7.79,35.92,1.0764458327910105
03-25-2020,27017,2077,9625,17392,7.69,35.63,1.088912176050945
03-26-2020,29406,2234,10457,18949,7.6,35.56,1.0884258059740164
03-27-2020,32332,2378,11133,21199,7.35,34.43,1.0995035026865265
03-28-2020,35408,2517,11679,23729,7.11,32.98,1.0951379438327353
03-29-2020,38309,2640,12391,25918,6.89,32.34,1.0819306371441482
03-30-2020,41495,2757,13911,27584,6.64,33.52,1.0831658357044036
03-31-2020,44605,2898,14656,29949,6.5,32.86,1.074948789010724
04-01-2020,47593,3036,15473,32120,6.38,32.51,1.066988005828943
04-02-2020,50468,3160,16711,33757,6.26,33.11,1.0604080431996301
04-03-2020,53183,3294,17935,35248,6.19,33.72,1.0537964650867877
04-04-2020,55743,3452,19736,36007,6.19,35.41,1.0481356824549197
04-05-2020,58226,3603,19736,38490,6.19,33.9,1.0445437095240657
04-06-2020,60500,3739,24236,36264,6.18,40.06,1.0390547178236527
04-07-2020,62589,3872,27039,35550,6.19,43.2,1.0345289256198347
04-08-2020,64586,3993,29812,34774,6.18,46.16,1.0319065650513668
04-09-2020,66220,4110,32309,33911,6.21,48.79,1.0252996005326231
04-10-2020,68192,4232,35465,32727,6.21,52.01,1.0297795228027786
04-11-2020,70029,4357,41947,28082,6.22,59.9,1.026938643829188
04-12-2020,71686,4474,43894,27792,6.24,61.23,1.0236616258978424
04-13-2020,73303,4585,45983,27320,6.25,62.73,1.022556705632899
04-14-2020,74877,4683,48129,26748,6.25,64.28,1.0214725181779736
04-15-2020,76389,4777,49933,26456,6.25,65.37,1.0201931167114067
04-16-2020,77995,4869,52229,25766,6.24,66.96,1.0210239694196808
04-17-2020,79494,4958,54064,25430,6.24,68.01,1.0192191807167126
04-18-2020,80868,5031,55987,24881,6.22,69.23,1.017284323345158
04-19-2020,82211,5118,57023,25188,6.23,69.36,1.0166073106791313
04-20-2020,83505,5209,59273,24232,6.24,70.98,1.0157399861332426
04-21-2020,84802,5297,60965,23837,6.25,71.89,1.0155320040716125
04-22-2020,85996,5391,63113,22883,6.27,73.39,1.0140798566071554
04-23-2020,87026,5481,64843,22183,6.3,74.51,1.0119773012698265
04-24-2020,88194,5574,66599,21595,6.32,75.51,1.0134212764001562
04-25-2020,89328,5650,68193,21135,6.33,76.34,1.0128580175522144
04-26-2020,90481,5710,69657,20824,6.31,76.99,1.0129074870141501
04-27-2020,91472,5806,70933,20539,6.35,77.55,1.0109525756788718
04-28-2020,92584,5877,72439,20145,6.35,78.24,1.0121567255553612
04-29-2020,93657,5957,73791,19866,6.36,78.79,1.0115894755033268
04-30-2020,94640,6028,75103,19537,6.37,79.36,1.010495745112485
05-01-2020,95646,6091,76318,19328,6.37,79.79,1.010629754860524
05-02-2020,96448,6156,77350,19098,6.38,80.2,1.0083850866737762
05-03-2020,97424,6203,78422,19002,6.37,80.5,1.0101194426011944
05-04-2020,98647,6277,79379,19268,6.36,80.47,1.0125533749384135
05-05-2020,99970,6340,80475,19495,6.34,80.5,1.0134114570133912
05-06-2020,101650,6418,81587,20063,6.31,80.26,1.0168050415124537
05-07-2020,103135,6486,82744,20391,6.29,80.23,1.0146089522872601
05-08-2020,104691,6541,83837,20854,6.25,80.08,1.0150870218645465
05-09-2020,106220,6589,85064,21156,6.2,80.08,1.014604884851611
05-10-2020,107603,6640,86143,21460,6.17,80.06,1.013020146864997
05-11-2020,109286,6685,87422,21864,6.12,79.99,1.0156408278579594
05-12-2020,110767,6733,88357,22410,6.08,79.77,1.0135515985579122
05-13-2020,112725,6783,89428,23297,6.02,79.33,1.01767674487889
05-14-2020,114533,6854,90539,23994,5.98,79.05,1.016039033045021
05-15-2020,116635,6902,91836,24799,5.92,78.74,1.0183527891524713
05-16-2020,118392,6937,93147,25245,5.86,78.68,1.0150640888241094
05-17-2020,120198,6988,94464,25734,5.81,78.59,1.0152544090816946
05-18-2020,122492,7057,95661,26831,5.76,78.1,1.0190851761260586
05-19-2020,124603,7119,97173,27430,5.71,77.99,1.0172337785324757
05-20-2020,126949,7183,98808,28141,5.66,77.83,1.0188277970835373
05-21-2020,129341,7249,100564,28777,5.6,77.75,1.0188422122269574
05-22-2020,131652,7300,102276,29376,5.54,77.69,1.0178674975452486
05-23-2020,133521,7359,104072,29449,5.51,77.94,1.0141965180931547
05-24-2020,135701,7417,105801,29900,5.47,77.97,1.0163270197197445
05-25-2020,137724,7451,107713,30011,5.41,78.21,1.014907775182202
05-26-2020,139511,7508,109437,30074,5.38,78.44,1.0129752258139468
05-27-2020,141591,7564,111176,30415,5.34,78.52,1.0149092186279218
05-28-2020,143849,7627,112988,30861,5.3,78.55,1.0159473412858162
05-29-2020,146668,7677,114931,31737,5.23,78.36,1.019596938456298
05-30-2020,148950,7734,116827,32123,5.19,78.43,1.0155589494640958
05-31-2020,151466,7797,118848,32618,5.15,78.47,1.01689157435381
06-01-2020,154445,7878,121004,33441,5.1,78.35,1.019667780227906
06-02-2020,157562,7942,123077,34485,5.04,78.11,1.0201819417915763
06-03-2020,160696,8012,125206,35490,4.99,77.91,1.019890582754725
06-04-2020,164270,8071,127485,36785,4.91,77.61,1.0222407527256434
06-05-2020,167156,8134,129741,37415,4.87,77.62,1.017568637000061
06-06-2020,169425,8209,132038,37387,4.85,77.93,1.0135741463064443
06-07-2020,171789,8281,134349,37440,4.82,78.21,1.0139530765825586
06-08-2020,173832,8351,136360,37472,4.8,78.44,1.011892496027103
06-09-2020,175927,8425,138457,37470,4.79,78.7,1.0120518661696352
06-10-2020,177938,8506,140590,37348,4.78,79.01,1.0114308775799052
06-11-2020,180156,8584,142663,37493,4.76,79.19,1.0124650159044162
06-12-2020,182525,8659,144649,37876,4.74,79.25,1.0131497146917117
06-13-2020,184955,8730,146748,38207,4.72,79.34,1.0133132447609916
06-14-2020,187427,8837,148674,38753,4.71,79.32,1.0133654132086183
06-15-2020,189876,8950,150590,39286,4.71,79.31,1.0130664205263915
06-16-2020,192439,9065,152675,39764,4.71,79.34,1.0134982830900165
06-17-2020,195051,9185,154812,40239,4.71,79.37,1.0135731322652892
06-18-2020,197647,9272,156991,40656,4.69,79.43,1.0133093396086152
06-19-2020,200262,9392,159192,41070,4.69,79.49,1.0132306586996007
06-20-2020,202584,9507,161384,41200,4.69,79.66,1.0115948107978547
06-21-2020,204952,9623,163591,41361,4.7,79.82,1.011688978399084
06-22-2020,207525,9742,166427,41098,4.69,80.2,1.0125541590226004
06-23-2020,209970,9863,169160,40810,4.7,80.56,1.011781713046621
06-24-2020,212501,9996,172096,40405,4.7,80.99,1.0120541029670906
06-25-2020,215096,10130,175103,39993,4.71,81.41,1.0122117072390246
06-26-2020,217724,10239,177852,39872,4.7,81.69,1.0122178004239968
06-27-2020,220180,10364,180661,39519,4.71,82.05,1.0112803365729088
06-28-2020,222669,10508,183310,39359,4.72,82.32,1.0113043873194658
06-29-2020,225205,10670,186180,39025,4.74,82.67,1.0113891022100068
06-30-2020,227662,10817,188758,38904,4.75,82.91,1.0109100597233631
07-01-2020,230211,10958,191487,38724,4.76,83.18,1.0111964227670844
07-02-2020,232863,11106,194098,38765,4.77,83.35,1.0115198665572018
07-03-2020,235429,11260,196446,38983,4.78,83.44,1.0110193547278872
07-04-2020,237878,11408,198949,38929,4.8,83.63,1.0104022868890408
07-05-2020,240438,11571,201330,39108,4.81,83.73,1.010761819083732
07-06-2020,243051,11731,204083,38968,4.83,83.97,1.0108676665086218
07-07-2020,245688,11931,207000,38688,4.86,84.25,1.0108495747806017
07-08-2020,248379,12084,209463,38916,4.87,84.33,1.0109529158933281
07-09-2020,250458,12305,212176,38282,4.91,84.72,1.008370272849154
07-10-2020,252720,12447,215015,37705,4.93,85.08,1.0090314543755838
07-11-2020,255117,12635,217666,37451,4.95,85.32,1.0094848053181387
07-12-2020,257303,12829,219993,37310,4.99,85.5,1.0085686175362676
07-13-2020,259652,13032,222539,37113,5.02,85.71,1.0091293144658244
07-14-2020,262173,13211,225270,36903,5.04,85.92,1.0097091491688877
07-15-2020,264561,13410,227561,37000,5.07,86.01,1.0091084894325502
07-16-2020,267061,13608,230608,36453,5.1,86.35,1.009449616534561
07-17-2020,269440,13791,232873,36567,5.12,86.43,1.0089080771808687
07-18-2020,271606,13979,235300,36306,5.15,86.63,1.008038895486936
07-19-2020,273788,14188,237788,36000,5.18,86.85,1.0080336958682798
07-20-2020,276202,14405,240087,36115,5.22,86.92,1.0088170409221733
07-21-2020,278827,14634,242351,36476,5.25,86.92,1.0095039138022173
07-22-2020,281413,14853,244840,36573,5.28,87.0,1.0092745681013675
07-23-2020,284034,15074,247230,36804,5.31,87.04,1.009313713296827
07-24-2020,286523,15289,249212,37311,5.34,86.98,1.0087630354112536
07-25-2020,288839,15484,251319,37520,5.36,87.01,1.0080831207267829
07-26-2020,291172,15700,253213,37959,5.39,86.96,1.0080771640948765
07-27-2020,293606,15912,255144,38462,5.42,86.9,1.008359320264311
07-28-2020,296273,16147,257019,39254,5.45,86.75,1.00908360183375
07-29-2020,298909,16343,259116,39793,5.47,86.69,1.008897199542314
07-30-2020,301530,16569,261200,40330,5.49,86.62,1.008768554978271
07-31-2020,304204,16766,263519,40685,5.51,86.63,1.0088681059927702
08-01-2020,306752,16982,265830,40922,5.54,86.66,1.0083759582385505
08-02-2020,309437,17190,268102,41335,5.56,86.64,1.0087529991654496
08-03-2020,312035,17405,270228,41807,5.58,86.6,1.0083958931866583
08-04-2020,314786,17617,272535,42251,5.6,86.58,1.008816318682199
08-05-2020,317483,17802,274932,42551,5.61,86.6,1.0085677253753345
08-06-2020,320117,17976,277463,42654,5.62,86.68,1.0082965072145595
08-07-2020,322567,18132,279724,42843,5.62,86.72,1.0076534517067197
08-08-2020,324692,18264,282122,42570,5.63,86.89,1.0065877786630375
08-09-2020,326712,18427,284371,42341,5.64,87.04,1.0062212804750348
08-10-2020,328844,18616,286642,42202,5.66,87.17,1.006525625015304
08-11-2020,331189,18800,288620,42569,5.68,87.15,1.0071310408582792
08-12-2020,333699,18988,290244,43455,5.69,86.98,1.007578754125288
08-13-2020,336324,19162,292058,44266,5.7,86.84,1.0078663705914612
08-14-2020,338825,19331,293811,45014,5.71,86.71,1.0074362816807603
08-15-2020,341070,19492,295630,45440,5.71,86.68,1.0066258392975724
08-16-2020,343203,19639,297486,45717,5.72,86.68,1.0062538481836574
08-17-2020,345450,19804,299157,46293,5.73,86.6,1.0065471455669093
08-18-2020,347835,19972,300881,46954,5.74,86.5,1.006904038211029
08-19-2020,350279,20125,302528,47751,5.75,86.37,1.0070263199505514
08-20-2020,352558,20264,304236,48322,5.75,86.29,1.0065062421669584
08-21-2020,354764,20376,305866,48898,5.74,86.22,1.0062571264869893
08-22-2020,356792,20502,307702,49090,5.75,86.24,1.0057164763053748
08-23-2020,358905,20643,309464,49441,5.75,86.22,1.0059222179869505
08-24-2020,361150,20776,311365,49785,5.75,86.21,1.0062551371532857
08-25-2020,363363,20901,313058,50305,5.75,86.16,1.0061276477917762
08-26-2020,365606,21020,314870,50736,5.75,86.12,1.006172890470411
08-27-2020,367796,21137,316638,51158,5.75,86.09,1.0059900548678085
08-28-2020,369911,21249,318270,51641,5.74,86.04,1.005750470369444
08-29-2020,371816,21359,319847,51969,5.74,86.02,1.0051498874053488
08-30-2020,373570,21462,321421,52149,5.75,86.04,1.004717387094692
08-31-2020,375212,21571,323233,51979,5.75,86.15,1.0043954278983858
09-01-2020,376894,21672,325124,51770,5.75,86.26,1.0044827990575995
09-02-2020,378752,21797,326801,51951,5.75,86.28,1.0049297680514946
09-03-2020,380746,21926,328595,52151,5.76,86.3,1.005264658668469
09-04-2020,382772,22044,330308,52464,5.76,86.29,1.005321132723653
09-05-2020,384666,22154,332131,52535,5.76,86.34,1.00494811532714
09-06-2020,386658,22293,333900,52758,5.77,86.36,1.0051785185069644
09-07-2020,388810,22410,335572,53238,5.76,86.31,1.0055656419885273
09-08-2020,391112,22542,337414,53698,5.76,86.27,1.0059206296134358
09-09-2020,393425,22669,339111,54314,5.76,86.19,1.0059139070138476
09-10-2020,395488,22798,340842,54646,5.76,86.18,1.0052436932070916
09-11-2020,397801,22913,342539,55262,5.76,86.11,1.0058484707500608
09-12-2020,399940,23029,344516,55424,5.76,86.14,1.0053770603894912
09-13-2020,402029,23157,346242,55787,5.76,86.12,1.0052232834925239
09-14-2020,404648,23313,348013,56635,5.76,86.0,1.0065144554248575
09-15-2020,407353,23453,349984,57369,5.76,85.92,1.006684822364129
09-16-2020,410334,23632,352019,58315,5.76,85.79,1.0073179772826026
09-17-2020,413149,23808,353848,59301,5.76,85.65,1.006860265052372
09-18-2020,416198,23952,355505,60693,5.75,85.42,1.007379904102394
09-19-2020,419043,24118,357632,61411,5.76,85.34,1.0068356887827428
09-20-2020,422140,24301,359570,62570,5.76,85.18,1.0073906496469336
09-21-2020,425481,24478,361523,63958,5.75,84.97,1.0079144359691097
09-22-2020,429193,24656,363737,65456,5.74,84.75,1.0087242438557773
09-23-2020,432798,24840,365846,66952,5.74,84.53,1.008399484614148
09-24-2020,436319,25015,367829,68490,5.73,84.3,1.0081354350066312
09-25-2020,439882,25222,369842,70040,5.73,84.08,1.0081660436515485
09-26-2020,443086,25394,372051,71035,5.73,83.97,1.0072837715569176
09-27-2020,446448,25589,374170,72278,5.73,83.81,1.0075876917799254
09-28-2020,449960,25779,376531,73429,5.73,83.68,1.0078665376482816
09-29-2020,453637,25986,378727,74910,5.73,83.49,1.0081718374966664
09-30-2020,457219,26169,380956,76263,5.72,83.32,1.007896181307962
10-01-2020,461044,26380,383368,77676,5.72,83.15,1.0083657940724249
10-02-2020,464596,26567,385264,79332,5.72,82.92,1.00770425382393
10-03-2020,468119,26746,387675,80444,5.71,82.82,1.007582932268035
10-04-2020,471772,26957,389966,81806,5.71,82.66,1.0078035713141316
10-05-2020,475674,27192,392293,83381,5.72,82.47,1.008270944439263
10-06-2020,479825,27419,394800,85025,5.71,82.28,1.008726564832217
10-07-2020,483844,27658,397109,86735,5.72,82.07,1.0083759704058772
