date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-21-2020,1,0,0,1,0.0,0.0,0
02-22-2020,1,0,0,1,0.0,0.0,0.0
02-23-2020,1,0,0,1,0.0,0.0,0.0
02-24-2020,1,0,0,1,0.0,0.0,0.0
02-25-2020,1,0,0,1,0.0,0.0,0.0
02-26-2020,2,0,0,2,0.0,0.0,1.0
02-27-2020,3,0,1,2,0.0,33.33,0.5
02-28-2020,4,0,1,3,0.0,25.0,0.3333333333333333
02-29-2020,7,0,1,6,0.0,14.29,0.75
03-01-2020,10,0,1,9,0.0,10.0,0.42857142857142855
03-02-2020,10,0,1,9,0.0,10.0,0.0
03-03-2020,12,0,1,11,0.0,8.33,0.2
03-04-2020,15,0,1,14,0.0,6.67,0.25
03-05-2020,16,0,1,15,0.0,6.25,0.06666666666666667
03-06-2020,21,0,2,19,0.0,9.52,0.3125
03-07-2020,21,0,2,19,0.0,9.52,0.0
03-08-2020,39,0,2,37,0.0,5.13,0.8571428571428571
03-09-2020,39,0,2,37,0.0,5.13,0.0
03-10-2020,58,0,4,54,0.0,6.9,0.48717948717948717
03-11-2020,109,0,4,105,0.0,3.67,0.8793103448275862
03-12-2020,131,0,4,127,0.0,3.05,0.2018348623853211
03-13-2020,161,0,4,157,0.0,2.48,0.22900763358778625
03-14-2020,193,0,4,189,0.0,2.07,0.19875776397515527
03-15-2020,251,0,4,247,0.0,1.59,0.3005181347150259
03-16-2020,255,0,4,251,0.0,1.57,0.01593625498007968
03-17-2020,337,0,11,326,0.0,3.26,0.3215686274509804
03-18-2020,433,0,11,422,0.0,2.54,0.28486646884273
03-19-2020,677,0,11,666,0.0,1.62,0.5635103926096998
03-20-2020,705,0,14,691,0.0,1.99,0.0413589364844904
03-21-2020,883,1,36,847,0.11,4.08,0.2524822695035461
03-22-2020,1071,1,37,1034,0.09,3.45,0.2129105322763307
03-23-2020,1442,1,41,1401,0.07,2.84,0.3464052287581699
03-24-2020,1930,3,53,1877,0.16,2.75,0.33841886269070737
03-25-2020,2369,5,58,2311,0.21,2.45,0.22746113989637307
03-26-2020,2693,8,68,2625,0.3,2.53,0.13676656817222457
03-27-2020,3035,12,79,2956,0.4,2.6,0.12699591533605645
03-28-2020,3619,12,89,3530,0.33,2.46,0.19242174629324546
03-29-2020,4247,15,132,4115,0.35,3.11,0.17352859906051396
03-30-2020,4695,16,161,4534,0.34,3.43,0.10548622557099128
03-31-2020,5358,20,224,5134,0.37,4.18,0.1412140575079872
04-01-2020,6092,26,241,5851,0.43,3.96,0.13699141470698023
04-02-2020,6857,36,338,6519,0.53,4.93,0.12557452396585686
04-03-2020,7428,40,403,7025,0.54,5.43,0.08327256817850372
04-04-2020,7851,44,427,7424,0.56,5.44,0.05694668820678514
04-05-2020,8430,49,477,7953,0.58,5.66,0.07374856706152083
04-06-2020,8904,57,585,8319,0.64,6.57,0.056227758007117434
04-07-2020,9248,65,770,8478,0.7,8.33,0.03863432165318958
04-08-2020,9404,73,801,8603,0.78,8.52,0.016868512110726645
04-09-2020,9968,86,1011,8957,0.86,10.14,0.05997447894512973
04-10-2020,10408,95,1183,9225,0.91,11.37,0.044141252006420544
04-11-2020,10743,101,1341,9402,0.94,12.48,0.032186779400461184
04-12-2020,11145,103,1627,9518,0.92,14.6,0.03741971516336219
04-13-2020,11586,116,1855,9731,1.0,16.01,0.039569313593539705
04-14-2020,12046,123,2195,9851,1.02,18.22,0.03970308993612981
04-15-2020,12501,130,2563,9938,1.04,20.5,0.03777187448115557
04-16-2020,12758,142,2818,9940,1.11,22.09,0.020558355331573474
04-17-2020,12982,151,3126,9856,1.16,24.08,0.017557610910801064
04-18-2020,13265,164,3456,9809,1.24,26.05,0.021799414574025573
04-19-2020,13491,172,3754,9737,1.27,27.83,0.017037316245759517
04-20-2020,13713,177,4049,9664,1.29,29.53,0.01645541472092506
04-21-2020,13942,184,4507,9435,1.32,32.33,0.01669948224312696
04-22-2020,14498,189,5215,9283,1.3,35.97,0.039879500788982926
04-23-2020,14803,192,5611,9192,1.3,37.9,0.02103738446682301
04-24-2020,15058,194,6003,9055,1.29,39.87,0.017226237924744984
04-25-2020,15298,199,6435,8863,1.3,42.06,0.015938371629698498
04-26-2020,15443,201,6731,8712,1.3,43.59,0.00947836318473003
04-27-2020,15555,204,7200,8355,1.31,46.29,0.00725247685035291
04-28-2020,15728,210,7746,7982,1.34,49.25,0.011121825779492125
