date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-31-2020,2,0,0,2,0.0,0.0,0
02-01-2020,2,0,0,2,0.0,0.0,0.0
02-02-2020,2,0,0,2,0.0,0.0,0.0
02-03-2020,2,0,0,2,0.0,0.0,0.0
02-04-2020,2,0,0,2,0.0,0.0,0.0
02-05-2020,2,0,0,2,0.0,0.0,0.0
02-06-2020,2,0,0,2,0.0,0.0,0.0
02-07-2020,3,0,0,3,0.0,0.0,0.5
02-08-2020,3,0,0,3,0.0,0.0,0.0
02-09-2020,3,0,0,3,0.0,0.0,0.0
02-10-2020,3,0,0,3,0.0,0.0,0.0
02-11-2020,3,0,0,3,0.0,0.0,0.0
02-12-2020,3,0,0,3,0.0,0.0,0.0
02-13-2020,3,0,0,3,0.0,0.0,0.0
02-14-2020,3,0,0,3,0.0,0.0,0.0
02-15-2020,3,0,0,3,0.0,0.0,0.0
02-16-2020,3,0,0,3,0.0,0.0,0.0
02-17-2020,3,0,0,3,0.0,0.0,0.0
02-18-2020,3,0,0,3,0.0,0.0,0.0
02-19-2020,3,0,0,3,0.0,0.0,0.0
02-20-2020,3,0,0,3,0.0,0.0,0.0
02-21-2020,20,1,0,20,5.0,0.0,5.666666666666667
02-22-2020,62,2,1,61,3.23,1.61,2.1
02-23-2020,155,3,2,153,1.94,1.29,1.5
02-24-2020,229,7,1,228,3.06,0.44,0.4774193548387097
02-25-2020,322,10,1,321,3.11,0.31,0.40611353711790393
02-26-2020,453,12,3,450,2.65,0.66,0.40683229813664595
02-27-2020,655,17,45,610,2.6,6.87,0.445916114790287
02-28-2020,888,21,46,842,2.36,5.18,0.35572519083969467
02-29-2020,1128,29,46,1082,2.57,4.08,0.2702702702702703
03-01-2020,1694,34,83,1611,2.01,4.9,0.50177304964539
03-02-2020,2036,52,149,1887,2.55,7.32,0.20188902007083825
03-03-2020,2502,79,160,2342,3.16,6.39,0.2288801571709234
03-04-2020,3089,107,276,2813,3.46,8.93,0.2346123101518785
03-05-2020,3858,148,414,3444,3.84,10.73,0.24894787957267725
03-06-2020,4636,197,523,4113,4.25,11.28,0.20165889061689996
03-07-2020,5883,233,589,5294,3.96,10.01,0.2689818809318378
03-08-2020,7375,366,622,6753,4.96,8.43,0.25361210266870643
03-09-2020,9172,463,724,8448,5.05,7.89,0.24366101694915254
03-10-2020,10149,631,724,9425,6.22,7.13,0.10651984300043611
03-11-2020,12462,827,1045,11417,6.64,8.39,0.22790422701744015
03-12-2020,12462,827,1045,11417,6.64,8.39,0.0
03-13-2020,17660,1266,1439,16221,7.17,8.15,0.41710800834536993
03-14-2020,21157,1441,1966,19191,6.81,9.29,0.19801812004530012
03-15-2020,24747,1809,2335,22412,7.31,9.44,0.16968379259819444
03-16-2020,27980,2158,2749,25231,7.71,9.82,0.1306420980320847
03-17-2020,31506,2503,2941,28565,7.94,9.33,0.12601858470335955
03-18-2020,35713,2978,4025,31688,8.34,11.27,0.13353012124674665
03-19-2020,41035,3405,4440,36595,8.3,10.82,0.1490213647691317
03-20-2020,47021,4032,4440,42581,8.57,9.44,0.14587547215791397
03-21-2020,53578,4825,6072,47506,9.01,11.33,0.1394483315965207
03-22-2020,59138,5476,7024,52114,9.26,11.88,0.10377393706372018
03-23-2020,63927,6077,7432,56495,9.51,11.63,0.08098008048970205
03-24-2020,69176,6820,8326,60850,9.86,12.04,0.08210928089852489
03-25-2020,74386,7503,9362,65024,10.09,12.59,0.07531513819821904
03-26-2020,80589,8215,10361,70228,10.19,12.86,0.08338934745785498
03-27-2020,86498,9134,10950,75548,10.56,12.66,0.07332266190174838
03-28-2020,92472,10023,12384,80088,10.84,13.39,0.0690651806978196
03-29-2020,97689,10779,13030,84659,11.03,13.34,0.056417077601868676
03-30-2020,101739,11591,14620,87119,11.39,14.37,0.04145809661271996
03-31-2020,105792,12428,15729,90063,11.75,14.87,0.039837230560552
04-01-2020,110574,13155,16847,93727,11.9,15.24,0.045201905626134305
04-02-2020,115242,13915,18278,96964,12.07,15.86,0.042216072494438116
04-03-2020,119827,14681,19758,100069,12.25,16.49,0.039785841967338295
