date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-11-2020,1,0,0,1,0.0,0.0,1
03-12-2020,2,0,0,2,0.0,0.0,2.0
03-13-2020,8,0,0,8,0.0,0.0,4.0
03-14-2020,8,0,0,8,0.0,0.0,1.0
03-15-2020,10,0,0,10,0.0,0.0,1.25
03-16-2020,10,0,2,8,0.0,20.0,1.0
03-17-2020,12,0,2,10,0.0,16.67,1.2
03-18-2020,13,0,2,11,0.0,15.38,1.0833333333333333
03-19-2020,15,1,2,13,6.67,13.33,1.1538461538461537
03-20-2020,16,1,2,14,6.25,12.5,1.0666666666666667
03-21-2020,16,1,2,14,6.25,12.5,1.0
03-22-2020,19,1,2,17,5.26,10.53,1.1875
03-23-2020,19,1,2,17,5.26,10.53,1.0
03-24-2020,21,1,2,19,4.76,9.52,1.1052631578947367
03-25-2020,26,1,2,24,3.85,7.69,1.2380952380952381
03-26-2020,26,1,2,24,3.85,7.69,1.0
03-27-2020,26,1,2,24,3.85,7.69,1.0
03-28-2020,30,1,2,28,3.33,6.67,1.1538461538461537
03-29-2020,32,1,2,30,3.13,6.25,1.0666666666666667
03-30-2020,36,1,2,34,2.78,5.56,1.125
03-31-2020,36,1,2,34,2.78,5.56,1.0
04-01-2020,44,3,2,42,6.82,4.55,1.2222222222222223
04-02-2020,47,3,2,45,6.38,4.26,1.0681818181818181
04-03-2020,47,3,2,45,6.38,4.26,1.0
04-04-2020,53,3,7,46,5.66,13.21,1.127659574468085
04-05-2020,58,3,8,50,5.17,13.79,1.0943396226415094
04-06-2020,58,3,8,50,5.17,13.79,1.0
04-07-2020,63,3,8,55,4.76,12.7,1.0862068965517242
04-08-2020,63,4,10,53,6.35,15.87,1.0
04-09-2020,63,4,12,51,6.35,19.05,1.0
04-10-2020,63,4,13,50,6.35,20.63,1.0
04-11-2020,65,4,13,52,6.15,20.0,1.0317460317460316
04-12-2020,69,4,13,56,5.8,18.84,1.0615384615384615
04-13-2020,73,4,19,54,5.48,26.03,1.0579710144927537
04-14-2020,73,4,19,54,5.48,26.03,1.0
04-15-2020,125,5,21,104,4.0,16.8,1.7123287671232876
04-16-2020,143,5,21,122,3.5,14.69,1.144
04-17-2020,143,5,25,118,3.5,17.48,1.0
04-18-2020,163,5,25,138,3.07,15.34,1.1398601398601398
04-19-2020,173,5,27,146,2.89,15.61,1.0613496932515338
04-20-2020,223,5,27,196,2.24,12.11,1.2890173410404624
04-21-2020,223,6,27,196,2.69,12.11,1.0
04-22-2020,233,6,27,206,2.58,11.59,1.0448430493273542
04-23-2020,257,6,28,229,2.33,10.89,1.1030042918454936
04-24-2020,288,7,28,260,2.43,9.72,1.1206225680933852
04-25-2020,305,7,28,277,2.3,9.18,1.0590277777777777
04-26-2020,350,7,28,322,2.0,8.0,1.1475409836065573
04-27-2020,364,7,29,335,1.92,7.97,1.04
04-28-2020,364,7,29,335,1.92,7.97,1.0
04-29-2020,396,7,29,367,1.77,7.32,1.0879120879120878
04-30-2020,422,8,29,393,1.9,6.87,1.0656565656565657
05-01-2020,432,8,31,401,1.85,7.18,1.0236966824644549
05-02-2020,463,8,33,430,1.73,7.13,1.0717592592592593
05-03-2020,469,9,38,431,1.92,8.1,1.0129589632829374
05-04-2020,471,9,38,433,1.91,8.07,1.004264392324094
05-05-2020,473,9,56,417,1.9,11.84,1.0042462845010616
05-06-2020,478,9,57,421,1.88,11.92,1.0105708245243128
05-07-2020,488,9,58,430,1.84,11.89,1.0209205020920502
05-08-2020,490,9,62,428,1.84,12.65,1.0040983606557377
05-09-2020,490,9,62,428,1.84,12.65,1.0
05-10-2020,502,9,90,412,1.79,17.93,1.0244897959183674
05-11-2020,505,9,90,415,1.78,17.82,1.0059760956175299
05-12-2020,507,9,100,407,1.78,19.72,1.003960396039604
05-13-2020,509,9,113,396,1.77,22.2,1.0039447731755424
05-14-2020,509,9,118,391,1.77,23.18,1.0
05-15-2020,511,9,121,390,1.76,23.68,1.0039292730844793
05-16-2020,517,9,121,396,1.74,23.4,1.0117416829745598
05-17-2020,520,9,127,393,1.73,24.42,1.0058027079303675
05-18-2020,520,9,131,389,1.73,25.19,1.0
05-19-2020,520,9,145,375,1.73,27.88,1.0
05-20-2020,529,9,171,358,1.7,32.33,1.0173076923076922
05-21-2020,534,9,181,353,1.69,33.9,1.00945179584121
05-22-2020,544,9,191,353,1.65,35.11,1.0187265917602997
05-23-2020,550,9,200,350,1.64,36.36,1.0110294117647058
05-24-2020,552,9,211,341,1.63,38.22,1.0036363636363637
05-25-2020,556,9,238,318,1.62,42.81,1.0072463768115942
05-26-2020,564,9,267,297,1.6,47.34,1.014388489208633
05-27-2020,569,9,279,290,1.58,49.03,1.0088652482269505
05-28-2020,569,9,284,285,1.58,49.91,1.0
05-29-2020,575,9,289,286,1.57,50.26,1.0105448154657293
05-30-2020,581,9,290,291,1.55,49.91,1.0104347826086957
05-31-2020,586,9,311,275,1.54,53.07,1.008605851979346
06-01-2020,588,9,322,266,1.53,54.76,1.0034129692832765
06-02-2020,590,9,356,234,1.53,60.34,1.0034013605442176
06-03-2020,591,10,361,230,1.69,61.08,1.0016949152542374
06-04-2020,591,10,368,223,1.69,62.27,1.0
06-05-2020,595,10,385,210,1.68,64.71,1.0067681895093064
06-06-2020,596,10,404,192,1.68,67.79,1.0016806722689076
06-07-2020,598,10,405,193,1.67,67.73,1.0033557046979866
06-08-2020,599,10,405,194,1.67,67.61,1.0016722408026757
06-09-2020,605,10,405,200,1.65,66.94,1.010016694490818
06-10-2020,605,10,407,198,1.65,67.27,1.0
06-11-2020,611,10,408,203,1.64,66.78,1.0099173553719007
06-12-2020,614,10,417,197,1.63,67.92,1.004909983633388
06-13-2020,615,10,420,195,1.63,68.29,1.001628664495114
06-14-2020,617,10,420,197,1.62,68.07,1.0032520325203251
06-15-2020,621,10,430,191,1.61,69.24,1.006482982171799
06-16-2020,621,10,449,172,1.61,72.3,1.0
06-17-2020,626,10,451,175,1.6,72.04,1.0080515297906603
06-18-2020,638,10,458,180,1.57,71.79,1.0191693290734825
06-19-2020,652,10,458,194,1.53,70.25,1.0219435736677116
06-20-2020,657,10,462,195,1.52,70.32,1.0076687116564418
06-21-2020,659,10,516,143,1.52,78.3,1.0030441400304415
