date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-03-2020,1,0,0,1,0.0,0.0,0
03-04-2020,1,0,0,1,0.0,0.0,0.0
03-05-2020,1,0,0,1,0.0,0.0,0.0
03-06-2020,1,0,0,1,0.0,0.0,0.0
03-07-2020,1,0,0,1,0.0,0.0,0.0
03-08-2020,1,0,0,1,0.0,0.0,0.0
03-09-2020,1,0,0,1,0.0,0.0,0.0
03-10-2020,1,0,0,1,0.0,0.0,0.0
03-11-2020,1,0,0,1,0.0,0.0,0.0
03-12-2020,1,0,0,1,0.0,0.0,0.0
03-13-2020,1,0,1,0,0.0,100.0,0.0
03-14-2020,1,0,1,0,0.0,100.0,0.0
03-15-2020,8,0,1,7,0.0,12.5,7.0
03-16-2020,17,0,1,16,0.0,5.88,1.125
03-17-2020,34,0,1,33,0.0,2.94,1.0
03-18-2020,52,0,1,51,0.0,1.92,0.5294117647058824
03-19-2020,69,0,1,68,0.0,1.45,0.3269230769230769
03-20-2020,85,0,1,84,0.0,1.18,0.2318840579710145
03-21-2020,85,0,1,84,0.0,1.18,0.0
03-22-2020,112,0,1,111,0.0,0.89,0.3176470588235294
03-23-2020,127,0,1,126,0.0,0.79,0.13392857142857142
03-24-2020,154,0,1,153,0.0,0.65,0.2125984251968504
03-25-2020,172,0,1,171,0.0,0.58,0.11688311688311688
03-26-2020,212,0,1,211,0.0,0.47,0.23255813953488372
03-27-2020,235,1,18,217,0.43,7.66,0.10849056603773585
03-28-2020,246,1,18,228,0.41,7.32,0.04680851063829787
03-29-2020,259,3,18,241,1.16,6.95,0.052845528455284556
03-30-2020,268,5,26,242,1.87,9.7,0.03474903474903475
03-31-2020,274,5,30,244,1.82,10.95,0.022388059701492536
04-01-2020,278,5,36,242,1.8,12.95,0.014598540145985401
04-02-2020,299,5,45,254,1.67,15.05,0.07553956834532374
04-03-2020,310,5,58,252,1.61,18.71,0.03678929765886288
04-04-2020,323,5,74,249,1.55,22.91,0.041935483870967745
