date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-13-2020,4,0,0,4,0.0,0.0,1
03-14-2020,6,0,0,6,0.0,0.0,1.5
03-15-2020,9,0,0,9,0.0,0.0,1.5
03-16-2020,10,0,0,10,0.0,0.0,1.1111111111111112
03-17-2020,33,0,0,33,0.0,0.0,3.3
03-18-2020,35,0,0,35,0.0,0.0,1.0606060606060606
03-19-2020,44,0,0,44,0.0,0.0,1.2571428571428571
03-20-2020,49,3,0,49,6.12,0.0,1.1136363636363635
03-21-2020,53,0,0,53,0.0,0.0,1.0816326530612246
03-22-2020,59,0,0,59,0.0,0.0,1.1132075471698113
03-23-2020,62,0,0,62,0.0,0.0,1.0508474576271187
03-24-2020,72,0,0,72,0.0,0.0,1.1612903225806452
03-25-2020,81,0,0,81,0.0,0.0,1.125
03-26-2020,111,1,2,109,0.9,1.8,1.3703703703703702
03-27-2020,150,1,3,147,0.67,2.0,1.3513513513513513
03-28-2020,228,1,16,212,0.44,7.02,1.52
03-29-2020,284,1,20,264,0.35,7.04,1.2456140350877192
03-30-2020,302,1,21,281,0.33,6.95,1.0633802816901408
03-31-2020,343,2,24,319,0.58,7.0,1.1357615894039734
04-01-2020,380,3,26,354,0.79,6.84,1.1078717201166182
04-02-2020,435,3,27,408,0.69,6.21,1.1447368421052633
04-03-2020,464,6,29,435,1.29,6.25,1.0666666666666667
04-04-2020,531,5,36,495,0.94,6.78,1.144396551724138
04-05-2020,584,6,42,542,1.03,7.19,1.0998116760828625
04-06-2020,662,6,46,616,0.91,6.95,1.1335616438356164
04-07-2020,697,6,51,646,0.86,7.32,1.052870090634441
04-08-2020,727,7,54,673,0.96,7.43,1.043041606886657
04-09-2020,781,8,60,721,1.02,7.68,1.0742778541953233
04-10-2020,812,10,64,748,1.23,7.88,1.0396927016645328
04-11-2020,865,10,81,784,1.16,9.36,1.0652709359605912
04-12-2020,951,10,99,852,1.05,10.41,1.0994219653179191
04-13-2020,1091,12,138,953,1.1,12.65,1.1472134595162986
04-14-2020,1232,14,203,1029,1.14,16.48,1.1292392300641614
04-15-2020,1295,16,240,1055,1.24,18.53,1.0511363636363635
04-16-2020,1402,17,277,1125,1.21,19.76,1.0826254826254826
04-17-2020,1546,17,347,1199,1.1,22.45,1.102710413694722
04-18-2020,1615,17,377,1238,1.05,23.34,1.0446313065976713
04-19-2020,1676,17,400,1276,1.01,23.87,1.0377708978328173
04-20-2020,1852,19,447,1405,1.03,24.14,1.1050119331742243
04-21-2020,1995,19,489,1506,0.95,24.51,1.0772138228941686
04-22-2020,2135,19,515,1620,0.89,24.12,1.0701754385964912
04-23-2020,2289,20,560,1729,0.87,24.46,1.0721311475409836
04-24-2020,2482,25,604,1878,1.01,24.34,1.0843162953254697
04-25-2020,2601,25,646,1955,0.96,24.84,1.047945205479452
04-26-2020,2717,25,682,2035,0.92,25.1,1.0445982314494424
04-27-2020,2835,25,720,2115,0.88,25.4,1.0434302539565699
04-28-2020,3027,25,774,2253,0.83,25.57,1.0677248677248676
04-29-2020,3138,25,819,2319,0.8,26.1,1.0366699702675917
04-30-2020,3402,25,866,2536,0.73,25.46,1.0841300191204588
05-01-2020,3597,25,922,2675,0.7,25.63,1.0573192239858906
