date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate
03-11-2020,7755,60,288,7467,0.77,3.71
03-12-2020,7869,66,333,7536,0.84,4.23
03-13-2020,7979,66,510,7469,0.83,6.39
03-14-2020,8086,72,510,7576,0.89,6.31
03-15-2020,8162,75,510,7652,0.92,6.25
03-16-2020,8236,75,1137,7099,0.91,13.81
03-17-2020,8320,81,1407,6913,0.97,16.91
03-18-2020,8413,84,1540,6873,1.0,18.31
03-19-2020,8565,91,1540,7025,1.06,17.98
03-20-2020,8652,94,1540,7112,1.09,17.8
03-21-2020,8799,102,1540,7259,1.16,17.5
03-22-2020,8897,104,2909,5988,1.17,32.7
03-23-2020,8961,111,3166,5795,1.24,35.33
03-24-2020,9037,120,3507,5530,1.33,38.81
03-25-2020,9137,126,3730,5407,1.38,40.82
03-26-2020,9241,131,4144,5097,1.42,44.84
