date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-15-2020,2,0,0,2,0.0,0.0,1
03-16-2020,2,0,0,2,0.0,0.0,1.0
03-17-2020,2,0,0,2,0.0,0.0,1.0
03-18-2020,2,0,0,2,0.0,0.0,1.0
03-19-2020,2,0,0,2,0.0,0.0,1.0
03-20-2020,2,0,0,2,0.0,0.0,1.0
03-21-2020,2,0,0,2,0.0,0.0,1.0
03-26-2020,71,1,0,71,1.41,0.0,1
03-27-2020,86,1,1,85,1.16,1.16,1.2112676056338028
03-28-2020,91,1,1,90,1.1,1.1,1.058139534883721
03-29-2020,94,1,1,93,1.06,1.06,1.032967032967033
03-30-2020,94,1,1,93,1.06,1.06,1.0
03-31-2020,112,1,6,106,0.89,5.36,1.1914893617021276
04-01-2020,125,1,10,115,0.8,8.0,1.1160714285714286
04-02-2020,125,1,10,115,0.8,8.0,1.0
04-03-2020,126,1,10,116,0.79,7.94,1.008
04-04-2020,135,1,16,119,0.74,11.85,1.0714285714285714
04-05-2020,145,1,23,122,0.69,15.86,1.074074074074074
04-06-2020,145,1,23,122,0.69,15.86,1.0
04-07-2020,170,4,24,146,2.35,14.12,1.1724137931034484
04-08-2020,184,5,30,154,2.72,16.3,1.0823529411764705
04-09-2020,184,5,30,154,2.72,16.3,1.0
04-10-2020,250,7,52,198,2.8,20.8,1.358695652173913
04-11-2020,283,7,58,225,2.47,20.49,1.1320000000000001
04-12-2020,283,7,58,225,2.47,20.49,1.0
04-13-2020,283,7,58,225,2.47,20.49,1.0
04-14-2020,387,8,66,321,2.07,17.05,1.3674911660777385
04-15-2020,387,8,66,321,2.07,17.05,1.0
04-16-2020,449,11,79,370,2.45,17.59,1.1602067183462532
04-17-2020,480,12,84,396,2.5,17.5,1.069042316258352
04-18-2020,510,12,93,417,2.35,18.24,1.0625
04-19-2020,510,12,93,417,2.35,18.24,1.0
04-20-2020,510,12,93,417,2.35,18.24,1.0
04-21-2020,510,12,93,417,2.35,18.24,1.0
04-22-2020,510,12,93,417,2.35,18.24,1.0
04-23-2020,510,12,93,417,2.35,18.24,1.0
04-24-2020,510,12,93,417,2.35,18.24,1.0
04-25-2020,510,12,93,417,2.35,18.24,1.0
04-26-2020,510,12,93,417,2.35,18.24,1.0
04-27-2020,510,12,93,417,2.35,18.24,1.0
04-28-2020,510,12,93,417,2.35,18.24,1.0
04-29-2020,510,12,93,417,2.35,18.24,1.0
04-30-2020,799,22,249,550,2.75,31.16,1.5666666666666667
05-01-2020,806,22,271,535,2.73,33.62,1.0087609511889863
05-02-2020,823,22,336,487,2.67,40.83,1.021091811414392
05-03-2020,851,22,381,470,2.59,44.77,1.034021871202916
05-04-2020,855,26,403,452,3.04,47.13,1.0047003525264395
05-05-2020,856,26,490,366,3.04,57.24,1.001169590643275
05-06-2020,856,26,490,366,3.04,57.24,1.0
05-07-2020,861,27,562,299,3.14,65.27,1.0058411214953271
05-08-2020,861,27,562,299,3.14,65.27,1.0
05-09-2020,862,28,622,240,3.25,72.16,1.0011614401858304
05-10-2020,870,28,653,217,3.22,75.06,1.0092807424593968
05-11-2020,884,28,655,229,3.17,74.1,1.0160919540229885
05-12-2020,919,29,671,248,3.16,73.01,1.0395927601809956
05-13-2020,919,29,671,248,3.16,73.01,1.0
05-14-2020,944,29,690,254,3.07,73.09,1.0272034820457019
05-15-2020,944,29,690,254,3.07,73.09,1.0
05-16-2020,944,29,690,254,3.07,73.09,1.0
05-17-2020,955,29,691,264,3.04,72.36,1.0116525423728813
05-18-2020,955,29,691,264,3.04,72.36,1.0
05-19-2020,989,29,769,220,2.93,77.76,1.0356020942408377
05-20-2020,989,29,769,220,2.93,77.76,1.0
05-21-2020,1003,29,772,231,2.89,76.97,1.0141557128412537
05-22-2020,1004,29,772,232,2.89,76.89,1.0009970089730809
05-23-2020,1025,29,782,243,2.83,76.29,1.0209163346613546
05-24-2020,1032,29,785,247,2.81,76.07,1.006829268292683
05-25-2020,1038,30,791,247,2.89,76.2,1.005813953488372
05-26-2020,1038,30,791,247,2.89,76.2,1.0
05-27-2020,1047,30,794,253,2.87,75.84,1.0086705202312138
05-28-2020,1048,30,801,247,2.86,76.43,1.0009551098376313
05-29-2020,1048,30,801,247,2.86,76.43,1.0
05-30-2020,1064,30,829,235,2.82,77.91,1.015267175572519
05-31-2020,1064,30,829,235,2.82,77.91,1.0
06-01-2020,1064,30,829,235,2.82,77.91,1.0
06-02-2020,1064,30,829,235,2.82,77.91,1.0
06-03-2020,1142,30,871,271,2.63,76.27,1.0733082706766917
06-04-2020,1142,30,871,271,2.63,76.27,1.0
06-05-2020,1142,30,871,271,2.63,76.27,1.0
06-06-2020,1142,30,871,271,2.63,76.27,1.0
06-07-2020,1142,30,871,271,2.63,76.27,1.0
06-08-2020,1263,31,912,351,2.45,72.21,1.105954465849387
06-09-2020,1263,31,912,351,2.45,72.21,1.0
06-10-2020,1298,31,913,385,2.39,70.34,1.0277117973079968
06-11-2020,1326,31,921,405,2.34,69.46,1.0215716486902928
06-12-2020,1326,31,921,405,2.34,69.46,1.0
06-13-2020,1437,32,928,509,2.23,64.58,1.083710407239819
06-14-2020,1437,32,928,509,2.23,64.58,1.0
06-15-2020,1486,33,953,533,2.22,64.13,1.034098816979819
06-16-2020,1486,33,953,533,2.22,64.13,1.0
06-17-2020,1486,33,953,533,2.22,64.13,1.0
06-18-2020,1486,33,953,533,2.22,64.13,1.0
06-19-2020,1486,33,953,533,2.22,64.13,1.0
06-20-2020,1486,33,953,533,2.22,64.13,1.0
06-21-2020,1486,33,953,533,2.22,64.13,1.0
06-22-2020,2169,37,1047,1122,1.71,48.27,1.4596231493943472
06-23-2020,2169,37,1047,1122,1.71,48.27,1.0
06-24-2020,2169,37,1047,1122,1.71,48.27,1.0
06-25-2020,2169,37,1047,1122,1.71,48.27,1.0
06-26-2020,2169,37,1047,1122,1.71,48.27,1.0
06-27-2020,2169,37,1047,1122,1.71,48.27,1.0
06-28-2020,2169,37,1047,1122,1.71,48.27,1.0
06-29-2020,2677,49,1425,1252,1.83,53.23,1.2342093130474874
06-30-2020,2878,51,1577,1301,1.77,54.79,1.075084049308928
07-01-2020,2991,54,1644,1347,1.81,54.96,1.0392633773453788
07-02-2020,3064,55,1707,1357,1.8,55.71,1.0244065529923103
07-03-2020,3064,55,1707,1357,1.8,55.71,1.0
07-04-2020,3064,55,1707,1357,1.8,55.71,1.0
07-05-2020,3356,66,1874,1482,1.97,55.84,1.0953002610966058
07-06-2020,3508,75,1902,1606,2.14,54.22,1.0452920143027413
07-07-2020,3703,79,1946,1757,2.13,52.55,1.0555872291904218
07-08-2020,3886,82,2003,1883,2.11,51.54,1.04941938968404
07-09-2020,4100,86,2063,2037,2.1,50.32,1.0550694801852805
07-10-2020,4307,94,2095,2212,2.18,48.64,1.0504878048780488
07-11-2020,4715,101,2227,2488,2.14,47.23,1.0947295100998375
07-12-2020,4931,102,2267,2664,2.07,45.97,1.0458112407211029
07-13-2020,5118,108,2370,2748,2.11,46.31,1.0379233421212737
07-14-2020,5118,108,2370,2748,2.11,46.31,1.0
07-15-2020,5237,112,2462,2775,2.14,47.01,1.0232512700273544
