date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-18-2020,3,0,0,3,0.0,0.0,1
03-19-2020,3,0,0,3,0.0,0.0,1.0
03-20-2020,6,0,0,6,0.0,0.0,2.0
03-21-2020,14,0,0,14,0.0,0.0,2.333333333333333
03-22-2020,14,0,0,14,0.0,0.0,1.0
03-23-2020,16,0,0,16,0.0,0.0,1.1428571428571428
03-24-2020,42,0,0,42,0.0,0.0,2.625
03-25-2020,44,0,0,44,0.0,0.0,1.0476190476190477
03-26-2020,44,0,0,44,0.0,0.0,1.0
03-27-2020,58,0,0,58,0.0,0.0,1.3181818181818181
03-28-2020,58,0,0,58,0.0,0.0,1.0
03-29-2020,84,0,0,84,0.0,0.0,1.4482758620689655
03-30-2020,94,0,3,91,0.0,3.19,1.119047619047619
03-31-2020,107,0,3,104,0.0,2.8,1.1382978723404256
04-01-2020,111,0,3,108,0.0,2.7,1.0373831775700935
04-02-2020,116,0,5,111,0.0,4.31,1.045045045045045
04-03-2020,130,1,6,124,0.77,4.62,1.1206896551724137
04-04-2020,144,1,9,135,0.69,6.25,1.1076923076923078
04-05-2020,147,1,9,138,0.68,6.12,1.0208333333333333
04-06-2020,216,4,33,183,1.85,15.28,1.469387755102041
04-07-2020,228,4,33,195,1.75,14.47,1.0555555555555556
04-08-2020,270,4,33,237,1.48,12.22,1.1842105263157894
04-09-2020,280,4,35,245,1.43,12.5,1.037037037037037
04-10-2020,298,5,35,263,1.68,11.74,1.0642857142857143
04-11-2020,339,5,44,295,1.47,12.98,1.1375838926174497
04-12-2020,377,5,54,323,1.33,14.32,1.112094395280236
04-13-2020,419,5,67,352,1.19,15.99,1.1114058355437666
04-14-2020,430,5,71,359,1.16,16.51,1.026252983293556
04-15-2020,449,5,78,371,1.11,17.37,1.044186046511628
04-16-2020,466,5,91,375,1.07,19.53,1.0378619153674833
04-17-2020,489,5,114,375,1.02,23.31,1.0493562231759657
04-18-2020,506,5,130,376,0.99,25.69,1.034764826175869
04-19-2020,554,5,133,421,0.9,24.01,1.0948616600790513
04-20-2020,568,7,201,367,1.23,35.39,1.0252707581227436
04-21-2020,590,7,216,374,1.19,36.61,1.0387323943661972
04-22-2020,612,7,254,358,1.14,41.5,1.0372881355932204
04-23-2020,631,8,302,329,1.27,47.86,1.0310457516339868
04-24-2020,665,8,345,320,1.2,51.88,1.0538827258320127
04-25-2020,665,8,345,320,1.2,51.88,1.0
04-26-2020,682,8,370,312,1.17,54.25,1.025563909774436
04-27-2020,695,8,395,300,1.15,56.83,1.0190615835777126
04-28-2020,708,8,416,292,1.13,58.76,1.018705035971223
04-29-2020,729,8,437,292,1.1,59.95,1.0296610169491525
04-30-2020,746,8,462,284,1.07,61.93,1.0233196159122084
05-01-2020,756,8,504,252,1.06,66.67,1.0134048257372654
05-02-2020,769,8,527,242,1.04,68.53,1.0171957671957672
05-03-2020,795,10,564,231,1.26,70.94,1.033810143042913
05-04-2020,830,10,575,255,1.2,69.28,1.0440251572327044
05-05-2020,843,11,600,243,1.3,71.17,1.0156626506024096
05-06-2020,871,12,614,257,1.38,70.49,1.033214709371293
05-07-2020,895,12,637,258,1.34,71.17,1.0275545350172215
05-08-2020,906,12,650,256,1.32,71.74,1.012290502793296
05-09-2020,931,12,658,273,1.29,70.68,1.0275938189845475
05-10-2020,1002,12,675,327,1.2,67.37,1.0762620837808807
05-11-2020,1016,12,688,328,1.18,67.72,1.0139720558882235
05-12-2020,1037,12,709,328,1.16,68.37,1.0206692913385826
05-13-2020,1044,12,726,318,1.15,69.54,1.0067502410800386
05-14-2020,1082,12,735,347,1.11,67.93,1.0363984674329503
