date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-02-2020,1,0,0,1,0,0,1
03-03-2020,1,0,0,1,0,0,1.0
03-04-2020,1,0,0,1,0,0,1.0
03-05-2020,1,0,0,1,0,0,1.0
03-06-2020,1,0,0,1,0,0,1.0
03-07-2020,1,0,0,1,0,0,1.0
03-08-2020,2,0,0,2,0,0,2.0
03-09-2020,6,0,0,6,0,0,3.0
03-10-2020,8,0,1,7,0,12.5,1.3333333333333333
03-11-2020,10,0,1,9,0,10.0,1.25
03-12-2020,10,0,1,9,0,10.0,1.0
03-13-2020,17,0,1,16,0,5.88,1.7
03-14-2020,26,0,1,25,0,3.85,1.5294117647058822
03-15-2020,30,0,1,29,0,3.33,1.1538461538461537
03-16-2020,34,0,1,33,0,2.94,1.1333333333333333
03-17-2020,49,0,1,48,0,2.04,1.4411764705882353
03-18-2020,71,0,1,70,0,1.41,1.4489795918367347
03-19-2020,86,0,1,85,0,1.16,1.2112676056338028
03-20-2020,111,0,1,110,0,0.9,1.2906976744186047
03-21-2020,124,0,1,123,0,0.81,1.117117117117117
03-22-2020,139,0,1,138,0,0.72,1.120967741935484
03-23-2020,180,0,1,179,0,0.56,1.2949640287769784
03-24-2020,197,0,1,196,0,0.51,1.0944444444444446
03-25-2020,221,0,1,220,0,0.45,1.1218274111675126
03-26-2020,244,0,1,243,0,0.41,1.1040723981900453
03-27-2020,280,0,1,279,0,0.36,1.1475409836065573
03-28-2020,305,0,1,304,0,0.33,1.0892857142857142
03-29-2020,347,0,1,346,0,0.29,1.137704918032787
03-30-2020,376,0,1,375,0,0.27,1.0835734870317002
03-31-2020,398,0,1,397,0,0.25,1.0585106382978724
04-01-2020,446,0,1,445,0,0.22,1.120603015075377
04-02-2020,458,0,31,427,0,6.77,1.0269058295964126
04-03-2020,493,1,1,492,0.2,0.2,1.0764192139737991
04-04-2020,509,1,1,508,0.2,0.2,1.0324543610547667
04-05-2020,533,1,1,532,0.19,0.19,1.0471512770137525
04-06-2020,542,1,16,526,0.18,2.95,1.0168855534709194
04-07-2020,548,2,16,532,0.36,2.92,1.011070110701107
04-08-2020,577,2,16,561,0.35,2.77,1.052919708029197
04-09-2020,589,3,16,573,0.51,2.72,1.0207972270363952
04-10-2020,612,3,16,596,0.49,2.61,1.0390492359932089
04-11-2020,630,3,16,614,0.48,2.54,1.0294117647058822
04-12-2020,651,5,16,635,0.77,2.46,1.0333333333333334
04-13-2020,655,5,16,639,0.76,2.44,1.0061443932411673
04-14-2020,657,5,16,641,0.76,2.44,1.0030534351145037
04-15-2020,666,5,44,622,0.75,6.61,1.0136986301369864
04-16-2020,675,5,57,618,0.74,8.44,1.0135135135135136
04-17-2020,682,5,88,594,0.73,12.9,1.0103703703703704
04-18-2020,712,5,88,624,0.7,12.36,1.0439882697947214
04-19-2020,727,5,88,639,0.69,12.1,1.021067415730337
04-20-2020,739,5,88,651,0.68,11.91,1.016506189821183
04-21-2020,748,9,133,615,1.2,17.78,1.0121786197564275
04-22-2020,761,11,133,628,1.45,17.48,1.017379679144385
04-23-2020,778,11,133,645,1.41,17.1,1.0223390275952693
04-24-2020,784,12,267,517,1.53,34.06,1.0077120822622108
04-25-2020,804,12,267,537,1.49,33.21,1.0255102040816326
04-26-2020,812,12,267,545,1.48,32.88,1.0099502487562189
04-27-2020,818,13,267,551,1.59,32.64,1.0073891625615763
04-28-2020,836,13,267,569,1.56,31.94,1.02200488997555
04-29-2020,849,15,348,501,1.77,40.99,1.0155502392344498
04-30-2020,858,15,348,510,1.75,40.56,1.010600706713781
05-01-2020,870,16,348,522,1.84,40.0,1.013986013986014
05-02-2020,871,16,348,523,1.84,39.95,1.0011494252873563
05-03-2020,879,16,348,531,1.82,39.59,1.0091848450057406
05-04-2020,896,16,348,548,1.79,38.84,1.0193401592718998
05-05-2020,896,17,348,548,1.9,38.84,1.0
