date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-21-2020,1,0,0,1,0,0,1
02-22-2020,1,0,0,1,0,0,1.0
02-23-2020,1,0,0,1,0,0,1.0
02-24-2020,1,0,0,1,0,0,1.0
02-25-2020,1,0,0,1,0,0,1.0
02-26-2020,2,0,0,2,0,0,2.0
02-27-2020,2,0,0,2,0,0,1.0
02-28-2020,2,0,0,2,0,0,1.0
02-29-2020,4,0,0,4,0,0,2.0
03-01-2020,10,0,0,10,0,0,2.5
03-02-2020,13,0,0,13,0,0,1.3
03-03-2020,13,0,0,13,0,0,1.0
03-04-2020,13,0,1,12,0,7.69,1.0
03-05-2020,16,0,1,15,0,6.25,1.2307692307692308
03-06-2020,22,0,1,21,0,4.55,1.375
03-07-2020,22,0,1,21,0,4.55,1.0
03-08-2020,32,0,1,31,0,3.13,1.4545454545454546
03-09-2020,32,0,1,31,0,3.13,1.0
03-10-2020,41,1,1,40,2.44,2.44,1.28125
03-11-2020,61,3,1,60,4.92,1.64,1.4878048780487805
03-12-2020,61,3,1,60,4.92,1.64,1.0
03-13-2020,77,3,1,76,3.9,1.3,1.2622950819672132
03-14-2020,93,3,1,92,3.23,1.08,1.2077922077922079
03-15-2020,110,3,1,109,2.73,0.91,1.1827956989247312
03-16-2020,99,3,1,98,3.03,1.01,1.1
03-17-2020,120,3,3,117,2.5,2.5,1.2121212121212122
03-18-2020,133,3,3,130,2.26,2.26,1.1083333333333334
03-19-2020,157,4,4,153,2.55,2.55,1.1804511278195489
03-20-2020,163,4,4,159,2.45,2.45,1.0382165605095541
03-21-2020,187,4,4,183,2.14,2.14,1.147239263803681
03-22-2020,248,4,8,240,1.61,3.23,1.3262032085561497
03-23-2020,267,4,8,259,1.5,3.0,1.0766129032258065
03-24-2020,318,4,8,310,1.26,2.52,1.1910112359550562
03-25-2020,333,6,20,313,1.8,6.01,1.0471698113207548
03-26-2020,368,6,23,345,1.63,6.25,1.105105105105105
03-27-2020,391,8,27,364,2.05,6.91,1.0625
03-28-2020,412,8,30,382,1.94,7.28,1.0537084398976981
03-29-2020,438,10,30,408,2.28,6.85,1.0631067961165048
03-30-2020,446,11,35,411,2.47,7.85,1.0182648401826484
03-31-2020,470,12,37,433,2.55,7.87,1.053811659192825
04-01-2020,479,14,43,436,2.92,8.98,1.0191489361702128
04-02-2020,494,16,46,448,3.24,9.31,1.0313152400835073
04-03-2020,508,17,50,458,3.35,9.84,1.0283400809716599
04-04-2020,520,17,54,466,3.27,10.38,1.0236220472440944
04-05-2020,527,18,54,473,3.42,10.25,1.0134615384615384
04-06-2020,541,19,60,481,3.51,11.09,1.0265654648956357
04-07-2020,548,19,62,486,3.47,11.31,1.0129390018484288
04-08-2020,576,19,62,514,3.3,10.76,1.051094890510949
04-09-2020,582,19,67,515,3.26,11.51,1.0104166666666667
04-10-2020,609,20,76,533,3.28,12.48,1.0463917525773196
04-11-2020,619,20,77,542,3.23,12.44,1.0164203612479474
04-12-2020,630,20,80,550,3.17,12.7,1.0177705977382876
04-13-2020,632,20,80,552,3.16,12.66,1.0031746031746032
04-14-2020,641,21,80,561,3.28,12.48,1.014240506329114
04-15-2020,658,21,85,573,3.19,12.92,1.0265210608424338
04-16-2020,663,21,86,577,3.17,12.97,1.0075987841945289
04-17-2020,668,21,86,582,3.14,12.87,1.0075414781297134
04-18-2020,672,21,99,573,3.13,14.73,1.0059880239520957
04-19-2020,673,21,102,571,3.12,15.16,1.0014880952380953
04-20-2020,677,21,103,574,3.1,15.21,1.0059435364041605
04-21-2020,677,21,108,569,3.1,15.95,1.0
04-22-2020,682,22,113,569,3.23,16.57,1.0073855243722305
04-23-2020,688,22,140,548,3.2,20.35,1.0087976539589443
04-24-2020,696,22,140,556,3.16,20.11,1.0116279069767442
04-25-2020,704,24,143,561,3.41,20.31,1.0114942528735633
04-26-2020,707,24,145,562,3.39,20.51,1.0042613636363635
04-27-2020,710,24,145,565,3.38,20.42,1.0042432814710043
04-28-2020,717,24,145,572,3.35,20.22,1.0098591549295775
04-29-2020,721,24,150,571,3.33,20.8,1.00557880055788
04-30-2020,725,24,150,575,3.31,20.69,1.0055478502080444
05-01-2020,729,24,192,537,3.29,26.34,1.0055172413793103
05-02-2020,733,25,197,536,3.41,26.88,1.0054869684499315
05-03-2020,737,25,200,537,3.39,27.14,1.005457025920873
05-04-2020,740,25,200,540,3.38,27.03,1.0040705563093624
05-05-2020,741,25,206,535,3.37,27.8,1.0013513513513514
05-06-2020,750,25,206,544,3.33,27.47,1.0121457489878543
05-07-2020,784,25,220,564,3.19,28.06,1.0453333333333332
05-08-2020,796,26,223,573,3.27,28.02,1.0153061224489797
05-09-2020,809,26,234,575,3.21,28.92,1.0163316582914572
05-10-2020,845,26,234,611,3.08,27.69,1.0444993819530284
05-11-2020,859,26,234,625,3.03,27.24,1.016568047337278
05-12-2020,870,26,234,636,2.99,26.9,1.0128055878928988
05-13-2020,878,26,236,642,2.96,26.88,1.0091954022988505
05-14-2020,886,26,236,650,2.93,26.64,1.0091116173120729
05-15-2020,891,26,246,645,2.92,27.61,1.0056433408577878
05-16-2020,902,26,247,655,2.88,27.38,1.0123456790123457
05-17-2020,911,26,247,664,2.85,27.11,1.0099778270509978
05-18-2020,931,26,251,680,2.79,26.96,1.021953896816685
05-19-2020,954,26,251,703,2.73,26.31,1.0247046186895812
05-20-2020,961,26,251,710,2.71,26.12,1.0073375262054507
05-21-2020,1024,26,663,361,2.54,64.75,1.065556711758585
05-22-2020,1086,26,663,423,2.39,61.05,1.060546875
05-23-2020,1097,26,667,430,2.37,60.8,1.0101289134438305
05-24-2020,1114,26,688,426,2.33,61.76,1.015496809480401
05-25-2020,1119,26,688,431,2.32,61.48,1.0044883303411132
05-26-2020,1140,26,689,451,2.28,60.44,1.0187667560321716
05-27-2020,1161,26,692,469,2.24,59.6,1.018421052631579
05-28-2020,1168,26,699,469,2.23,59.85,1.0060292850990527
05-29-2020,1172,26,705,467,2.22,60.15,1.0034246575342465
05-30-2020,1191,26,708,483,2.18,59.45,1.016211604095563
05-31-2020,1220,27,712,508,2.21,58.36,1.0243492863140218
06-01-2020,1233,27,715,518,2.19,57.99,1.0106557377049181
06-02-2020,1242,27,719,523,2.17,57.89,1.0072992700729928
06-03-2020,1256,27,724,532,2.15,57.64,1.0112721417069244
06-04-2020,1306,28,731,575,2.14,55.97,1.0398089171974523
06-05-2020,1312,28,768,544,2.13,58.54,1.004594180704441
06-06-2020,1320,29,768,552,2.2,58.18,1.0060975609756098
06-07-2020,1331,30,768,563,2.25,57.7,1.0083333333333333
06-08-2020,1350,30,779,571,2.22,57.7,1.01427498121713
06-09-2020,1368,30,795,573,2.19,58.11,1.0133333333333334
06-10-2020,1388,30,832,556,2.16,59.94,1.0146198830409356
