date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
05-13-2020,1,0,0,1,0.0,0.0,1
05-14-2020,1,0,0,1,0.0,0.0,1.0
05-15-2020,1,0,0,1,0.0,0.0,1.0
05-16-2020,1,0,0,1,0.0,0.0,1.0
05-17-2020,1,0,0,1,0.0,0.0,1.0
05-18-2020,1,0,0,1,0.0,0.0,1.0
05-19-2020,1,0,0,1,0.0,0.0,1.0
05-20-2020,1,0,0,1,0.0,0.0,1.0
05-21-2020,1,0,0,1,0.0,0.0,1.0
05-22-2020,2,0,0,2,0.0,0.0,2.0
05-23-2020,2,0,0,2,0.0,0.0,1.0
05-24-2020,2,0,0,2,0.0,0.0,1.0
05-25-2020,2,0,0,2,0.0,0.0,1.0
05-26-2020,2,0,0,2,0.0,0.0,1.0
05-27-2020,2,0,0,2,0.0,0.0,1.0
05-28-2020,2,0,1,1,0.0,50.0,1.0
05-29-2020,2,0,1,1,0.0,50.0,1.0
05-30-2020,2,0,1,1,0.0,50.0,1.0
05-31-2020,2,0,1,1,0.0,50.0,1.0
06-01-2020,2,0,1,1,0.0,50.0,1.0
06-02-2020,2,0,1,1,0.0,50.0,1.0
06-03-2020,4,0,2,2,0.0,50.0,2.0
06-04-2020,4,0,2,2,0.0,50.0,1.0
06-05-2020,4,0,2,2,0.0,50.0,1.0
06-06-2020,4,0,2,2,0.0,50.0,1.0
06-07-2020,4,0,2,2,0.0,50.0,1.0
06-08-2020,4,0,2,2,0.0,50.0,1.0
06-09-2020,4,0,2,2,0.0,50.0,1.0
06-10-2020,4,0,2,2,0.0,50.0,1.0
06-11-2020,4,0,2,2,0.0,50.0,1.0
06-12-2020,4,0,2,2,0.0,50.0,1.0
06-13-2020,4,0,2,2,0.0,50.0,1.0
06-14-2020,4,0,2,2,0.0,50.0,1.0
06-15-2020,4,0,2,2,0.0,50.0,1.0
06-16-2020,4,0,2,2,0.0,50.0,1.0
06-17-2020,4,0,2,2,0.0,50.0,1.0
06-18-2020,4,0,2,2,0.0,50.0,1.0
06-19-2020,4,0,2,2,0.0,50.0,1.0
06-20-2020,4,0,2,2,0.0,50.0,1.0
06-21-2020,4,0,2,2,0.0,50.0,1.0
06-22-2020,12,0,2,10,0.0,16.67,3.0
06-23-2020,17,0,2,15,0.0,11.76,1.4166666666666667
06-24-2020,17,0,2,15,0.0,11.76,1.0
06-25-2020,17,0,2,15,0.0,11.76,1.0
06-26-2020,24,0,4,20,0.0,16.67,1.4117647058823528
06-27-2020,24,0,4,20,0.0,16.67,1.0
06-28-2020,27,0,4,23,0.0,14.81,1.125
06-29-2020,27,0,4,23,0.0,14.81,1.0
06-30-2020,27,0,4,23,0.0,14.81,1.0
07-01-2020,35,0,11,24,0.0,31.43,1.2962962962962963
07-02-2020,35,0,11,24,0.0,31.43,1.0
07-03-2020,35,0,11,24,0.0,31.43,1.0
07-04-2020,35,0,11,24,0.0,31.43,1.0
07-05-2020,79,0,11,68,0.0,13.92,2.257142857142857
07-06-2020,91,0,11,80,0.0,12.09,1.1518987341772151
07-07-2020,91,0,11,80,0.0,12.09,1.0
07-08-2020,91,0,11,80,0.0,12.09,1.0
07-09-2020,134,1,20,114,0.75,14.93,1.4725274725274726
07-10-2020,184,1,26,158,0.54,14.13,1.373134328358209
07-11-2020,184,1,26,158,0.54,14.13,1.0
07-12-2020,233,2,32,201,0.86,13.73,1.266304347826087
07-13-2020,245,3,33,212,1.22,13.47,1.0515021459227467
07-14-2020,256,3,48,208,1.17,18.75,1.0448979591836736
07-15-2020,256,3,48,208,1.17,18.75,1.0
07-16-2020,256,3,48,208,1.17,18.75,1.0
07-17-2020,311,6,69,242,1.93,22.19,1.21484375
07-18-2020,359,6,69,290,1.67,19.22,1.1543408360128617
07-19-2020,359,6,69,290,1.67,19.22,1.0
07-20-2020,359,6,69,290,1.67,19.22,1.0
07-21-2020,359,6,69,290,1.67,19.22,1.0
07-22-2020,359,6,69,290,1.67,19.22,1.0
07-23-2020,359,6,69,290,1.67,19.22,1.0
07-24-2020,359,6,69,290,1.67,19.22,1.0
07-25-2020,419,9,69,350,2.15,16.47,1.1671309192200556
07-26-2020,505,12,128,377,2.38,25.35,1.2052505966587113
07-27-2020,505,12,128,377,2.38,25.35,1.0
07-28-2020,505,12,128,377,2.38,25.35,1.0
07-29-2020,576,13,141,435,2.26,24.48,1.1405940594059407
07-30-2020,604,13,144,460,2.15,23.84,1.0486111111111112
07-31-2020,604,13,144,460,2.15,23.84,1.0
08-01-2020,702,14,171,531,1.99,24.36,1.1622516556291391
08-02-2020,718,19,173,545,2.65,24.09,1.0227920227920229
08-03-2020,718,19,173,545,2.65,24.09,1.0
08-04-2020,726,21,174,552,2.89,23.97,1.011142061281337
08-05-2020,726,21,174,552,2.89,23.97,1.0
08-06-2020,742,23,175,567,3.1,23.58,1.022038567493113
08-07-2020,742,23,175,567,3.1,23.58,1.0
