date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-04-2020,1,0,0,1,0.0,0.0,0
03-05-2020,1,0,0,1,0.0,0.0,0.0
03-06-2020,1,0,0,1,0.0,0.0,0.0
03-07-2020,1,0,0,1,0.0,0.0,0.0
03-08-2020,1,0,0,1,0.0,0.0,0.0
03-09-2020,1,0,0,1,0.0,0.0,0.0
03-10-2020,1,0,0,1,0.0,0.0,0.0
03-11-2020,1,0,0,1,0.0,0.0,0.0
03-12-2020,1,0,0,1,0.0,0.0,0.0
03-13-2020,1,0,0,1,0.0,0.0,0.0
03-14-2020,4,0,0,4,0.0,0.0,3.0
03-15-2020,4,0,0,4,0.0,0.0,0.0
03-16-2020,4,0,0,4,0.0,0.0,0.0
03-17-2020,7,0,0,7,0.0,0.0,0.75
03-18-2020,28,0,0,28,0.0,0.0,3.0
03-19-2020,28,0,0,28,0.0,0.0,0.0
03-20-2020,28,0,0,28,0.0,0.0,0.0
03-21-2020,37,0,0,37,0.0,0.0,0.32142857142857145
03-22-2020,37,0,0,37,0.0,0.0,0.0
03-23-2020,51,0,0,51,0.0,0.0,0.3783783783783784
03-24-2020,51,0,0,51,0.0,0.0,0.0
03-25-2020,51,0,0,51,0.0,0.0,0.0
03-26-2020,56,0,0,56,0.0,0.0,0.09803921568627451
03-27-2020,56,0,0,56,0.0,0.0,0.0
03-28-2020,56,0,0,56,0.0,0.0,0.0
03-29-2020,56,0,0,56,0.0,0.0,0.0
03-30-2020,62,0,0,62,0.0,0.0,0.10714285714285714
03-31-2020,68,0,0,68,0.0,0.0,0.0967741935483871
04-01-2020,68,0,0,68,0.0,0.0,0.0
04-02-2020,75,0,0,75,0.0,0.0,0.10294117647058823
04-03-2020,75,0,0,75,0.0,0.0,0.0
04-04-2020,77,1,0,77,1.3,0.0,0.02666666666666667
04-05-2020,77,1,0,77,1.3,0.0,0.0
04-06-2020,77,1,55,22,1.3,71.43,0.0
04-07-2020,78,1,55,23,1.28,70.51,0.012987012987012988
04-08-2020,78,1,55,23,1.28,70.51,0.0
04-09-2020,78,1,55,23,1.28,70.51,0.0
04-10-2020,79,1,55,24,1.27,69.62,0.01282051282051282
04-11-2020,79,1,55,24,1.27,69.62,0.0
04-12-2020,79,1,55,24,1.27,69.62,0.0
04-13-2020,79,1,55,24,1.27,69.62,0.0
04-14-2020,79,1,55,24,1.27,69.62,0.0
04-15-2020,79,1,55,24,1.27,69.62,0.0
