date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
04-02-2020,3,0,0,3,0.0,0.0,1
04-03-2020,3,0,0,3,0.0,0.0,1.0
04-04-2020,4,0,0,4,0.0,0.0,1.3333333333333333
04-05-2020,4,0,0,4,0.0,0.0,1.0
04-06-2020,5,0,0,5,0.0,0.0,1.25
04-07-2020,8,1,0,8,12.5,0.0,1.6
04-08-2020,8,1,0,8,12.5,0.0,1.0
04-09-2020,8,1,0,8,12.5,0.0,1.0
04-10-2020,9,1,0,9,11.11,0.0,1.125
04-11-2020,12,2,0,12,16.67,0.0,1.3333333333333333
04-12-2020,13,2,0,13,15.38,0.0,1.0833333333333333
04-13-2020,16,2,0,16,12.5,0.0,1.2307692307692308
04-14-2020,16,2,0,16,12.5,0.0,1.0
04-15-2020,16,2,0,16,12.5,0.0,1.0
04-16-2020,16,2,0,16,12.5,0.0,1.0
04-17-2020,17,2,3,14,11.76,17.65,1.0625
04-18-2020,17,2,3,14,11.76,17.65,1.0
04-19-2020,17,2,3,14,11.76,17.65,1.0
04-20-2020,17,2,3,14,11.76,17.65,1.0
04-21-2020,18,2,3,15,11.11,16.67,1.0588235294117647
04-22-2020,23,3,3,20,13.04,13.04,1.2777777777777777
04-23-2020,33,3,3,30,9.09,9.09,1.434782608695652
04-24-2020,33,3,4,29,9.09,12.12,1.0
04-25-2020,33,3,4,29,9.09,12.12,1.0
04-26-2020,34,3,4,30,8.82,11.76,1.0303030303030303
04-27-2020,36,3,4,32,8.33,11.11,1.0588235294117647
04-28-2020,36,3,5,31,8.33,13.89,1.0
04-29-2020,36,3,7,29,8.33,19.44,1.0
04-30-2020,37,3,7,30,8.11,18.92,1.0277777777777777
05-01-2020,37,3,9,28,8.11,24.32,1.0
05-02-2020,38,3,9,29,7.89,23.68,1.027027027027027
05-03-2020,39,3,9,30,7.69,23.08,1.0263157894736843
05-04-2020,41,3,9,32,7.32,21.95,1.0512820512820513
05-05-2020,41,3,9,32,7.32,21.95,1.0
05-06-2020,43,3,9,34,6.98,20.93,1.048780487804878
05-07-2020,43,3,14,29,6.98,32.56,1.0
05-08-2020,43,3,14,29,6.98,32.56,1.0
05-09-2020,56,3,14,42,5.36,25.0,1.302325581395349
05-10-2020,56,3,14,42,5.36,25.0,1.0
05-11-2020,57,3,24,33,5.26,42.11,1.0178571428571428
05-12-2020,57,3,24,33,5.26,42.11,1.0
05-13-2020,63,3,24,39,4.76,38.1,1.1052631578947367
05-14-2020,63,3,24,39,4.76,38.1,1.0
05-15-2020,63,3,24,39,4.76,38.1,1.0
05-16-2020,65,3,24,41,4.62,36.92,1.0317460317460316
05-17-2020,70,3,27,43,4.29,38.57,1.0769230769230769
05-18-2020,70,3,27,43,4.29,38.57,1.0
05-19-2020,70,3,27,43,4.29,38.57,1.0
