date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
10-28-2020,2,0,0,2,0.0,0.0,1
10-29-2020,2,0,0,2,0.0,0.0,1.0
10-30-2020,2,0,0,2,0.0,0.0,1.0
10-31-2020,2,0,0,2,0.0,0.0,1.0
11-01-2020,2,0,0,2,0.0,0.0,1.0
11-02-2020,2,0,0,2,0.0,0.0,1.0
11-03-2020,2,0,0,2,0.0,0.0,1.0
11-04-2020,2,0,0,2,0.0,0.0,1.0
11-05-2020,1,0,0,1,0.0,0.0,1.5
11-06-2020,1,0,0,1,0.0,0.0,1.0
11-07-2020,1,0,0,1,0.0,0.0,1.0
11-08-2020,1,0,0,1,0.0,0.0,1.0
11-09-2020,1,0,0,1,0.0,0.0,1.0
11-10-2020,1,0,0,1,0.0,0.0,1.0
11-11-2020,1,0,0,1,0.0,0.0,1.0
11-12-2020,1,0,0,1,0.0,0.0,1.0
11-13-2020,1,0,1,0,0.0,100.0,1.0
11-14-2020,1,0,1,0,0.0,100.0,1.0
11-15-2020,1,0,1,0,0.0,100.0,1.0
11-16-2020,1,0,1,0,0.0,100.0,1.0
11-17-2020,4,0,1,3,0.0,25.0,4.0
11-18-2020,4,0,1,3,0.0,25.0,1.0
