date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-23-2020,0,0,0,0,NaN,NaN,1
02-28-2020,1,0,0,1,0.0,0.0,1
02-29-2020,4,0,0,4,0.0,0.0,4.0
03-01-2020,5,0,0,5,0.0,0.0,1.25
03-02-2020,5,0,0,5,0.0,0.0,1.0
03-03-2020,5,0,1,4,0.0,20.0,1.0
03-04-2020,5,0,1,4,0.0,20.0,1.0
03-05-2020,5,0,1,4,0.0,20.0,1.0
03-06-2020,6,0,1,5,0.0,16.67,1.2
03-07-2020,6,0,1,5,0.0,16.67,1.0
03-08-2020,7,0,1,6,0.0,14.29,1.1666666666666667
03-09-2020,7,0,1,6,0.0,14.29,1.0
03-10-2020,7,0,4,3,0.0,57.14,1.0
03-11-2020,8,0,4,4,0.0,50.0,1.1428571428571428
03-12-2020,12,0,4,8,0.0,33.33,1.5
03-13-2020,12,0,4,8,0.0,33.33,1.0
03-14-2020,26,0,4,22,0.0,15.38,2.166666666666667
03-15-2020,41,0,4,37,0.0,9.76,1.5769230769230769
03-16-2020,53,0,4,49,0.0,7.55,1.2926829268292683
03-17-2020,82,0,4,78,0.0,4.88,1.5471698113207548
03-18-2020,93,0,4,89,0.0,4.3,1.1341463414634148
03-19-2020,118,1,4,114,0.85,3.39,1.2688172043010753
03-20-2020,164,1,4,160,0.61,2.44,1.3898305084745763
03-21-2020,203,2,4,199,0.99,1.97,1.2378048780487805
03-22-2020,251,2,4,247,0.8,1.59,1.2364532019704433
03-23-2020,316,3,4,312,0.95,1.27,1.2589641434262948
03-24-2020,367,4,4,363,1.09,1.09,1.1613924050632911
03-25-2020,405,5,4,401,1.23,0.99,1.103542234332425
03-26-2020,475,6,4,471,1.26,0.84,1.1728395061728394
03-27-2020,585,8,4,581,1.37,0.68,1.231578947368421
03-28-2020,717,12,4,713,1.67,0.56,1.2256410256410257
03-29-2020,848,16,4,844,1.89,0.47,1.1827057182705718
03-30-2020,993,20,35,958,2.01,3.52,1.1709905660377358
03-31-2020,1094,28,35,1059,2.56,3.2,1.1017119838872105
04-01-2020,1215,29,35,1180,2.39,2.88,1.1106032906764167
04-02-2020,1378,37,35,1343,2.69,2.54,1.134156378600823
04-03-2020,1510,50,633,877,3.31,41.92,1.0957910014513788
04-04-2020,1688,60,633,1055,3.55,37.5,1.1178807947019869
04-05-2020,1890,79,633,1257,4.18,33.49,1.1196682464454977
04-06-2020,2143,94,633,1510,4.39,29.54,1.133862433862434
04-07-2020,2439,125,633,1806,5.13,25.95,1.1381241250583294
04-08-2020,2785,141,633,2152,5.06,22.73,1.1418614186141862
04-09-2020,3181,174,633,2548,5.47,19.9,1.1421903052064633
04-10-2020,3441,194,633,2808,5.64,18.4,1.081735303363722
04-11-2020,3844,233,633,3211,6.06,16.47,1.117117117117117
04-12-2020,4219,273,1772,2447,6.47,42.0,1.097554630593132
04-13-2020,4661,296,1843,2818,6.35,39.54,1.104764162123726
04-14-2020,5014,332,1964,3050,6.62,39.17,1.075734820853894
04-15-2020,5399,406,2125,3274,7.52,39.36,1.0767850019944156
04-16-2020,5847,449,2125,3722,7.68,36.34,1.0829783293202444
04-17-2020,6297,486,2125,4172,7.72,33.75,1.076962544894818
04-18-2020,6875,546,2125,4750,7.94,30.91,1.0917897411465778
04-19-2020,7497,650,2627,4870,8.67,35.04,1.0904727272727273
04-20-2020,8261,686,2627,5634,8.3,31.8,1.101907429638522
04-21-2020,8772,712,2627,6145,8.12,29.95,1.0618569180486623
04-22-2020,9501,857,2627,6874,9.02,27.65,1.0831053351573188
04-23-2020,11633,1069,2627,9006,9.19,22.58,1.224397431849279
04-24-2020,12872,1221,7149,5723,9.49,55.54,1.106507349780796
04-25-2020,13842,1305,7149,6693,9.43,51.65,1.0753573648228714
04-26-2020,14677,1351,8354,6323,9.2,56.92,1.0603236526513509
04-27-2020,15529,1434,9086,6443,9.23,58.51,1.0580500102200723
04-28-2020,16752,1569,11423,5329,9.37,68.19,1.0787558761027753
