date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-08-2020,1,0,0,1,0.0,0.0,1
03-09-2020,1,0,0,1,0.0,0.0,1.0
03-11-2020,3,0,0,3,0.0,0.0,1
03-12-2020,3,0,0,3,0.0,0.0,1.0
03-13-2020,6,0,0,6,0.0,0.0,2.0
03-14-2020,12,0,0,12,0.0,0.0,2.0
03-15-2020,23,0,0,23,0.0,0.0,1.9166666666666665
03-16-2020,23,0,0,23,0.0,0.0,1.0
03-17-2020,30,0,1,29,0.0,3.33,1.3043478260869565
03-18-2020,30,1,1,29,3.33,3.33,1.0
03-19-2020,49,1,1,48,2.04,2.04,1.6333333333333333
03-20-2020,66,1,1,65,1.52,1.52,1.346938775510204
03-21-2020,80,1,1,79,1.25,1.25,1.2121212121212122
03-22-2020,94,1,1,93,1.06,1.06,1.175
03-23-2020,109,1,2,107,0.92,1.83,1.1595744680851063
03-24-2020,125,1,2,123,0.8,1.6,1.146788990825688
03-25-2020,149,1,2,147,0.67,1.34,1.192
03-26-2020,177,1,2,175,0.56,1.13,1.1879194630872483
03-27-2020,199,2,2,197,1.01,1.01,1.1242937853107344
03-28-2020,231,2,2,229,0.87,0.87,1.1608040201005025
03-29-2020,263,2,2,261,0.76,0.76,1.1385281385281385
03-30-2020,298,2,15,283,0.67,5.03,1.1330798479087452
03-31-2020,353,4,18,335,1.13,5.1,1.1845637583892619
04-01-2020,423,5,23,400,1.18,5.44,1.198300283286119
04-02-2020,505,6,23,482,1.19,4.55,1.1938534278959811
04-03-2020,591,8,26,565,1.35,4.4,1.1702970297029702
04-04-2020,752,12,29,723,1.6,3.86,1.272419627749577
04-05-2020,864,15,30,834,1.74,3.47,1.148936170212766
04-06-2020,965,19,37,928,1.97,3.83,1.1168981481481481
04-07-2020,1056,22,40,1016,2.08,3.79,1.094300518134715
04-08-2020,1174,27,40,1134,2.3,3.41,1.1117424242424243
04-09-2020,1289,29,50,1239,2.25,3.88,1.0979557069846677
04-10-2020,1438,29,56,1382,2.02,3.89,1.1155934833204033
04-11-2020,1560,30,75,1485,1.92,4.81,1.0848400556328233
04-12-2020,1662,31,94,1568,1.87,5.66,1.0653846153846154
04-13-2020,1712,35,107,1605,2.04,6.25,1.0300842358604092
04-14-2020,1934,40,134,1800,2.07,6.93,1.1296728971962617
04-15-2020,2049,46,171,1878,2.24,8.35,1.0594622543950363
04-16-2020,2154,54,235,1919,2.51,10.91,1.0512445095168375
04-17-2020,2264,56,276,1988,2.47,12.19,1.0510677808727948
04-18-2020,2378,57,391,1987,2.4,16.44,1.0503533568904593
04-19-2020,2472,67,457,2015,2.71,18.49,1.039529015979815
04-20-2020,2548,70,457,2091,2.75,17.94,1.0307443365695792
04-21-2020,2614,72,505,2109,2.75,19.32,1.0259026687598116
04-22-2020,2778,75,560,2218,2.7,20.16,1.0627390971690895
04-23-2020,2926,80,661,2265,2.73,22.59,1.0532757379409647
04-24-2020,3110,84,755,2355,2.7,24.28,1.0628844839371154
04-25-2020,3304,94,825,2479,2.85,24.97,1.062379421221865
04-26-2020,3408,96,895,2513,2.82,26.26,1.0314769975786926
04-27-2020,3481,102,925,2556,2.93,26.57,1.0214201877934272
04-28-2020,3638,103,975,2663,2.83,26.8,1.0451019821890262
04-29-2020,3771,111,1114,2657,2.94,29.54,1.0365585486531061
04-30-2020,3897,116,1182,2715,2.98,30.33,1.0334128878281623
05-01-2020,3980,122,1272,2708,3.07,31.96,1.0212984346933538
05-02-2020,4052,124,1334,2718,3.06,32.92,1.0180904522613066
05-03-2020,4121,125,1382,2739,3.03,33.54,1.0170286278381047
05-04-2020,4248,132,1423,2825,3.11,33.5,1.0308177626789614
05-05-2020,4363,136,1544,2819,3.12,35.39,1.0270715630885123
05-06-2020,4476,143,1658,2818,3.19,37.04,1.0258996103598441
05-07-2020,4605,145,1747,2858,3.15,37.94,1.0288203753351206
05-08-2020,4728,150,1826,2902,3.17,38.62,1.0267100977198698
05-09-2020,4867,161,1925,2942,3.31,39.55,1.029399323181049
05-10-2020,4927,169,1958,2969,3.43,39.74,1.0123279227450175
05-11-2020,4995,175,1980,3015,3.5,39.64,1.013801501928151
05-12-2020,5154,182,2069,3085,3.53,40.14,1.0318318318318318
05-13-2020,5406,185,2176,3230,3.42,40.25,1.048894062863795
05-14-2020,5553,194,2228,3325,3.49,40.12,1.0271920088790234
05-15-2020,5745,202,2228,3517,3.52,38.78,1.0345759049162615
05-16-2020,5934,207,2344,3590,3.49,39.5,1.0328981723237598
05-17-2020,6060,211,2344,3716,3.48,38.68,1.0212335692618806
05-18-2020,6138,217,2425,3713,3.54,39.51,1.0128712871287129
05-19-2020,6340,221,2508,3832,3.49,39.56,1.0329097425871618
05-20-2020,6553,228,2953,3600,3.48,45.06,1.0335962145110411
