date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-10-2020,1,0,0,1,0.0,0.0,1
03-11-2020,1,0,0,1,0.0,0.0,1.0
03-12-2020,1,0,0,1,0.0,0.0,1.0
03-13-2020,1,0,0,1,0.0,0.0,1.0
03-14-2020,1,0,0,1,0.0,0.0,1.0
03-15-2020,1,0,0,1,0.0,0.0,1.0
03-16-2020,1,0,0,1,0.0,0.0,1.0
03-17-2020,5,0,0,5,0.0,0.0,5.0
03-18-2020,6,0,0,6,0.0,0.0,1.2
03-19-2020,6,0,0,6,0.0,0.0,1.0
03-20-2020,6,0,0,6,0.0,0.0,1.0
03-21-2020,10,0,0,10,0.0,0.0,1.6666666666666665
03-22-2020,10,0,0,10,0.0,0.0,1.0
03-23-2020,10,0,0,10,0.0,0.0,1.0
03-24-2020,10,0,0,10,0.0,0.0,1.0
03-25-2020,10,0,0,10,0.0,0.0,1.0
03-26-2020,11,0,0,11,0.0,0.0,1.1
03-27-2020,11,0,0,11,0.0,0.0,1.0
03-28-2020,12,0,0,12,0.0,0.0,1.0909090909090908
03-29-2020,12,0,0,12,0.0,0.0,1.0
03-30-2020,12,0,2,10,0.0,16.67,1.0
03-31-2020,12,0,2,10,0.0,16.67,1.0
04-01-2020,14,0,2,12,0.0,14.29,1.1666666666666667
04-02-2020,14,0,2,12,0.0,14.29,1.0
04-03-2020,14,0,2,12,0.0,14.29,1.0
04-04-2020,14,0,2,12,0.0,14.29,1.0
04-05-2020,14,0,2,12,0.0,14.29,1.0
04-06-2020,15,0,2,13,0.0,13.33,1.0714285714285714
04-07-2020,15,0,4,11,0.0,26.67,1.0
04-08-2020,16,0,4,12,0.0,25.0,1.0666666666666667
04-09-2020,16,0,4,12,0.0,25.0,1.0
04-10-2020,16,0,4,12,0.0,25.0,1.0
04-11-2020,16,0,4,12,0.0,25.0,1.0
04-12-2020,16,0,4,12,0.0,25.0,1.0
04-13-2020,17,0,4,13,0.0,23.53,1.0625
04-14-2020,30,0,5,25,0.0,16.67,1.7647058823529411
04-15-2020,30,0,5,25,0.0,16.67,1.0
04-16-2020,31,0,5,26,0.0,16.13,1.0333333333333334
04-17-2020,31,0,5,26,0.0,16.13,1.0
04-18-2020,31,0,5,26,0.0,16.13,1.0
04-19-2020,32,0,7,25,0.0,21.88,1.032258064516129
04-20-2020,33,0,7,26,0.0,21.21,1.03125
04-21-2020,34,0,8,26,0.0,23.53,1.0303030303030303
04-22-2020,35,0,8,27,0.0,22.86,1.0294117647058822
04-23-2020,36,0,9,27,0.0,25.0,1.0285714285714285
04-24-2020,37,0,9,28,0.0,24.32,1.0277777777777777
04-25-2020,37,0,9,28,0.0,24.32,1.0
04-26-2020,38,0,9,29,0.0,23.68,1.027027027027027
04-27-2020,38,0,10,28,0.0,26.32,1.0
04-28-2020,38,0,10,28,0.0,26.32,1.0
04-29-2020,38,0,10,28,0.0,26.32,1.0
04-30-2020,38,0,10,28,0.0,26.32,1.0
05-01-2020,38,0,10,28,0.0,26.32,1.0
05-02-2020,39,0,10,29,0.0,25.64,1.0263157894736843
05-03-2020,39,0,10,29,0.0,25.64,1.0
05-04-2020,40,0,12,28,0.0,30.0,1.0256410256410255
05-05-2020,41,0,13,28,0.0,31.71,1.025
05-06-2020,41,0,13,28,0.0,31.71,1.0
05-07-2020,41,0,13,28,0.0,31.71,1.0
05-08-2020,42,0,13,29,0.0,30.95,1.024390243902439
05-09-2020,42,0,14,28,0.0,33.33,1.0
05-10-2020,42,0,14,28,0.0,33.33,1.0
05-11-2020,42,0,14,28,0.0,33.33,1.0
05-12-2020,42,0,15,27,0.0,35.71,1.0
