date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-22-2020,1,0,0,1,0.0,0.0,1
03-23-2020,1,0,0,1,0.0,0.0,1.0
03-24-2020,3,0,0,3,0.0,0.0,3.0
03-25-2020,5,0,0,5,0.0,0.0,1.6666666666666665
03-26-2020,7,0,0,7,0.0,0.0,1.4
03-27-2020,7,0,0,7,0.0,0.0,1.0
03-28-2020,8,0,0,8,0.0,0.0,1.1428571428571428
03-29-2020,8,0,0,8,0.0,0.0,1.0
03-30-2020,8,0,0,8,0.0,0.0,1.0
03-31-2020,8,0,0,8,0.0,0.0,1.0
04-01-2020,10,0,0,10,0.0,0.0,1.25
04-02-2020,10,0,0,10,0.0,0.0,1.0
04-03-2020,10,0,0,10,0.0,0.0,1.0
04-04-2020,10,0,1,9,0.0,10.0,1.0
04-05-2020,10,0,1,9,0.0,10.0,1.0
04-06-2020,10,0,1,9,0.0,10.0,1.0
04-07-2020,10,0,1,9,0.0,10.0,1.0
04-08-2020,17,0,1,16,0.0,5.88,1.7
04-09-2020,17,0,1,16,0.0,5.88,1.0
04-10-2020,20,0,2,18,0.0,10.0,1.1764705882352942
04-11-2020,20,0,2,18,0.0,10.0,1.0
04-12-2020,21,0,2,19,0.0,9.52,1.05
04-13-2020,21,0,2,19,0.0,9.52,1.0
04-14-2020,28,0,2,26,0.0,7.14,1.3333333333333333
04-15-2020,29,0,2,27,0.0,6.9,1.0357142857142858
04-16-2020,31,0,2,29,0.0,6.45,1.0689655172413792
04-17-2020,34,0,2,32,0.0,5.88,1.096774193548387
04-18-2020,35,0,4,31,0.0,11.43,1.0294117647058822
04-19-2020,39,0,8,31,0.0,20.51,1.1142857142857143
04-20-2020,39,0,8,31,0.0,20.51,1.0
04-21-2020,39,0,8,31,0.0,20.51,1.0
04-22-2020,41,0,8,33,0.0,19.51,1.0512820512820513
04-23-2020,46,0,9,37,0.0,19.57,1.1219512195121952
04-24-2020,65,0,12,53,0.0,18.46,1.4130434782608696
04-25-2020,70,0,12,58,0.0,17.14,1.0769230769230769
04-26-2020,76,0,12,64,0.0,15.79,1.0857142857142856
04-27-2020,76,0,12,64,0.0,15.79,1.0
04-28-2020,76,0,12,64,0.0,15.79,1.0
04-29-2020,76,0,12,64,0.0,15.79,1.0
04-30-2020,76,0,12,64,0.0,15.79,1.0
05-01-2020,79,0,12,67,0.0,15.19,1.0394736842105263
05-02-2020,79,0,18,61,0.0,22.78,1.0
05-03-2020,80,0,19,61,0.0,23.75,1.0126582278481013
05-04-2020,80,0,19,61,0.0,23.75,1.0
