date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,2,0,0,2,0,0,1
03-15-2020,2,0,0,2,0,0,1.0
03-16-2020,2,0,0,2,0,0,1.0
03-17-2020,2,0,0,2,0,0,1.0
03-18-2020,2,0,0,2,0,0,1.0
03-19-2020,3,0,0,3,0,0,1.5
03-20-2020,3,0,0,3,0,0,1.0
03-21-2020,3,0,0,3,0,0,1.0
03-22-2020,3,0,0,3,0,0,1.0
03-23-2020,4,0,0,4,0,0,1.3333333333333333
03-24-2020,7,0,2,5,0,28.57,1.75
03-25-2020,7,0,2,5,0,28.57,1.0
03-26-2020,8,0,2,6,0,25.0,1.1428571428571428
03-27-2020,8,0,2,6,0,25.0,1.0
03-28-2020,8,0,2,6,0,25.0,1.0
03-29-2020,11,0,2,9,0,18.18,1.375
03-30-2020,11,0,2,9,0,18.18,1.0
03-31-2020,11,0,2,9,0,18.18,1.0
04-01-2020,14,0,2,12,0,14.29,1.2727272727272727
04-02-2020,14,0,3,11,0,21.43,1.0
04-03-2020,14,0,3,11,0,21.43,1.0
04-04-2020,14,0,3,11,0,21.43,1.0
04-05-2020,16,0,3,13,0,18.75,1.1428571428571428
04-06-2020,16,0,3,13,0,18.75,1.0
04-07-2020,16,0,3,13,0,18.75,1.0
04-08-2020,16,0,3,13,0,18.75,1.0
04-09-2020,16,0,3,13,0,18.75,1.0
04-10-2020,16,0,3,13,0,18.75,1.0
04-11-2020,16,0,3,13,0,18.75,1.0
04-12-2020,16,0,3,13,0,18.75,1.0
04-13-2020,16,0,3,13,0,18.75,1.0
04-14-2020,16,0,3,13,0,18.75,1.0
04-15-2020,16,0,3,13,0,18.75,1.0
04-16-2020,16,0,4,12,0,25.0,1.0
04-17-2020,16,0,4,12,0,25.0,1.0
04-18-2020,16,0,6,10,0,37.5,1.0
04-19-2020,16,0,6,10,0,37.5,1.0
04-20-2020,16,0,6,10,0,37.5,1.0
04-21-2020,16,0,6,10,0,37.5,1.0
04-22-2020,16,0,6,10,0,37.5,1.0
04-23-2020,16,0,7,9,0,43.75,1.0
04-24-2020,16,0,7,9,0,43.75,1.0
04-25-2020,16,0,7,9,0,43.75,1.0
04-26-2020,16,0,8,8,0,50.0,1.0
04-27-2020,16,0,8,8,0,50.0,1.0
04-28-2020,16,0,8,8,0,50.0,1.0
04-29-2020,16,0,8,8,0,50.0,1.0
04-30-2020,16,0,8,8,0,50.0,1.0
05-01-2020,16,0,8,8,0,50.0,1.0
05-02-2020,16,0,8,8,0,50.0,1.0
05-03-2020,16,0,8,8,0,50.0,1.0
05-04-2020,16,0,8,8,0,50.0,1.0
05-05-2020,16,0,8,8,0,50.0,1.0
05-06-2020,16,0,8,8,0,50.0,1.0
05-07-2020,16,0,9,7,0,56.25,1.0
05-08-2020,16,0,9,7,0,56.25,1.0
05-09-2020,16,0,10,6,0,62.5,1.0
05-10-2020,16,0,11,5,0,68.75,1.0
05-11-2020,16,0,11,5,0,68.75,1.0
05-12-2020,16,0,11,5,0,68.75,1.0
05-13-2020,16,0,11,5,0,68.75,1.0
05-14-2020,16,0,12,4,0,75.0,1.0
05-15-2020,16,0,13,3,0,81.25,1.0
05-16-2020,16,0,13,3,0,81.25,1.0
05-17-2020,16,0,13,3,0,81.25,1.0
05-18-2020,16,0,13,3,0,81.25,1.0
05-19-2020,16,0,13,3,0,81.25,1.0
05-20-2020,16,0,14,2,0,87.5,1.0
05-21-2020,18,0,14,4,0,77.78,1.125
05-22-2020,19,0,14,5,0,73.68,1.0555555555555556
05-23-2020,20,0,14,6,0,70.0,1.0526315789473684
05-24-2020,21,0,14,7,0,66.67,1.05
05-25-2020,21,0,14,7,0,66.67,1.0
05-26-2020,21,0,14,7,0,66.67,1.0
05-27-2020,22,0,14,8,0,63.64,1.0476190476190477
05-28-2020,22,0,14,8,0,63.64,1.0
05-29-2020,23,0,14,9,0,60.87,1.0454545454545454
05-30-2020,23,0,14,9,0,60.87,1.0
05-31-2020,24,0,14,10,0,58.33,1.0434782608695652
06-01-2020,25,0,16,9,0,64.0,1.0416666666666667
06-02-2020,25,0,16,9,0,64.0,1.0
06-03-2020,25,0,16,9,0,64.0,1.0
06-04-2020,25,0,16,9,0,64.0,1.0
06-05-2020,25,0,16,9,0,64.0,1.0
06-06-2020,29,0,16,13,0,55.17,1.16
06-07-2020,29,0,16,13,0,55.17,1.0
06-08-2020,31,0,16,15,0,51.61,1.0689655172413792
06-09-2020,31,0,16,15,0,51.61,1.0
06-10-2020,31,0,17,14,0,54.84,1.0
06-11-2020,31,0,17,14,0,54.84,1.0
06-12-2020,31,0,17,14,0,54.84,1.0
06-13-2020,32,0,17,15,0,53.13,1.032258064516129
06-14-2020,32,0,17,15,0,53.13,1.0
06-15-2020,32,0,17,15,0,53.13,1.0
06-16-2020,34,0,18,16,0,52.94,1.0625
06-17-2020,36,0,19,17,0,52.78,1.0588235294117647
06-18-2020,39,0,19,20,0,48.72,1.0833333333333333
06-19-2020,45,0,19,26,0,42.22,1.1538461538461537
06-20-2020,46,0,19,27,0,41.3,1.0222222222222221
06-21-2020,55,0,19,36,0,34.55,1.1956521739130435
06-22-2020,63,0,21,42,0,33.33,1.1454545454545455
06-23-2020,72,0,21,51,0,29.17,1.1428571428571428
06-24-2020,76,0,21,55,0,27.63,1.0555555555555556
06-25-2020,102,0,21,81,0,20.59,1.3421052631578947
06-26-2020,121,0,22,99,0,18.18,1.1862745098039216
06-27-2020,136,0,22,114,0,16.18,1.1239669421487604
06-28-2020,183,0,24,159,0,13.11,1.3455882352941178
06-29-2020,196,0,24,172,0,12.24,1.0710382513661203
06-30-2020,205,0,24,181,0,11.71,1.0459183673469388
07-01-2020,285,0,24,261,0,8.42,1.3902439024390243
07-02-2020,293,0,24,269,0,8.19,1.0280701754385966
07-03-2020,350,0,25,325,0,7.14,1.1945392491467577
07-04-2020,375,0,25,350,0,6.67,1.0714285714285714
07-05-2020,412,0,25,387,0,6.07,1.0986666666666667
07-06-2020,485,0,25,460,0,5.15,1.1771844660194175
07-07-2020,539,0,25,514,0,4.64,1.111340206185567
07-08-2020,593,0,25,568,0,4.22,1.1001855287569573
07-09-2020,615,0,25,590,0,4.07,1.0370994940978078
07-10-2020,668,1,25,643,0.15,3.74,1.0861788617886179
07-11-2020,668,1,25,643,0.15,3.74,1.0
07-12-2020,785,1,26,759,0.13,3.31,1.1751497005988023
07-13-2020,861,1,28,833,0.12,3.25,1.0968152866242038
07-14-2020,864,2,29,835,0.23,3.36,1.0034843205574913
07-15-2020,960,2,31,929,0.21,3.23,1.1111111111111112
07-16-2020,1032,2,31,1001,0.19,3.0,1.075
07-17-2020,1078,2,32,1046,0.19,2.97,1.0445736434108528
07-18-2020,1203,2,32,1171,0.17,2.66,1.1159554730983303
07-19-2020,1247,3,35,1212,0.24,2.81,1.0365752285951788
07-20-2020,1344,4,42,1302,0.3,3.13,1.0777866880513232
07-21-2020,1366,7,57,1309,0.51,4.17,1.0163690476190477
07-22-2020,1402,7,64,1338,0.5,4.56,1.026354319180088
07-23-2020,1522,7,69,1453,0.46,4.53,1.0855920114122681
07-24-2020,1618,7,72,1546,0.43,4.45,1.0630749014454666
07-25-2020,1687,7,72,1615,0.41,4.27,1.042645241038319
07-26-2020,1775,8,75,1700,0.45,4.23,1.052163604030824
07-27-2020,1843,8,101,1742,0.43,5.48,1.0383098591549296
07-28-2020,1917,8,104,1813,0.42,5.43,1.0401519262072707
07-29-2020,1986,9,104,1882,0.45,5.24,1.0359937402190924
07-30-2020,2052,10,164,1888,0.49,7.99,1.0332326283987916
07-31-2020,2129,10,166,1963,0.47,7.8,1.0375243664717348
08-01-2020,2224,11,171,2053,0.49,7.69,1.0446218882104275
08-02-2020,2294,11,187,2107,0.48,8.15,1.0314748201438848
08-03-2020,2406,12,187,2219,0.5,7.77,1.0488230165649521
08-04-2020,2470,12,211,2259,0.49,8.54,1.0266001662510391
08-05-2020,2540,12,556,1984,0.47,21.89,1.0283400809716599
08-06-2020,2652,15,563,2089,0.57,21.23,1.0440944881889764
08-07-2020,2802,16,575,2227,0.57,20.52,1.0565610859728507
08-08-2020,2802,16,575,2227,0.57,20.52,1.0
08-09-2020,2949,19,704,2245,0.64,23.87,1.0524625267665952
08-10-2020,3101,19,715,2386,0.61,23.06,1.0515428958969142
08-11-2020,3229,19,715,2514,0.59,22.14,1.0412770074169622
08-12-2020,3406,22,835,2571,0.65,24.52,1.0548157324248995
08-13-2020,3544,27,848,2696,0.76,23.93,1.0405167351732236
08-14-2020,3726,31,848,2878,0.83,22.76,1.0513544018058691
08-15-2020,3907,35,2352,1555,0.9,60.2,1.0485775630703167
08-16-2020,4154,35,2370,1784,0.84,57.05,1.063219861786537
08-17-2020,4344,36,2379,1965,0.83,54.77,1.045739046701974
08-18-2020,4464,37,2407,2057,0.83,53.92,1.0276243093922652
08-19-2020,4665,39,2426,2239,0.84,52.0,1.04502688172043
08-20-2020,4912,41,2442,2470,0.83,49.71,1.0529474812433013
08-21-2020,5227,42,2457,2770,0.8,47.01,1.064128664495114
08-22-2020,5538,46,2460,3078,0.83,44.42,1.0594987564568585
08-23-2020,5854,52,2509,3345,0.89,42.86,1.0570603105814373
08-24-2020,6030,56,2563,3467,0.93,42.5,1.030064912880082
08-25-2020,6160,57,2732,3428,0.93,44.35,1.021558872305141
08-26-2020,6431,59,2734,3697,0.92,42.51,1.0439935064935064
08-27-2020,6712,60,2776,3936,0.89,41.36,1.0436946042606126
08-28-2020,6906,65,2789,4117,0.94,40.39,1.0289034564958284
08-29-2020,7116,69,2817,4299,0.97,39.59,1.0304083405734143
08-30-2020,7365,72,2929,4436,0.98,39.77,1.034991568296796
08-31-2020,7550,75,3327,4223,0.99,44.07,1.0251188051595383
09-01-2020,7692,81,3379,4313,1.05,43.93,1.0188079470198677
09-02-2020,7844,82,3454,4390,1.05,44.03,1.0197607904316173
09-03-2020,8082,86,3483,4599,1.06,43.1,1.0303416624171342
09-04-2020,8323,87,3611,4712,1.05,43.39,1.0298193516456322
09-05-2020,8514,87,3643,4871,1.02,42.79,1.0229484560855462
09-06-2020,8685,89,3786,4899,1.02,43.59,1.0200845665961944
09-07-2020,8810,91,3806,5004,1.03,43.2,1.0143926309729419
09-08-2020,8928,91,3981,4947,1.02,44.59,1.013393870601589
09-09-2020,9108,93,4640,4468,1.02,50.94,1.0201612903225807
09-10-2020,9256,96,4767,4489,1.04,51.5,1.0162494510320597
09-11-2020,9437,98,4898,4539,1.04,51.9,1.0195548833189283
09-12-2020,9604,98,5811,3793,1.02,60.51,1.0176963017908234
09-13-2020,9719,101,6543,3176,1.04,67.32,1.0119741774260724
09-14-2020,9818,103,6693,3125,1.05,68.17,1.0101862331515588
09-15-2020,9901,106,7358,2543,1.07,74.32,1.0084538602566715
09-16-2020,9964,108,7502,2462,1.08,75.29,1.0063629936370064
09-17-2020,10078,108,7685,2393,1.07,76.26,1.0114411882778
09-18-2020,10207,108,7947,2260,1.06,77.86,1.012800158761659
09-19-2020,10292,111,7969,2323,1.08,77.43,1.0083276183011658
09-20-2020,10377,112,8033,2344,1.08,77.41,1.0082588418188885
09-21-2020,10526,113,8112,2414,1.07,77.07,1.0143586778452347
09-22-2020,10607,116,8359,2248,1.09,78.81,1.0076952308569258
09-23-2020,10663,117,8431,2232,1.1,79.07,1.0052795323842745
09-24-2020,10740,119,8482,2258,1.11,78.98,1.0072212322986027
09-25-2020,10835,119,8569,2266,1.1,79.09,1.0088454376163873
09-26-2020,10918,120,8749,2169,1.1,80.13,1.0076603599446239
09-27-2020,11033,120,8776,2257,1.09,79.54,1.010533064663858
09-28-2020,11121,121,8787,2334,1.09,79.01,1.007976071784646
09-29-2020,11140,121,8937,2203,1.09,80.22,1.0017084794532867
09-30-2020,11265,121,9014,2251,1.07,80.02,1.0112208258527828
10-01-2020,11373,123,9083,2290,1.08,79.86,1.0095872170439415
10-02-2020,11480,123,9351,2129,1.07,81.45,1.0094082476039743
10-03-2020,11572,123,9419,2153,1.06,81.39,1.0080139372822299
10-04-2020,11626,123,9429,2197,1.06,81.1,1.0046664362253717
10-05-2020,11654,125,9451,2203,1.07,81.1,1.0024083949767761
10-06-2020,11673,125,9611,2062,1.07,82.34,1.0016303415136434
10-07-2020,11714,126,9673,2041,1.08,82.58,1.0035123789942602
10-08-2020,11781,127,9759,2022,1.08,82.84,1.0057196516988218
10-09-2020,11829,127,9778,2051,1.07,82.66,1.0040743570155335
10-10-2020,11891,128,9807,2084,1.08,82.47,1.0052413559895172
10-11-2020,11936,128,9817,2119,1.07,82.25,1.0037843747371962
10-12-2020,11989,129,9913,2076,1.08,82.68,1.0044403485254692
10-13-2020,12000,129,10120,1880,1.08,84.33,1.0009175077154058
10-14-2020,12069,130,10145,1924,1.08,84.06,1.00575
10-15-2020,12103,130,10329,1774,1.07,85.34,1.0028171348081862
10-16-2020,12215,131,10360,1855,1.07,84.81,1.009253903990746
10-17-2020,12263,131,10419,1844,1.07,84.96,1.0039295947605402
10-18-2020,12293,131,10422,1871,1.07,84.78,1.0024463834298296
10-19-2020,12326,131,10426,1900,1.06,84.59,1.00268445456764
10-20-2020,12367,132,10528,1839,1.07,85.13,1.0033263021255883
10-21-2020,12406,133,10587,1819,1.07,85.34,1.0031535538125658
10-22-2020,12460,133,10609,1851,1.07,85.14,1.0043527325487667
10-23-2020,12501,133,10748,1753,1.06,85.98,1.003290529695024
10-24-2020,12579,133,10775,1804,1.06,85.66,1.0062395008399327
10-25-2020,12660,133,10779,1881,1.05,85.14,1.0064393036012402
10-26-2020,12675,133,10813,1862,1.05,85.31,1.0011848341232228
10-27-2020,12729,133,10878,1851,1.04,85.46,1.0042603550295859
10-28-2020,12806,133,10929,1877,1.04,85.34,1.0060491790399875
10-29-2020,12858,133,10972,1886,1.03,85.33,1.004060596595346
10-30-2020,12907,133,11000,1907,1.03,85.23,1.003810857053974
10-31-2020,12935,133,11036,1899,1.03,85.32,1.0021693654606028
11-01-2020,12988,133,11038,1950,1.02,84.99,1.0040974101275608
11-02-2020,13012,133,11201,1811,1.02,86.08,1.0018478595626732
11-03-2020,13030,133,11304,1726,1.02,86.75,1.0013833384568092
11-04-2020,13046,133,11344,1702,1.02,86.95,1.0012279355333844
11-05-2020,13090,133,11438,1652,1.02,87.38,1.0033726812816188
11-06-2020,13143,133,11578,1565,1.01,88.09,1.0040488922841864
11-07-2020,13170,134,11602,1568,1.02,88.09,1.002054325496462
11-08-2020,13211,134,11605,1606,1.01,87.84,1.0031131359149583
11-09-2020,13240,134,11620,1620,1.01,87.76,1.002195140413292
11-10-2020,13253,134,11701,1552,1.01,88.29,1.0009818731117825
11-11-2020,13292,134,11739,1553,1.01,88.32,1.0029427299479363
11-12-2020,13345,135,12188,1157,1.01,91.33,1.0039873608185375
11-13-2020,13372,138,12243,1129,1.03,91.56,1.0020232296740352
11-14-2020,13449,138,12467,982,1.03,92.7,1.0057583009273108
11-15-2020,13508,138,12680,828,1.02,93.87,1.0043869432671575
11-16-2020,13555,138,12843,712,1.02,94.75,1.0034794196031982
11-17-2020,13566,140,13140,426,1.03,96.86,1.000811508668388
11-18-2020,13610,140,13152,458,1.03,96.63,1.0032434026242076
11-19-2020,13662,141,13182,480,1.03,96.49,1.0038207200587803
11-20-2020,13712,143,13191,521,1.04,96.2,1.003659786268482
11-21-2020,13811,145,13209,602,1.05,95.64,1.0072199533255544
11-22-2020,13865,145,13225,640,1.05,95.38,1.0039099268698863
11-23-2020,13897,145,13234,663,1.04,95.23,1.0023079697078976
11-24-2020,13938,145,13272,666,1.04,95.22,1.0029502770382097
11-25-2020,14006,145,13339,667,1.04,95.24,1.0048787487444397
11-26-2020,14155,147,13355,800,1.04,94.35,1.0106382978723405
11-27-2020,14207,149,13388,819,1.05,94.24,1.0036736135641116
11-28-2020,14285,150,13412,873,1.05,93.89,1.005490251284578
11-29-2020,14345,151,13439,906,1.05,93.68,1.0042002100105005
11-30-2020,14380,151,13535,845,1.05,94.12,1.002439874520739
12-01-2020,14416,151,13600,816,1.05,94.34,1.0025034770514603
12-02-2020,14477,151,13697,780,1.04,94.61,1.00423140954495
12-03-2020,14599,151,13774,825,1.03,94.35,1.0084271603232713
12-04-2020,14804,152,13874,930,1.03,93.72,1.0140420576751832
12-05-2020,14950,152,13908,1042,1.02,93.03,1.009862199405566
12-06-2020,15078,152,13939,1139,1.01,92.45,1.008561872909699
12-07-2020,15219,152,13949,1270,1.0,91.66,1.009351372861122
12-08-2020,15298,153,14004,1294,1.0,91.54,1.005190879821276
12-09-2020,15472,155,14195,1277,1.0,91.75,1.011374035821676
12-10-2020,15773,158,14218,1555,1.0,90.14,1.0194544984488108
12-11-2020,16097,160,14332,1765,0.99,89.04,1.0205414315602612
12-12-2020,16269,160,14582,1687,0.98,89.63,1.0106852208486052
12-13-2020,16536,160,14684,1852,0.97,88.8,1.0164115803061036
12-14-2020,16726,163,14837,1889,0.97,88.71,1.0114900822447992
12-15-2020,16913,164,14981,1932,0.97,88.58,1.0111801984933637
12-16-2020,17276,164,15196,2080,0.95,87.96,1.0214627801099745
12-17-2020,17607,164,15373,2234,0.93,87.31,1.0191595276684418
12-18-2020,18041,169,15626,2415,0.94,86.61,1.0246492872153121
12-19-2020,18437,171,15849,2588,0.93,85.96,1.021950002771465
12-20-2020,18714,177,15967,2747,0.95,85.32,1.0150241362477626
12-21-2020,19299,180,16041,3258,0.93,83.12,1.031260019236935
12-22-2020,19629,181,16317,3312,0.92,83.13,1.017099331571584
12-23-2020,19984,183,16892,3092,0.92,84.53,1.018085485760864
12-24-2020,20579,187,17198,3381,0.91,83.57,1.0297738190552441
12-25-2020,21262,187,17602,3660,0.88,82.79,1.033189173429224
12-26-2020,21398,187,17851,3547,0.87,83.42,1.0063963879221145
12-27-2020,21923,191,18039,3884,0.87,82.28,1.0245350032713338
12-28-2020,22287,193,18277,4010,0.87,82.01,1.0166035670300597
12-29-2020,22851,195,18743,4108,0.85,82.02,1.02530623233275
12-30-2020,23333,196,19655,3678,0.84,84.24,1.021093168789112
12-31-2020,23941,205,20076,3865,0.86,83.86,1.0260575151073588
01-01-2021,24545,208,20727,3818,0.85,84.44,1.0252286871893406
01-02-2021,24654,213,20931,3723,0.86,84.9,1.0044408229782034
01-03-2021,25116,215,21055,4061,0.86,83.83,1.018739352640545
01-04-2021,25386,218,21167,4219,0.86,83.38,1.0107501194457715
01-05-2021,25887,222,21777,4110,0.86,84.12,1.0197352871661545
01-06-2021,26319,235,22200,4119,0.89,84.35,1.0166879128520108
01-07-2021,26682,240,22666,4016,0.9,84.95,1.013792317337285
01-08-2021,27255,245,23177,4078,0.9,85.04,1.021475151787722
01-09-2021,27723,251,23912,3811,0.91,86.25,1.0171711612548155
01-10-2021,28259,254,24292,3967,0.9,85.96,1.0193341268982434
01-11-2021,28602,261,24462,4140,0.91,85.53,1.0121377260341837
01-12-2021,28871,264,24938,3933,0.91,86.38,1.009404936717712
01-13-2021,29183,271,25408,3775,0.93,87.06,1.0108066918360985
01-14-2021,29570,275,25845,3725,0.93,87.4,1.0132611451872666
01-15-2021,29889,280,26254,3635,0.94,87.84,1.0107879607710517
01-16-2021,30198,280,26468,3730,0.93,87.65,1.0103382515306634
01-17-2021,30363,285,26931,3432,0.94,88.7,1.0054639380091397
01-18-2021,30753,293,27493,3260,0.95,89.4,1.012844580575042
01-19-2021,30995,296,27858,3137,0.95,89.88,1.0078691509771405
01-20-2021,31253,301,28226,3027,0.96,90.31,1.0083239232134216
