date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-01-2021,261019,1864,253107,7912,0.71,96.97,1
01-02-2021,261438,1870,253857,7581,0.72,97.1,1.0016052471276038
01-03-2021,261859,1878,254494,7365,0.72,97.19,1.0016103244363865
01-04-2021,262262,1885,255088,7174,0.72,97.26,1.001538996177332
01-25-2020,1,0,0,1,0.0,0.0,1
01-26-2020,1,0,0,1,0.0,0.0,1.0
01-27-2020,1,0,0,1,0.0,0.0,1.0
01-28-2020,1,0,0,1,0.0,0.0,1.0
01-29-2020,1,0,0,1,0.0,0.0,1.0
01-30-2020,1,0,0,1,0.0,0.0,1.0
01-31-2020,1,0,0,1,0.0,0.0,1.0
02-01-2020,1,0,0,1,0.0,0.0,1.0
02-02-2020,1,0,0,1,0.0,0.0,1.0
02-03-2020,1,0,0,1,0.0,0.0,1.0
02-04-2020,1,0,0,1,0.0,0.0,1.0
02-05-2020,1,0,0,1,0.0,0.0,1.0
02-06-2020,1,0,0,1,0.0,0.0,1.0
02-07-2020,1,0,0,1,0.0,0.0,1.0
02-08-2020,1,0,0,1,0.0,0.0,1.0
02-09-2020,1,0,0,1,0.0,0.0,1.0
02-10-2020,1,0,0,1,0.0,0.0,1.0
02-11-2020,1,0,0,1,0.0,0.0,1.0
02-12-2020,1,0,1,0,0.0,100.0,1.0
02-13-2020,1,0,1,0,0.0,100.0,1.0
02-14-2020,1,0,1,0,0.0,100.0,1.0
02-15-2020,1,0,1,0,0.0,100.0,1.0
02-16-2020,1,0,1,0,0.0,100.0,1.0
02-17-2020,1,0,1,0,0.0,100.0,1.0
02-18-2020,1,0,1,0,0.0,100.0,1.0
02-19-2020,1,0,1,0,0.0,100.0,1.0
02-20-2020,1,0,1,0,0.0,100.0,1.0
02-21-2020,1,0,1,0,0.0,100.0,1.0
02-22-2020,1,0,1,0,0.0,100.0,1.0
02-23-2020,1,0,1,0,0.0,100.0,1.0
02-24-2020,1,0,1,0,0.0,100.0,1.0
02-25-2020,1,0,1,0,0.0,100.0,1.0
02-26-2020,1,0,1,0,0.0,100.0,1.0
02-27-2020,1,0,1,0,0.0,100.0,1.0
02-28-2020,1,0,1,0,0.0,100.0,1.0
02-29-2020,1,0,1,0,0.0,100.0,1.0
03-01-2020,1,0,1,0,0.0,100.0,1.0
03-02-2020,1,0,1,0,0.0,100.0,1.0
03-03-2020,1,0,1,0,0.0,100.0,1.0
03-04-2020,1,0,1,0,0.0,100.0,1.0
03-05-2020,1,0,1,0,0.0,100.0,1.0
03-06-2020,1,0,1,0,0.0,100.0,1.0
03-07-2020,1,0,1,0,0.0,100.0,1.0
03-08-2020,1,0,1,0,0.0,100.0,1.0
03-09-2020,1,0,1,0,0.0,100.0,1.0
03-10-2020,1,0,1,0,0.0,100.0,1.0
03-11-2020,1,0,1,0,0.0,100.0,1.0
03-12-2020,1,0,1,0,0.0,100.0,1.0
03-13-2020,1,0,1,0,0.0,100.0,1.0
03-14-2020,1,0,1,0,0.0,100.0,1.0
03-15-2020,1,0,1,0,0.0,100.0,1.0
03-16-2020,1,0,1,0,0.0,100.0,1.0
03-17-2020,1,0,1,0,0.0,100.0,1.0
03-18-2020,1,0,1,0,0.0,100.0,1.0
03-19-2020,1,0,1,0,0.0,100.0,1.0
03-20-2020,1,0,1,0,0.0,100.0,1.0
03-21-2020,1,0,1,0,0.0,100.0,1.0
03-22-2020,1,0,1,0,0.0,100.0,1.0
03-23-2020,2,0,1,1,0.0,50.0,2.0
03-24-2020,2,0,1,1,0.0,50.0,1.0
03-25-2020,3,0,1,2,0.0,33.33,1.5
03-26-2020,3,0,1,2,0.0,33.33,1.0
03-27-2020,4,0,1,3,0.0,25.0,1.3333333333333333
03-28-2020,5,0,1,4,0.0,20.0,1.25
03-29-2020,5,0,1,4,0.0,20.0,1.0
03-30-2020,5,0,1,4,0.0,20.0,1.0
03-31-2020,5,0,1,4,0.0,20.0,1.0
04-01-2020,5,0,1,4,0.0,20.0,1.0
04-02-2020,6,0,1,5,0.0,16.67,1.2
04-03-2020,6,0,1,5,0.0,16.67,1.0
04-04-2020,9,0,1,8,0.0,11.11,1.5
04-05-2020,9,0,1,8,0.0,11.11,1.0
04-06-2020,9,0,1,8,0.0,11.11,1.0
04-07-2020,9,0,1,8,0.0,11.11,1.0
04-08-2020,9,0,1,8,0.0,11.11,1.0
04-09-2020,9,0,1,8,0.0,11.11,1.0
04-10-2020,9,0,1,8,0.0,11.11,1.0
04-11-2020,9,0,1,8,0.0,11.11,1.0
04-12-2020,12,0,1,11,0.0,8.33,1.3333333333333333
04-13-2020,14,0,1,13,0.0,7.14,1.1666666666666667
04-14-2020,16,0,1,15,0.0,6.25,1.1428571428571428
04-15-2020,16,0,1,15,0.0,6.25,1.0
04-16-2020,16,0,2,14,0.0,12.5,1.0
04-17-2020,30,0,2,28,0.0,6.67,1.875
04-18-2020,31,0,2,29,0.0,6.45,1.0333333333333334
04-19-2020,31,0,4,27,0.0,12.9,1.0
04-20-2020,31,0,4,27,0.0,12.9,1.0
04-21-2020,43,0,4,39,0.0,9.3,1.3870967741935485
04-22-2020,45,0,7,38,0.0,15.56,1.0465116279069768
04-23-2020,48,0,10,38,0.0,20.83,1.0666666666666667
04-24-2020,49,0,11,38,0.0,22.45,1.0208333333333333
04-25-2020,49,0,12,37,0.0,24.49,1.0
04-26-2020,52,0,16,36,0.0,30.77,1.0612244897959184
04-27-2020,52,0,16,36,0.0,30.77,1.0
04-28-2020,54,0,16,38,0.0,29.63,1.0384615384615385
04-29-2020,57,0,16,41,0.0,28.07,1.0555555555555556
04-30-2020,57,0,16,41,0.0,28.07,1.0
05-01-2020,59,0,16,43,0.0,27.12,1.0350877192982457
05-02-2020,59,0,16,43,0.0,27.12,1.0
05-03-2020,75,0,16,59,0.0,21.33,1.271186440677966
05-04-2020,75,0,16,59,0.0,21.33,1.0
05-05-2020,82,0,16,66,0.0,19.51,1.0933333333333333
05-06-2020,99,0,22,77,0.0,22.22,1.2073170731707317
05-07-2020,101,0,22,79,0.0,21.78,1.02020202020202
05-08-2020,102,0,31,71,0.0,30.39,1.00990099009901
05-09-2020,110,0,31,79,0.0,28.18,1.0784313725490196
05-10-2020,110,0,31,79,0.0,28.18,1.0
05-11-2020,134,0,33,101,0.0,24.63,1.2181818181818183
05-12-2020,217,0,33,184,0.0,15.21,1.6194029850746268
05-13-2020,250,0,35,215,0.0,14.0,1.1520737327188941
05-14-2020,249,0,35,214,0.0,14.06,1.004
05-15-2020,267,0,36,231,0.0,13.48,1.072289156626506
05-16-2020,291,1,36,255,0.34,12.37,1.0898876404494382
05-17-2020,295,2,36,259,0.68,12.2,1.013745704467354
05-18-2020,375,2,36,339,0.53,9.6,1.271186440677966
05-19-2020,402,2,37,365,0.5,9.2,1.072
05-20-2020,427,2,45,382,0.47,10.54,1.0621890547263682
05-21-2020,457,3,49,408,0.66,10.72,1.0702576112412179
05-22-2020,516,3,70,446,0.58,13.57,1.1291028446389497
05-23-2020,584,3,70,514,0.51,11.99,1.1317829457364341
05-24-2020,603,3,87,516,0.5,14.43,1.0325342465753424
05-25-2020,682,4,112,570,0.59,16.42,1.1310116086235489
05-26-2020,772,4,155,617,0.52,20.08,1.131964809384164
05-27-2020,886,4,183,703,0.45,20.65,1.1476683937823835
05-28-2020,1042,5,187,855,0.48,17.95,1.1760722347629797
05-29-2020,1212,6,206,1006,0.5,17.0,1.163147792706334
05-30-2020,1401,6,219,1182,0.43,15.63,1.1559405940594059
05-31-2020,1572,8,220,1352,0.51,13.99,1.1220556745182013
06-01-2020,1811,8,221,1590,0.44,12.2,1.1520356234096691
06-02-2020,2099,8,266,1833,0.38,12.67,1.1590281612368858
06-03-2020,2300,9,278,2022,0.39,12.09,1.095759885659838
