date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-27-2020,1,0,0,1,0.0,0.0,0
02-28-2020,1,0,0,1,0.0,0.0,0.0
02-29-2020,6,0,0,6,0.0,0.0,5.0
03-01-2020,10,0,0,10,0.0,0.0,0.6666666666666666
03-02-2020,18,0,0,18,0.0,0.0,0.8
03-03-2020,24,0,0,24,0.0,0.0,0.3333333333333333
03-04-2020,38,0,0,38,0.0,0.0,0.5833333333333334
03-05-2020,82,0,0,82,0.0,0.0,1.1578947368421053
03-06-2020,128,1,0,128,0.78,0.0,0.5609756097560976
03-07-2020,188,1,0,188,0.53,0.0,0.46875
03-08-2020,265,3,0,265,1.13,0.0,0.4095744680851064
03-09-2020,321,3,0,321,0.93,0.0,0.21132075471698114
03-10-2020,382,4,0,382,1.05,0.0,0.19003115264797507
03-11-2020,503,5,0,503,0.99,0.0,0.31675392670157065
03-12-2020,503,5,0,503,0.99,0.0,0.0
03-13-2020,804,10,0,804,1.24,0.0,0.5984095427435387
03-14-2020,959,12,2,957,1.25,0.21,0.1927860696517413
03-15-2020,1135,20,2,1133,1.76,0.18,0.1835245046923879
03-16-2020,1414,24,2,1412,1.7,0.14,0.24581497797356827
03-17-2020,1708,43,2,1706,2.52,0.12,0.2079207920792079
03-18-2020,2056,58,2,2054,2.82,0.1,0.20374707259953162
03-19-2020,2465,77,2,2463,3.12,0.08,0.19892996108949415
03-20-2020,3003,107,2,3001,3.56,0.07,0.21825557809330629
03-21-2020,3640,137,2,3638,3.76,0.05,0.21212121212121213
03-22-2020,4217,180,3,4214,4.27,0.07,0.1585164835164835
03-23-2020,4764,214,3,4761,4.49,0.06,0.1297130661607778
03-24-2020,5580,277,3,5577,4.96,0.05,0.1712846347607053
03-25-2020,6438,357,4,6434,5.55,0.06,0.15376344086021507
03-26-2020,7468,435,6,7462,5.82,0.08,0.15998757378067724
03-27-2020,8647,547,6,8641,6.33,0.07,0.15787359400107123
03-28-2020,9819,640,6,9813,6.52,0.06,0.13553833699548976
03-29-2020,10930,772,253,10677,7.06,2.31,0.11314797840920664
03-30-2020,11817,865,253,11564,7.32,2.14,0.08115279048490394
03-31-2020,12667,1040,253,12414,8.21,2.0,0.07193026995007193
04-01-2020,13696,1175,260,13436,8.58,1.9,0.08123470434988553
04-02-2020,14788,1341,260,14528,9.07,1.76,0.07973130841121495
04-03-2020,15821,1490,260,15561,9.42,1.64,0.0698539356234785
04-04-2020,16727,1656,262,16465,9.9,1.57,0.05726565956639909
04-05-2020,17953,1771,257,17696,9.86,1.43,0.07329467328271656
04-06-2020,18926,1874,258,18668,9.9,1.36,0.054197070127555286
04-07-2020,19709,2108,272,19437,10.7,1.38,0.04137165803656346
04-08-2020,20682,2255,272,20410,10.9,1.32,0.049368308894413716
04-09-2020,21903,2403,278,21625,10.97,1.27,0.05903684363214389
04-10-2020,23249,2520,287,22962,10.84,1.23,0.06145276902707392
04-11-2020,24571,2653,291,24280,10.8,1.18,0.056862660759602564
04-12-2020,25746,2747,295,25451,10.67,1.15,0.047820601522119574
04-13-2020,26710,2833,295,26415,10.61,1.1,0.037442709547114116
04-14-2020,27580,2955,297,27283,10.71,1.08,0.03257207038562336
04-15-2020,28316,3145,304,28012,11.11,1.07,0.02668600435097897
04-16-2020,29383,3327,311,29072,11.32,1.06,0.03768187597118237
04-17-2020,30619,3471,315,30304,11.34,1.03,0.04206513970663309
04-18-2020,31766,3613,317,31449,11.37,1.0,0.0374604004049773
04-19-2020,32838,3697,322,32516,11.26,0.98,0.03374677327960713
04-20-2020,33588,3764,322,33266,11.21,0.96,0.022839393385711674
04-21-2020,34317,3929,74,34243,11.45,0.22,0.021704180064308683
04-22-2020,35032,4068,101,34931,11.61,0.29,0.02083515458810502
04-23-2020,35921,4192,101,35820,11.67,0.28,0.025376798355788995
