date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-19-2020,1,0,0,1,0.0,0.0,1
03-20-2020,1,0,0,1,0.0,0.0,1.0
03-21-2020,2,0,0,2,0.0,0.0,2.0
03-22-2020,2,0,0,2,0.0,0.0,1.0
03-23-2020,2,0,0,2,0.0,0.0,1.0
03-24-2020,2,0,0,2,0.0,0.0,1.0
03-25-2020,2,0,0,2,0.0,0.0,1.0
03-26-2020,2,0,0,2,0.0,0.0,1.0
03-27-2020,2,1,0,2,50.0,0.0,1.0
03-28-2020,4,1,0,4,25.0,0.0,2.0
03-29-2020,4,1,0,4,25.0,0.0,1.0
03-30-2020,4,1,0,4,25.0,0.0,1.0
03-31-2020,5,1,0,5,20.0,0.0,1.25
04-01-2020,5,1,0,5,20.0,0.0,1.0
04-02-2020,5,1,0,5,20.0,0.0,1.0
04-03-2020,5,1,0,5,20.0,0.0,1.0
04-04-2020,5,1,0,5,20.0,0.0,1.0
04-05-2020,6,1,0,6,16.67,0.0,1.2
04-06-2020,6,1,0,6,16.67,0.0,1.0
04-07-2020,6,1,0,6,16.67,0.0,1.0
04-08-2020,6,1,0,6,16.67,0.0,1.0
04-09-2020,7,1,0,7,14.29,0.0,1.1666666666666667
04-10-2020,7,1,0,7,14.29,0.0,1.0
04-11-2020,8,1,0,8,12.5,0.0,1.1428571428571428
04-12-2020,9,1,4,5,11.11,44.44,1.125
04-13-2020,9,1,4,5,11.11,44.44,1.0
04-14-2020,9,1,4,5,11.11,44.44,1.0
04-15-2020,9,1,4,5,11.11,44.44,1.0
04-16-2020,9,1,4,5,11.11,44.44,1.0
04-17-2020,9,1,4,5,11.11,44.44,1.0
04-18-2020,9,2,6,3,22.22,66.67,1.0
04-19-2020,10,2,6,4,20.0,60.0,1.1111111111111112
04-20-2020,10,2,6,4,20.0,60.0,1.0
04-21-2020,10,2,7,3,20.0,70.0,1.0
04-22-2020,10,2,7,3,20.0,70.0,1.0
04-23-2020,11,3,7,4,27.27,63.64,1.1
04-24-2020,11,3,7,4,27.27,63.64,1.0
04-25-2020,12,3,7,5,25.0,58.33,1.0909090909090908
04-26-2020,13,3,7,6,23.08,53.85,1.0833333333333333
04-27-2020,13,3,7,6,23.08,53.85,1.0
04-28-2020,13,3,7,6,23.08,53.85,1.0
04-29-2020,13,3,7,6,23.08,53.85,1.0
04-30-2020,14,3,7,7,21.43,50.0,1.0769230769230769
05-01-2020,14,3,7,7,21.43,50.0,1.0
05-02-2020,14,3,7,7,21.43,50.0,1.0
05-03-2020,15,5,7,8,33.33,46.67,1.0714285714285714
05-04-2020,15,5,7,8,33.33,46.67,1.0
05-05-2020,16,5,7,9,31.25,43.75,1.0666666666666667
05-06-2020,16,5,7,9,31.25,43.75,1.0
05-07-2020,16,5,7,9,31.25,43.75,1.0
05-08-2020,16,5,7,9,31.25,43.75,1.0
05-09-2020,16,5,7,9,31.25,43.75,1.0
05-10-2020,16,5,7,9,31.25,43.75,1.0
05-11-2020,16,5,7,9,31.25,43.75,1.0
05-12-2020,25,8,7,18,32.0,28.0,1.5625
05-13-2020,25,8,7,18,32.0,28.0,1.0
05-14-2020,25,8,7,18,32.0,28.0,1.0
