date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-26-2020,1,0,0,1,0.0,0.0,1
02-27-2020,1,0,0,1,0.0,0.0,1.0
02-28-2020,1,0,0,1,0.0,0.0,1.0
02-29-2020,1,0,0,1,0.0,0.0,1.0
03-01-2020,1,0,0,1,0.0,0.0,1.0
03-02-2020,1,0,0,1,0.0,0.0,1.0
03-03-2020,1,0,0,1,0.0,0.0,1.0
03-04-2020,1,0,0,1,0.0,0.0,1.0
03-05-2020,1,0,0,1,0.0,0.0,1.0
03-06-2020,3,0,0,3,0.0,0.0,3.0
03-07-2020,3,0,0,3,0.0,0.0,1.0
03-08-2020,3,0,0,3,0.0,0.0,1.0
03-09-2020,3,0,0,3,0.0,0.0,1.0
03-10-2020,7,0,0,7,0.0,0.0,2.333333333333333
03-11-2020,7,0,0,7,0.0,0.0,1.0
03-12-2020,7,0,0,7,0.0,0.0,1.0
03-13-2020,14,0,1,13,0.0,7.14,2.0
03-14-2020,14,0,1,13,0.0,7.14,1.0
03-15-2020,14,0,1,13,0.0,7.14,1.0
03-16-2020,18,0,1,17,0.0,5.56,1.2857142857142856
03-17-2020,26,0,1,25,0.0,3.85,1.4444444444444444
03-18-2020,35,0,1,34,0.0,2.86,1.3461538461538463
03-19-2020,48,0,1,47,0.0,2.08,1.3714285714285714
03-20-2020,67,0,1,66,0.0,1.49,1.3958333333333333
03-21-2020,85,0,1,84,0.0,1.18,1.2686567164179103
03-22-2020,115,1,1,114,0.87,0.87,1.3529411764705883
03-23-2020,136,2,1,135,1.47,0.74,1.182608695652174
03-24-2020,148,2,1,147,1.35,0.68,1.088235294117647
03-25-2020,177,3,1,176,1.69,0.56,1.195945945945946
03-26-2020,201,3,3,198,1.49,1.49,1.1355932203389831
03-27-2020,219,3,3,216,1.37,1.37,1.0895522388059702
03-28-2020,241,4,3,238,1.66,1.24,1.1004566210045663
03-29-2020,259,6,3,256,2.32,1.16,1.0746887966804979
03-30-2020,285,7,12,273,2.46,4.21,1.1003861003861004
03-31-2020,329,9,12,317,2.74,3.65,1.1543859649122807
04-01-2020,354,11,17,337,3.11,4.8,1.0759878419452888
04-02-2020,384,11,17,367,2.86,4.43,1.0847457627118644
04-03-2020,430,12,20,410,2.79,4.65,1.1197916666666667
04-04-2020,483,17,20,463,3.52,4.14,1.1232558139534883
04-05-2020,555,18,23,532,3.24,4.14,1.1490683229813665
04-06-2020,570,23,30,540,4.04,5.26,1.027027027027027
04-07-2020,599,26,30,569,4.34,5.01,1.050877192982456
04-08-2020,617,29,35,582,4.7,5.67,1.0300500834724542
04-09-2020,663,30,37,626,4.52,5.58,1.0745542949756888
04-10-2020,711,32,41,670,4.5,5.77,1.0723981900452488
04-11-2020,760,34,41,719,4.47,5.39,1.0689170182841068
04-12-2020,828,34,41,787,4.11,4.95,1.0894736842105264
04-13-2020,854,38,44,810,4.45,5.15,1.0314009661835748
04-14-2020,908,44,86,822,4.85,9.47,1.063231850117096
04-15-2020,974,45,98,876,4.62,10.06,1.0726872246696035
04-16-2020,1081,46,121,960,4.26,11.19,1.1098562628336757
04-17-2020,1117,49,139,978,4.39,12.44,1.0333024976873266
04-18-2020,1170,49,164,1006,4.19,14.02,1.0474485228290062
04-19-2020,1207,51,179,1028,4.23,14.83,1.0316239316239315
04-20-2020,1225,54,200,1025,4.41,16.33,1.0149130074565038
04-21-2020,1231,55,224,1007,4.47,18.2,1.0048979591836735
04-22-2020,1259,56,272,987,4.45,21.6,1.0227457351746547
04-23-2020,1300,56,301,999,4.31,23.15,1.0325655281969817
04-24-2020,1326,57,337,989,4.3,25.41,1.02
04-25-2020,1367,59,374,993,4.32,27.36,1.030920060331825
04-26-2020,1386,61,500,886,4.4,36.08,1.013899049012436
04-27-2020,1399,65,553,846,4.65,39.53,1.0093795093795095
04-28-2020,1421,71,589,832,5.0,41.45,1.0157255182273053
04-29-2020,1442,73,627,815,5.06,43.48,1.0147783251231528
04-30-2020,1465,77,738,727,5.26,50.38,1.0159500693481276
05-01-2020,1494,81,807,687,5.42,54.02,1.0197952218430033
05-02-2020,1506,82,852,654,5.44,56.57,1.0080321285140563
05-03-2020,1511,84,945,566,5.56,62.54,1.00332005312085
05-04-2020,1518,85,992,526,5.6,65.35,1.0046326935804104
05-05-2020,1526,86,1013,513,5.64,66.38,1.005270092226614
05-06-2020,1539,88,1057,482,5.72,68.68,1.008519003931848
05-07-2020,1572,89,1079,493,5.66,68.64,1.0214424951267056
05-08-2020,1586,90,1099,487,5.67,69.29,1.008905852417303
05-09-2020,1622,91,1112,510,5.61,68.56,1.0226986128625473
05-10-2020,1642,91,1136,506,5.54,69.18,1.0123304562268804
05-11-2020,1664,91,1200,464,5.47,72.12,1.0133982947624847
05-12-2020,1674,92,1205,469,5.5,71.98,1.0060096153846154
05-13-2020,1694,95,1229,465,5.61,72.55,1.01194743130227
05-14-2020,1723,95,1235,488,5.51,71.68,1.0171192443919717
05-15-2020,1740,97,1251,489,5.57,71.9,1.0098665118978525
05-16-2020,1762,98,1267,495,5.56,71.91,1.0126436781609196
05-17-2020,1792,101,1293,499,5.64,72.15,1.0170261066969353
05-18-2020,1817,104,1301,516,5.72,71.6,1.0139508928571428
05-19-2020,1839,106,1351,488,5.76,73.46,1.012107870115575
