date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-10-2020,1,0,0,1,0.0,0.0,0
03-11-2020,8,1,0,8,12.5,0.0,7.0
03-12-2020,11,1,0,11,9.09,0.0,0.375
03-13-2020,27,1,0,27,3.7,0.0,1.4545454545454546
03-14-2020,36,1,0,36,2.78,0.0,0.3333333333333333
03-15-2020,43,1,0,43,2.33,0.0,0.19444444444444445
03-16-2020,55,1,0,55,1.82,0.0,0.27906976744186046
03-17-2020,69,1,0,69,1.45,0.0,0.2545454545454545
03-18-2020,86,1,0,86,1.16,0.0,0.2463768115942029
03-19-2020,109,1,0,109,0.92,0.0,0.26744186046511625
03-20-2020,137,1,0,137,0.73,0.0,0.25688073394495414
03-21-2020,200,1,0,200,0.5,0.0,0.45985401459854014
03-22-2020,313,3,1,312,0.96,0.32,0.565
03-23-2020,313,3,1,312,0.96,0.32,0.0
03-24-2020,345,6,1,344,1.74,0.29,0.10223642172523961
03-25-2020,443,8,1,442,1.81,0.23,0.28405797101449276
03-26-2020,558,8,2,556,1.43,0.36,0.2595936794582393
03-27-2020,674,9,2,672,1.34,0.3,0.2078853046594982
03-28-2020,786,14,2,784,1.78,0.25,0.1661721068249258
03-29-2020,901,17,4,897,1.89,0.44,0.14631043256997456
03-30-2020,989,24,4,985,2.43,0.4,0.097669256381798
03-31-2020,1181,30,9,1172,2.54,0.76,0.19413549039433772
04-01-2020,1181,30,9,1172,2.54,0.76,0.0
04-02-2020,1317,32,9,1308,2.43,0.68,0.11515664690939881
04-03-2020,1475,37,10,1465,2.51,0.68,0.11996962794229309
04-04-2020,1673,41,13,1660,2.45,0.78,0.1342372881355932
04-05-2020,1801,46,13,1788,2.55,0.72,0.07650926479378362
04-06-2020,1988,54,13,1975,2.72,0.65,0.10383120488617435
04-07-2020,2100,55,14,2086,2.62,0.67,0.056338028169014086
04-08-2020,2249,59,16,2233,2.62,0.71,0.07095238095238095
04-09-2020,2528,63,16,2512,2.49,0.63,0.12405513561582926
04-10-2020,2752,66,16,2736,2.4,0.58,0.08860759493670886
04-11-2020,2974,74,17,2957,2.49,0.57,0.0806686046511628
04-12-2020,3234,79,23,3211,2.44,0.71,0.08742434431741762
