date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-20-2020,1,0,0,1,0.0,0.0,0
03-21-2020,1,0,0,1,0.0,0.0,0.0
03-22-2020,1,0,0,1,0.0,0.0,0.0
03-23-2020,1,0,0,1,0.0,0.0,0.0
03-24-2020,1,0,0,1,0.0,0.0,0.0
03-25-2020,1,0,0,1,0.0,0.0,0.0
03-26-2020,1,0,0,1,0.0,0.0,0.0
03-27-2020,1,0,0,1,0.0,0.0,0.0
03-28-2020,1,0,0,1,0.0,0.0,0.0
03-29-2020,1,0,0,1,0.0,0.0,0.0
03-30-2020,1,0,0,1,0.0,0.0,0.0
03-31-2020,1,0,0,1,0.0,0.0,0.0
04-01-2020,1,0,0,1,0.0,0.0,0.0
04-02-2020,1,0,0,1,0.0,0.0,0.0
04-03-2020,1,0,0,1,0.0,0.0,0.0
04-04-2020,1,0,0,1,0.0,0.0,0.0
04-05-2020,1,0,0,1,0.0,0.0,0.0
04-06-2020,2,0,0,2,0.0,0.0,1.0
04-07-2020,2,0,0,2,0.0,0.0,0.0
04-08-2020,2,0,0,2,0.0,0.0,0.0
04-09-2020,2,0,0,2,0.0,0.0,0.0
04-10-2020,2,0,0,2,0.0,0.0,0.0
04-11-2020,2,0,0,2,0.0,0.0,0.0
04-12-2020,2,0,0,2,0.0,0.0,0.0
04-13-2020,2,0,0,2,0.0,0.0,0.0
