date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-08-2020,1,0,0,1,0.0,0.0,0
03-09-2020,1,0,0,1,0.0,0.0,0.0
03-10-2020,1,0,0,1,0.0,0.0,0.0
03-11-2020,5,0,0,5,0.0,0.0,4.0
03-12-2020,5,0,0,5,0.0,0.0,0.0
03-13-2020,6,0,0,6,0.0,0.0,0.2
03-14-2020,6,0,0,6,0.0,0.0,0.0
03-15-2020,6,0,0,6,0.0,0.0,0.0
03-16-2020,8,0,0,8,0.0,0.0,0.3333333333333333
03-17-2020,9,0,0,9,0.0,0.0,0.125
03-18-2020,11,0,0,11,0.0,0.0,0.2222222222222222
03-19-2020,11,0,0,11,0.0,0.0,0.0
03-20-2020,13,0,0,13,0.0,0.0,0.18181818181818182
03-21-2020,18,1,0,18,5.56,0.0,0.38461538461538464
03-22-2020,22,1,0,22,4.55,0.0,0.2222222222222222
03-23-2020,22,1,0,22,4.55,0.0,0.0
03-24-2020,27,2,0,27,7.41,0.0,0.22727272727272727
03-25-2020,37,3,0,37,8.11,0.0,0.37037037037037035
03-26-2020,41,3,0,41,7.32,0.0,0.10810810810810811
03-27-2020,52,3,1,51,5.77,1.92,0.2682926829268293
03-28-2020,56,3,1,55,5.36,1.79,0.07692307692307693
03-29-2020,59,3,1,58,5.08,1.69,0.05357142857142857
03-30-2020,64,3,1,63,4.69,1.56,0.0847457627118644
03-31-2020,65,3,1,64,4.62,1.54,0.015625
04-01-2020,69,3,1,68,4.35,1.45,0.06153846153846154
04-02-2020,77,3,2,75,3.9,2.6,0.11594202898550725
04-03-2020,92,3,6,86,3.26,6.52,0.19480519480519481
04-04-2020,96,3,12,84,3.13,12.5,0.043478260869565216
04-05-2020,104,3,12,92,2.88,11.54,0.08333333333333333
04-06-2020,113,5,12,101,4.42,10.62,0.08653846153846154
04-07-2020,115,5,15,100,4.35,13.04,0.017699115044247787
04-08-2020,119,5,15,104,4.2,12.61,0.034782608695652174
04-09-2020,124,5,18,106,4.03,14.52,0.04201680672268908
04-10-2020,129,6,18,111,4.65,13.95,0.04032258064516129
04-11-2020,133,6,18,115,4.51,13.53,0.031007751937984496
