date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-04-2020,1,0,0,1,0.0,0.0,1
03-05-2020,1,0,0,1,0.0,0.0,1.0
03-06-2020,5,0,0,5,0.0,0.0,5.0
03-07-2020,5,0,0,5,0.0,0.0,1.0
03-08-2020,11,0,0,11,0.0,0.0,2.2
03-09-2020,16,0,0,16,0.0,0.0,1.4545454545454546
03-10-2020,22,0,0,22,0.0,0.0,1.375
03-11-2020,31,0,0,31,0.0,0.0,1.4090909090909092
03-12-2020,49,1,0,49,2.04,0.0,1.5806451612903225
03-13-2020,68,2,0,68,2.94,0.0,1.3877551020408163
03-14-2020,103,3,0,103,2.91,0.0,1.5147058823529411
03-15-2020,119,3,0,119,2.52,0.0,1.1553398058252426
03-16-2020,177,4,13,164,2.26,7.34,1.4873949579831933
03-17-2020,238,5,13,225,2.1,5.46,1.344632768361582
03-18-2020,251,5,13,238,1.99,5.18,1.0546218487394958
03-19-2020,355,5,1,354,1.41,0.28,1.4143426294820718
03-20-2020,425,5,1,424,1.18,0.24,1.1971830985915493
03-21-2020,536,5,1,535,0.93,0.19,1.2611764705882353
03-22-2020,634,7,13,621,1.1,2.05,1.1828358208955223
03-23-2020,749,8,13,736,1.07,1.74,1.1813880126182965
03-24-2020,901,10,1,900,1.11,0.11,1.2029372496662216
03-25-2020,1051,14,7,1044,1.33,0.67,1.1664816870144283
03-26-2020,1221,16,7,1214,1.31,0.57,1.1617507136060894
03-27-2020,1389,16,7,1382,1.15,0.5,1.1375921375921376
03-28-2020,1638,18,7,1631,1.1,0.43,1.1792656587473003
03-29-2020,1862,22,7,1855,1.18,0.38,1.1367521367521367
03-30-2020,2055,31,7,2048,1.51,0.34,1.1036519871106338
03-31-2020,2311,33,7,2304,1.43,0.3,1.124574209245742
04-01-2020,2554,43,47,2507,1.68,1.84,1.1051492860233665
04-02-2020,2946,57,56,2890,1.93,1.9,1.1534847298355522
04-03-2020,3383,71,56,3327,2.1,1.66,1.1483367277664631
04-04-2020,3627,79,116,3511,2.18,3.2,1.0721253325450784
04-05-2020,4102,94,134,3968,2.29,3.27,1.1309622277364213
04-06-2020,4413,107,162,4251,2.42,3.67,1.075816674792784
04-07-2020,4848,129,191,4657,2.66,3.94,1.098572399728076
04-08-2020,5205,159,222,4983,3.05,4.27,1.073638613861386
04-09-2020,5575,174,284,5291,3.12,5.09,1.0710854947166186
04-10-2020,5955,181,318,5637,3.04,5.34,1.0681614349775785
04-11-2020,6356,208,375,5981,3.27,5.9,1.0673383711167086
04-12-2020,6674,232,439,6235,3.48,6.58,1.0500314663310257
04-13-2020,6934,245,487,6447,3.53,7.02,1.038957147138148
04-14-2020,7202,263,618,6584,3.65,8.58,1.038650129795212
04-15-2020,7582,286,668,6914,3.77,8.81,1.0527631213551791
04-16-2020,7918,314,774,7144,3.97,9.78,1.0443154840411502
04-17-2020,8379,332,866,7513,3.96,10.34,1.0582217731750443
04-18-2020,8742,347,981,7761,3.97,11.22,1.0433225921947726
04-19-2020,9287,360,1040,8247,3.88,11.2,1.0623427133379089
04-20-2020,9593,380,1133,8460,3.96,11.81,1.0329492839452998
04-21-2020,9856,401,1297,8559,4.07,13.16,1.0274158240383613
04-22-2020,10169,426,1513,8656,4.19,14.88,1.0317573051948052
04-23-2020,10511,454,1740,8771,4.32,16.55,1.0336316255285671
04-24-2020,10892,494,1944,8948,4.54,17.85,1.0362477404623727
04-25-2020,11273,524,2126,9147,4.65,18.86,1.0349798016893133
04-26-2020,11617,535,2265,9352,4.61,19.5,1.0305153907566753
04-27-2020,11902,562,2466,9436,4.72,20.72,1.0245330119652234
04-28-2020,12218,596,2655,9563,4.88,21.73,1.0265501596370359
04-29-2020,12640,624,3025,9615,4.94,23.93,1.0345392044524473
04-30-2020,12877,644,3236,9641,5.0,25.13,1.01875
05-01-2020,13105,651,3491,9614,4.97,26.64,1.01770598741943
05-02-2020,13375,664,3762,9613,4.96,28.13,1.0206028233498665
05-03-2020,13693,678,3945,9748,4.95,28.81,1.0237757009345794
05-04-2020,14006,698,4095,9911,4.98,29.24,1.022858394800263
05-05-2020,14431,716,4280,10151,4.96,29.66,1.0303441382264744
05-06-2020,14740,733,4655,10085,4.97,31.58,1.0214122375441756
05-07-2020,15047,755,4862,10185,5.02,32.31,1.0208276797829037
05-08-2020,15366,776,5184,10182,5.05,33.74,1.021200239250349
05-09-2020,15651,785,5437,10214,5.02,34.74,1.0185474424053105
05-10-2020,15996,800,5698,10298,5.0,35.62,1.0220433199156604
05-11-2020,16326,811,5816,10510,4.97,35.62,1.0206301575393848
05-12-2020,16921,839,6131,10790,4.96,36.23,1.03644493446037
05-13-2020,17204,861,6410,10794,5.0,37.26,1.0167247798593464
05-14-2020,17615,883,6696,10919,5.01,38.01,1.0238897930713788
05-15-2020,18016,907,6918,11098,5.03,38.4,1.0227646891853535
05-16-2020,18257,915,7175,11082,5.01,39.3,1.013376998223801
05-17-2020,18529,925,7451,11078,4.99,40.21,1.0148983951361121
05-18-2020,18885,936,7628,11257,4.96,40.39,1.01921312537104
05-19-2020,19268,948,7903,11365,4.92,41.02,1.0202806460153562
05-20-2020,19739,962,8183,11556,4.87,41.46,1.024444675108989
