date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-29-2020,1,0,0,1,0.0,0.0,1
03-01-2020,3,0,0,3,0.0,0.0,3.0
03-02-2020,3,0,0,3,0.0,0.0,1.0
03-03-2020,7,0,0,7,0.0,0.0,2.333333333333333
03-04-2020,8,0,0,8,0.0,0.0,1.1428571428571428
03-05-2020,8,0,0,8,0.0,0.0,1.0
03-06-2020,8,0,0,8,0.0,0.0,1.0
03-07-2020,8,0,0,8,0.0,0.0,1.0
03-08-2020,15,0,0,15,0.0,0.0,1.875
03-09-2020,18,0,0,18,0.0,0.0,1.2
03-10-2020,24,0,0,24,0.0,0.0,1.3333333333333333
03-11-2020,262,0,0,262,0.0,0.0,10.916666666666666
03-12-2020,262,0,0,262,0.0,0.0,1.0
03-13-2020,320,0,0,320,0.0,0.0,1.2213740458015268
03-14-2020,337,0,4,333,0.0,1.19,1.053125
03-15-2020,401,0,4,397,0.0,1.0,1.1899109792284865
03-16-2020,439,0,4,435,0.0,0.91,1.0947630922693268
03-17-2020,439,0,4,435,0.0,0.91,1.0
03-18-2020,452,0,4,448,0.0,0.88,1.029612756264237
03-19-2020,460,0,4,456,0.0,0.87,1.0176991150442478
03-20-2020,470,0,10,460,0.0,2.13,1.0217391304347827
03-21-2020,481,0,27,454,0.0,5.61,1.023404255319149
03-22-2020,494,0,33,461,0.0,6.68,1.027027027027027
03-23-2020,501,0,33,468,0.0,6.59,1.01417004048583
03-24-2020,526,0,41,485,0.0,7.79,1.0499001996007984
03-25-2020,537,0,41,496,0.0,7.64,1.020912547528517
03-26-2020,549,0,43,506,0.0,7.83,1.0223463687150838
03-27-2020,562,0,43,519,0.0,7.65,1.02367941712204
03-28-2020,590,1,45,545,0.17,7.63,1.0498220640569396
03-29-2020,634,1,48,586,0.16,7.57,1.0745762711864406
03-30-2020,693,1,51,642,0.14,7.36,1.0930599369085174
03-31-2020,781,2,62,719,0.26,7.94,1.126984126984127
04-01-2020,835,2,71,764,0.24,8.5,1.0691421254801536
04-02-2020,949,3,72,877,0.32,7.59,1.1365269461077845
04-03-2020,1075,3,93,982,0.28,8.65,1.1327713382507902
04-04-2020,1325,3,109,1216,0.23,8.23,1.2325581395348837
04-05-2020,1604,4,123,1481,0.25,7.67,1.2105660377358491
04-06-2020,1832,4,131,1701,0.22,7.15,1.14214463840399
04-07-2020,2057,6,150,1907,0.29,7.29,1.122816593886463
04-08-2020,2210,6,178,2032,0.27,8.05,1.0743801652892562
04-09-2020,2376,6,206,2170,0.25,8.67,1.0751131221719457
04-10-2020,2512,6,227,2285,0.24,9.04,1.0572390572390573
04-11-2020,2728,6,247,2481,0.22,9.05,1.085987261146497
04-12-2020,2979,7,275,2704,0.23,9.23,1.092008797653959
04-13-2020,3231,7,334,2897,0.22,10.34,1.0845921450151057
04-14-2020,3428,7,373,3055,0.2,10.88,1.0609718353450943
04-15-2020,3711,7,406,3305,0.19,10.94,1.0825554259043173
04-16-2020,4103,7,415,3688,0.17,10.11,1.1056319051468606
04-17-2020,4663,7,464,4199,0.15,9.95,1.1364854984157933
04-18-2020,5008,8,510,4498,0.16,10.18,1.0739867038387305
04-19-2020,5448,8,518,4930,0.15,9.51,1.0878594249201279
04-20-2020,6015,9,555,5460,0.15,9.23,1.1040748898678414
04-21-2020,6533,9,614,5919,0.14,9.4,1.086118038237739
04-22-2020,7141,10,689,6452,0.14,9.65,1.093065972753712
04-23-2020,7764,10,750,7014,0.13,9.66,1.0872426830976054
04-24-2020,8525,10,809,7716,0.12,9.49,1.0980164863472437
04-25-2020,9358,10,929,8429,0.11,9.93,1.0977126099706744
04-26-2020,10287,10,1012,9275,0.1,9.84,1.0992733490061979
04-27-2020,11244,10,1066,10178,0.09,9.48,1.0930300379119278
04-28-2020,11921,10,1134,10787,0.08,9.51,1.0602098897189611
04-29-2020,12564,10,1243,11321,0.08,9.89,1.0539384279842294
04-30-2020,13409,10,1372,12037,0.07,10.23,1.0672556510665394
05-01-2020,14096,12,1436,12660,0.09,10.19,1.0512342456559027
05-02-2020,14872,12,1534,13338,0.08,10.31,1.0550510783200908
05-03-2020,15551,12,1664,13887,0.08,10.7,1.045656266810113
05-04-2020,16191,12,1810,14381,0.07,11.18,1.0411549096521124
05-05-2020,17142,12,1924,15218,0.07,11.22,1.0587363350009265
05-06-2020,17972,12,2070,15902,0.07,11.52,1.0484190876210477
05-07-2020,18890,12,2286,16604,0.06,12.1,1.0510794569330069
05-08-2020,20201,12,2370,17831,0.06,11.73,1.0694017998941239
05-09-2020,21331,13,2449,18882,0.06,11.48,1.0559378248601554
05-10-2020,22520,14,2753,19767,0.06,12.22,1.0557404716140828
05-11-2020,23623,14,2840,20783,0.06,12.02,1.0489786856127887
05-12-2020,25149,14,3019,22130,0.06,12.0,1.064598061211531
05-13-2020,26539,14,3143,23396,0.05,11.84,1.055270587299694
05-14-2020,28272,14,3356,24916,0.05,11.87,1.065300124345303
05-15-2020,29425,14,3546,25879,0.05,12.05,1.0407823995472552
05-16-2020,30972,15,3788,27184,0.05,12.23,1.0525743415463042
05-17-2020,32604,15,4370,28234,0.05,13.4,1.0526927547462224
05-18-2020,33969,15,4899,29070,0.04,14.42,1.041866028708134
05-19-2020,35606,15,5634,29972,0.04,15.82,1.0481909976743502
05-20-2020,37097,16,6600,30497,0.04,17.79,1.0418749648935572
05-21-2020,38651,17,7288,31363,0.04,18.86,1.0418901797989055
05-22-2020,40481,19,7893,32588,0.05,19.5,1.0473467698119066
05-23-2020,42213,21,8513,33700,0.05,20.17,1.0427855043106642
05-24-2020,43714,23,9170,34544,0.05,20.98,1.0355577665648024
05-25-2020,45465,26,10363,35102,0.06,22.79,1.0400558173582835
05-26-2020,47207,28,11844,35363,0.06,25.09,1.0383151875068735
05-27-2020,48947,30,13283,35664,0.06,27.14,1.0368589404113797
05-28-2020,50914,33,15399,35515,0.06,30.25,1.0401863239830837
05-29-2020,52907,36,20604,32303,0.07,38.94,1.03914443964332
05-30-2020,55262,36,25839,29423,0.07,46.76,1.0445120683463436
05-31-2020,56910,38,30290,26620,0.07,53.22,1.0298215772139987
06-01-2020,58433,40,33437,24996,0.07,57.22,1.026761553329819
06-02-2020,60259,43,36036,24223,0.07,59.8,1.0312494651994593
06-03-2020,62160,45,37542,24618,0.07,60.4,1.0315471547818582
06-04-2020,63741,45,39468,24273,0.07,61.92,1.025434362934363
06-05-2020,65495,49,40935,24560,0.07,62.5,1.0275176103293013
06-06-2020,67195,51,42527,24668,0.08,63.29,1.0259561798610581
06-07-2020,68790,54,44338,24452,0.08,64.45,1.0237368851849096
06-08-2020,70158,57,45935,24223,0.08,65.47,1.0198866114260794
06-09-2020,71879,62,47569,24310,0.09,66.18,1.024530345790929
06-10-2020,73595,66,49413,24182,0.09,67.14,1.0238734539990817
06-11-2020,75071,69,51331,23740,0.09,68.38,1.0200557103064067
06-12-2020,76588,70,53296,23292,0.09,69.59,1.0202075368651011
06-13-2020,78416,70,55252,23164,0.09,70.46,1.0238679688724082
06-14-2020,79602,73,56898,22704,0.09,71.48,1.0151244643950215
06-15-2020,80876,76,58681,22195,0.09,72.56,1.0160046229994222
06-16-2020,82077,80,60461,21616,0.1,73.66,1.014849893664375
06-17-2020,83174,82,62172,21002,0.1,74.75,1.0133654982516418
06-18-2020,84441,86,63642,20799,0.1,75.37,1.015233125736408
06-19-2020,85462,93,65409,20053,0.11,76.54,1.0120912826707404
06-20-2020,86488,94,66763,19725,0.11,77.19,1.0120053357047576
06-21-2020,87369,98,68319,19050,0.11,78.2,1.010186384238276
06-22-2020,88403,99,69956,18447,0.11,79.13,1.0118348613352561
06-23-2020,89579,99,71501,18078,0.11,79.82,1.0133027159711774
