date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-27-2020,1,0,0,1,0.0,0.0,1
02-28-2020,1,0,0,1,0.0,0.0,1.0
02-29-2020,1,0,0,1,0.0,0.0,1.0
03-01-2020,1,0,0,1,0.0,0.0,1.0
03-02-2020,8,0,0,8,0.0,0.0,8.0
03-03-2020,10,1,0,10,10.0,0.0,1.25
03-04-2020,16,1,0,16,6.25,0.0,1.6
03-05-2020,21,1,0,21,4.76,0.0,1.3125
03-06-2020,21,1,0,21,4.76,0.0,1.0
03-07-2020,23,1,0,23,4.35,0.0,1.0952380952380953
03-08-2020,36,1,0,36,2.78,0.0,1.5652173913043477
03-09-2020,36,1,0,36,2.78,0.0,1.0
03-10-2020,51,2,0,51,3.92,0.0,1.4166666666666667
03-11-2020,62,2,0,62,3.23,0.0,1.215686274509804
03-12-2020,69,3,0,69,4.35,0.0,1.1129032258064515
03-13-2020,80,5,0,80,6.25,0.0,1.1594202898550725
03-14-2020,80,5,4,76,6.25,5.0,1.0
03-15-2020,101,5,4,97,4.95,3.96,1.2625
03-16-2020,109,7,4,105,6.42,3.67,1.0792079207920793
03-17-2020,109,7,4,105,6.42,3.67,1.0
03-18-2020,119,11,4,115,9.24,3.36,1.091743119266055
03-19-2020,119,11,4,115,9.24,3.36,1.0
03-20-2020,144,14,4,140,9.72,2.78,1.2100840336134453
03-21-2020,144,20,4,140,13.89,2.78,1.0
03-22-2020,175,20,4,171,11.43,2.29,1.2152777777777777
03-23-2020,187,20,4,183,10.7,2.14,1.0685714285714285
03-24-2020,187,21,4,183,11.23,2.14,1.0
03-25-2020,208,21,4,204,10.1,1.92,1.1122994652406417
03-26-2020,208,21,4,204,10.1,1.92,1.0
03-27-2020,223,21,4,219,9.42,1.79,1.0721153846153846
03-28-2020,224,22,6,218,9.82,2.68,1.0044843049327354
03-29-2020,224,22,6,218,9.82,2.68,1.0
03-30-2020,230,25,13,217,10.87,5.65,1.0267857142857142
03-31-2020,236,26,13,223,11.02,5.51,1.0260869565217392
04-01-2020,236,26,13,223,11.02,5.51,1.0
04-02-2020,245,30,21,224,12.24,8.57,1.0381355932203389
04-03-2020,245,30,21,224,12.24,8.57,1.0
04-04-2020,259,32,27,232,12.36,10.42,1.0571428571428572
04-05-2020,266,32,35,231,12.03,13.16,1.027027027027027
04-06-2020,266,32,35,231,12.03,13.16,1.0
04-07-2020,279,34,40,239,12.19,14.34,1.0488721804511278
04-08-2020,279,34,40,239,12.19,14.34,1.0
04-09-2020,333,34,49,284,10.21,14.71,1.1935483870967742
04-10-2020,344,34,50,294,9.88,14.53,1.033033033033033
04-11-2020,356,35,53,303,9.83,14.89,1.0348837209302326
04-12-2020,356,35,53,303,9.83,14.89,1.0
04-13-2020,356,35,53,303,9.83,14.89,1.0
04-14-2020,371,36,53,318,9.7,14.29,1.0421348314606742
04-15-2020,372,36,53,319,9.68,14.25,1.0026954177897573
04-16-2020,426,38,55,371,8.92,12.91,1.1451612903225807
04-17-2020,435,39,57,378,8.97,13.1,1.0211267605633803
04-18-2020,455,39,60,395,8.57,13.19,1.0459770114942528
04-19-2020,461,39,60,401,8.46,13.02,1.0131868131868131
04-20-2020,462,39,61,401,8.44,13.2,1.002169197396963
04-21-2020,476,40,62,414,8.4,13.03,1.0303030303030303
04-22-2020,488,40,62,426,8.2,12.7,1.0252100840336134
04-23-2020,501,40,63,438,7.98,12.57,1.026639344262295
04-24-2020,513,40,64,449,7.8,12.48,1.0239520958083832
04-25-2020,513,40,64,449,7.8,12.48,1.0
04-26-2020,538,41,64,474,7.62,11.9,1.0487329434697856
04-27-2020,538,41,64,474,7.62,11.9,1.0
04-28-2020,553,41,64,489,7.41,11.57,1.0278810408921932
04-29-2020,563,41,69,494,7.28,12.26,1.0180831826401446
04-30-2020,569,41,78,491,7.21,13.71,1.0106571936056838
05-01-2020,580,41,82,498,7.07,14.14,1.0193321616871704
05-02-2020,580,41,83,497,7.07,14.31,1.0
05-03-2020,582,41,86,496,7.04,14.78,1.0034482758620689
05-04-2020,582,41,86,496,7.04,14.78,1.0
05-05-2020,589,41,92,497,6.96,15.62,1.0120274914089347
05-06-2020,608,41,97,511,6.74,15.95,1.032258064516129
05-07-2020,622,41,106,516,6.59,17.04,1.0230263157894737
05-08-2020,623,41,114,509,6.58,18.3,1.0016077170418007
05-09-2020,637,41,126,511,6.44,19.78,1.0224719101123596
05-10-2020,628,41,126,502,6.53,20.06,1.0141287284144427
05-11-2020,628,41,130,498,6.53,20.7,1.0
05-12-2020,638,41,161,477,6.43,25.24,1.015923566878981
05-13-2020,643,41,161,482,6.38,25.04,1.0078369905956113
05-14-2020,648,41,172,476,6.33,26.54,1.0077760497667185
05-15-2020,652,41,189,463,6.29,28.99,1.0061728395061729
05-16-2020,653,41,198,455,6.28,30.32,1.0015337423312884
05-17-2020,654,41,201,453,6.27,30.73,1.001531393568147
05-18-2020,654,41,203,451,6.27,31.04,1.0
05-19-2020,655,41,211,444,6.26,32.21,1.0015290519877675
05-20-2020,656,41,220,436,6.25,33.54,1.001526717557252
05-21-2020,658,41,235,423,6.23,35.71,1.0030487804878048
05-22-2020,661,41,254,407,6.2,38.43,1.0045592705167172
05-23-2020,665,42,266,399,6.32,40.0,1.006051437216339
05-24-2020,665,42,266,399,6.32,40.0,1.0
05-25-2020,666,42,270,396,6.31,40.54,1.0015037593984963
05-26-2020,666,42,275,391,6.31,41.29,1.0
05-27-2020,667,42,294,373,6.3,44.08,1.0015015015015014
05-28-2020,670,42,322,348,6.27,48.06,1.0044977511244377
