date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
04-06-2020,4,0,0,4,0.0,0.0,1
04-07-2020,4,0,0,4,0.0,0.0,1.0
04-08-2020,4,0,0,4,0.0,0.0,1.0
04-09-2020,4,0,0,4,0.0,0.0,1.0
04-10-2020,4,0,0,4,0.0,0.0,1.0
04-11-2020,4,0,0,4,0.0,0.0,1.0
04-12-2020,4,0,0,4,0.0,0.0,1.0
04-13-2020,4,0,0,4,0.0,0.0,1.0
04-14-2020,4,0,0,4,0.0,0.0,1.0
04-15-2020,4,0,0,4,0.0,0.0,1.0
04-16-2020,4,0,0,4,0.0,0.0,1.0
04-17-2020,4,0,0,4,0.0,0.0,1.0
04-18-2020,4,0,0,4,0.0,0.0,1.0
04-19-2020,4,0,0,4,0.0,0.0,1.0
04-20-2020,4,0,0,4,0.0,0.0,1.0
04-21-2020,4,0,0,4,0.0,0.0,1.0
04-22-2020,4,0,0,4,0.0,0.0,1.0
04-23-2020,4,0,0,4,0.0,0.0,1.0
04-24-2020,4,0,0,4,0.0,0.0,1.0
04-25-2020,4,0,0,4,0.0,0.0,1.0
04-26-2020,4,0,0,4,0.0,0.0,1.0
04-27-2020,4,0,0,4,0.0,0.0,1.0
04-28-2020,8,0,4,4,0.0,50.0,2.0
04-29-2020,8,0,4,4,0.0,50.0,1.0
04-30-2020,14,0,4,10,0.0,28.57,1.75
05-01-2020,16,1,4,12,6.25,25.0,1.1428571428571428
05-02-2020,16,1,4,12,6.25,25.0,1.0
05-03-2020,16,1,4,12,6.25,25.0,1.0
05-04-2020,23,3,4,19,13.04,17.39,1.4375
05-05-2020,174,3,4,170,1.72,2.3,7.565217391304348
05-06-2020,174,3,4,170,1.72,2.3,1.0
05-07-2020,187,4,4,183,2.14,2.14,1.0747126436781609
