date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-02-2020,1,0,0,1,0.0,0.0,0.0
03-03-2020,2,0,0,2,0.0,0.0,0.0
03-04-2020,4,0,0,4,0.0,0.0,0.0
03-05-2020,4,0,0,4,0.0,0.0,0.0
03-06-2020,4,0,0,4,0.0,0.0,0.0
03-07-2020,4,0,0,4,0.0,0.0,0.0
03-08-2020,4,0,1,3,0.0,25.0,0.0
03-09-2020,4,0,1,3,0.0,25.0,0.0
03-10-2020,4,0,1,3,0.0,25.0,0.0
03-11-2020,4,0,1,3,0.0,25.0,0.0
03-12-2020,4,0,1,3,0.0,25.0,0.0
03-13-2020,10,0,1,9,0.0,10.0,0.0
03-14-2020,10,0,1,9,0.0,10.0,0.0
03-15-2020,24,0,1,23,0.0,4.17,0.0
03-16-2020,24,0,2,22,0.0,8.33,0.0
03-17-2020,26,0,2,24,0.0,7.69,0.0
03-18-2020,31,0,2,29,0.0,6.45,0.0
03-19-2020,31,0,2,29,0.0,6.45,0.0
03-20-2020,38,0,2,36,0.0,5.26,0.0
03-21-2020,47,0,5,42,0.0,10.64,0.0
03-22-2020,67,0,5,62,0.0,7.46,0.0
03-23-2020,79,0,8,71,0.0,10.13,0.0
03-24-2020,86,0,8,78,0.0,9.3,0.0
03-25-2020,99,0,9,90,0.0,9.09,0.0
03-26-2020,105,0,9,96,0.0,8.57,0.0
03-27-2020,119,0,11,108,0.0,9.24,0.0
03-28-2020,130,0,18,112,0.0,13.85,0.0
03-29-2020,142,0,27,115,0.0,19.01,0.0
03-30-2020,162,0,27,135,0.0,16.67,0.0
03-31-2020,175,0,40,135,0.0,22.86,0.0
04-01-2020,190,1,45,145,0.53,23.68,0.0
