date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-06-2020,1,0,0,1,0.0,0.0,0
03-07-2020,1,0,0,1,0.0,0.0,0.0
03-08-2020,1,0,0,1,0.0,0.0,0.0
03-09-2020,1,0,0,1,0.0,0.0,0.0
03-10-2020,5,0,0,5,0.0,0.0,4.0
03-11-2020,12,0,0,12,0.0,0.0,1.4
03-12-2020,19,0,0,19,0.0,0.0,0.5833333333333334
03-13-2020,35,0,0,35,0.0,0.0,0.8421052631578947
03-14-2020,46,0,0,46,0.0,0.0,0.3142857142857143
03-15-2020,48,0,0,48,0.0,0.0,0.043478260869565216
03-16-2020,55,0,1,54,0.0,1.82,0.14583333333333334
03-17-2020,65,0,1,64,0.0,1.54,0.18181818181818182
03-18-2020,83,0,1,82,0.0,1.2,0.27692307692307694
03-19-2020,103,0,1,102,0.0,0.97,0.24096385542168675
03-20-2020,135,1,1,134,0.74,0.74,0.3106796116504854
03-21-2020,171,1,1,170,0.58,0.58,0.26666666666666666
03-22-2020,222,2,2,220,0.9,0.9,0.2982456140350877
03-23-2020,249,3,3,246,1.2,1.2,0.12162162162162163
03-24-2020,303,3,15,288,0.99,4.95,0.21686746987951808
03-25-2020,384,4,15,369,1.04,3.91,0.26732673267326734
03-26-2020,384,1,0,384,0.26,0.0,0.0
03-27-2020,457,1,0,457,0.22,0.0,0.19010416666666666
03-28-2020,659,10,0,659,1.52,0.0,0.4420131291028446
03-29-2020,741,13,0,741,1.75,0.0,0.1244309559939302
03-30-2020,785,16,0,785,2.04,0.0,0.059379217273954114
03-31-2020,900,16,0,900,1.78,0.0,0.1464968152866242
04-01-2020,1060,28,0,1060,2.64,0.0,0.17777777777777778
04-02-2020,1171,31,0,1171,2.65,0.0,0.10471698113207548
04-03-2020,1476,39,0,1476,2.64,0.0,0.2604611443210931
04-04-2020,1624,44,0,1624,2.71,0.0,0.1002710027100271
04-05-2020,1908,51,0,1908,2.67,0.0,0.1748768472906404
04-06-2020,2200,58,0,2200,2.64,0.0,0.1530398322851153
04-07-2020,2447,61,0,2447,2.49,0.0,0.11227272727272727
04-08-2020,2666,65,0,2666,2.44,0.0,0.0894973436861463
04-09-2020,2867,66,0,2867,2.3,0.0,0.07539384846211553
04-10-2020,3105,71,0,3105,2.29,0.0,0.08301360306941054
04-11-2020,3380,74,0,3380,2.19,0.0,0.08856682769726248
04-12-2020,3630,80,0,3630,2.2,0.0,0.07396449704142012
04-13-2020,4054,85,0,4054,2.1,0.0,0.11680440771349862
04-14-2020,4465,94,0,4465,2.11,0.0,0.10138135175135668
04-15-2020,4873,99,0,4873,2.03,0.0,0.09137737961926092
04-16-2020,5318,103,0,5318,1.94,0.0,0.0913195156987482
04-17-2020,5690,110,534,5156,1.93,9.38,0.06995110943963896
04-18-2020,5994,117,637,5357,1.95,10.63,0.05342706502636204
04-19-2020,6318,122,753,5565,1.93,11.92,0.05405405405405406
04-20-2020,6630,125,870,5760,1.89,13.12,0.04938271604938271
04-21-2020,6630,125,870,5760,1.89,13.12,0.0
04-22-2020,6630,125,870,5760,1.89,13.12,0.0
04-23-2020,6630,125,870,5760,1.89,13.12,0.0
04-24-2020,6630,125,870,5760,1.89,13.12,0.0
04-25-2020,6630,125,870,5760,1.89,13.12,0.0
04-26-2020,6630,125,870,5760,1.89,13.12,0.0
04-27-2020,6630,125,870,5760,1.89,13.12,0.0
04-28-2020,6630,125,870,5760,1.89,13.12,0.0
