date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-05-2020,2,0,0,2,0.0,0.0,1
03-06-2020,7,0,0,7,0.0,0.0,3.5
03-07-2020,7,0,0,7,0.0,0.0,1.0
03-08-2020,16,0,0,16,0.0,0.0,2.2857142857142856
03-09-2020,16,0,0,16,0.0,0.0,1.0
03-10-2020,31,0,0,31,0.0,0.0,1.9375
03-11-2020,57,0,0,57,0.0,0.0,1.838709677419355
03-12-2020,89,0,0,89,0.0,0.0,1.5614035087719298
03-13-2020,141,0,0,141,0.0,0.0,1.5842696629213484
03-14-2020,181,1,0,181,0.55,0.0,1.2836879432624113
03-15-2020,219,1,0,219,0.46,0.0,1.2099447513812154
03-16-2020,253,1,0,253,0.4,0.0,1.1552511415525113
03-17-2020,275,1,0,275,0.36,0.0,1.0869565217391304
03-18-2020,275,1,0,275,0.36,0.0,1.0
03-19-2020,286,1,0,286,0.35,0.0,1.04
03-20-2020,341,1,0,341,0.29,0.0,1.1923076923076923
03-21-2020,383,1,0,383,0.26,0.0,1.1231671554252198
03-22-2020,414,2,0,414,0.48,0.0,1.080939947780679
03-23-2020,442,3,0,442,0.68,0.0,1.067632850241546
03-24-2020,480,4,3,477,0.83,0.63,1.085972850678733
03-25-2020,528,5,10,518,0.95,1.89,1.1
03-26-2020,562,6,10,552,1.07,1.78,1.0643939393939394
03-27-2020,632,9,10,622,1.42,1.58,1.1245551601423487
03-28-2020,684,9,10,674,1.32,1.46,1.0822784810126582
03-29-2020,730,11,10,720,1.51,1.37,1.067251461988304
03-30-2020,756,11,10,746,1.46,1.32,1.0356164383561643
03-31-2020,802,15,10,792,1.87,1.25,1.060846560846561
04-01-2020,841,15,10,831,1.78,1.19,1.0486284289276808
04-02-2020,897,17,70,827,1.9,7.8,1.0665873959571939
04-03-2020,934,20,70,864,2.14,7.49,1.0412486064659978
04-04-2020,977,22,79,898,2.25,8.09,1.0460385438972162
04-05-2020,997,28,79,918,2.81,7.92,1.0204708290685773
04-06-2020,1021,30,102,919,2.94,9.99,1.0240722166499499
04-07-2020,1059,36,102,957,3.4,9.63,1.0372184133202742
04-08-2020,1091,40,120,971,3.67,11.0,1.0302171860245515
04-09-2020,1124,43,128,996,3.83,11.39,1.0302474793767187
04-10-2020,1160,45,137,1023,3.88,11.81,1.0320284697508897
04-11-2020,1188,50,148,1040,4.21,12.46,1.0241379310344827
04-12-2020,1205,53,150,1055,4.4,12.45,1.0143097643097643
04-13-2020,1212,55,152,1060,4.54,12.54,1.0058091286307054
04-14-2020,1220,56,152,1068,4.59,12.46,1.0066006600660067
04-15-2020,1248,61,165,1083,4.89,13.22,1.022950819672131
04-16-2020,1268,61,174,1094,4.81,13.72,1.016025641025641
04-17-2020,1304,66,174,1130,5.06,13.34,1.028391167192429
04-18-2020,1317,70,190,1127,5.32,14.43,1.0099693251533743
04-19-2020,1330,74,192,1138,5.56,14.44,1.0098709187547457
04-20-2020,1335,77,193,1142,5.77,14.46,1.0037593984962405
04-21-2020,1344,77,197,1147,5.73,14.66,1.006741573033708
04-22-2020,1353,79,205,1148,5.84,15.15,1.0066964285714286
04-23-2020,1366,79,211,1155,5.78,15.45,1.0096082779009607
04-24-2020,1373,80,211,1162,5.83,15.37,1.0051244509516837
04-25-2020,1388,81,219,1169,5.84,15.78,1.010924981791697
04-26-2020,1396,82,221,1175,5.87,15.83,1.005763688760807
04-27-2020,1402,83,221,1181,5.92,15.76,1.004297994269341
04-28-2020,1408,86,223,1185,6.11,15.84,1.0042796005706134
04-29-2020,1418,89,230,1188,6.28,16.22,1.0071022727272727
04-30-2020,1429,91,233,1196,6.37,16.31,1.0077574047954867
05-01-2020,1434,92,233,1201,6.42,16.25,1.0034989503149054
05-02-2020,1439,94,239,1200,6.53,16.61,1.003486750348675
05-03-2020,1439,96,241,1198,6.67,16.75,1.0
05-04-2020,1439,97,241,1198,6.74,16.75,1.0
05-05-2020,1445,98,244,1201,6.78,16.89,1.0041695621959694
05-06-2020,1448,99,246,1202,6.84,16.99,1.002076124567474
05-07-2020,1449,99,247,1202,6.83,17.05,1.0006906077348066
05-08-2020,1450,100,252,1198,6.9,17.38,1.0006901311249137
05-09-2020,1454,101,255,1199,6.95,17.54,1.0027586206896553
05-10-2020,1457,102,256,1201,7.0,17.57,1.0020632737276478
05-11-2020,1460,102,256,1204,6.99,17.53,1.0020590253946466
05-12-2020,1461,102,259,1202,6.98,17.73,1.0006849315068493
05-13-2020,1463,103,260,1203,7.04,17.77,1.001368925393566
05-14-2020,1464,103,267,1197,7.04,18.24,1.0006835269993164
05-15-2020,1465,103,270,1195,7.03,18.43,1.0006830601092895
05-16-2020,1465,103,272,1193,7.03,18.57,1.0
05-17-2020,1466,104,273,1193,7.09,18.62,1.0006825938566553
05-18-2020,1466,104,1335,131,7.09,91.06,1.0
05-19-2020,1467,104,1338,129,7.09,91.21,1.000682128240109
05-20-2020,1468,105,1340,128,7.15,91.28,1.0006816632583504
05-21-2020,1468,106,1340,128,7.22,91.28,1.0
05-22-2020,1468,106,1340,128,7.22,91.28,1.0
05-23-2020,1468,106,1340,128,7.22,91.28,1.0
05-24-2020,1468,107,1340,128,7.29,91.28,1.0
